episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,14,-101.67850830435754,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-102.19798577904702,False,False
1,28,-103.8831769657135,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-103.8831769657135,False,False
2,15,-101.9871990466118,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-101.98719904661179,False,False
3,24,-102.96592074513435,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-104.3455706524849,False,False
4,5,-100.64592612028122,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.64349467992783,False,False
5,12,-101.62188839673996,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-102.00630448818207,False,False
6,8,-101.11927253127098,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-101.23106874346733,False,False
7,20,-103.37515618443489,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-103.37515618443489,False,False
8,13,-101.65780964016916,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-102.41923936724663,False,False
9,15,-101.60953935027122,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-101.60953935027122,False,False
10,43,95.98218617916108,interceptor,intercepted_before_small_circle,detour,365,intruder,entered_big_circle,-151.66572755217553,True,False
11,41,96.23978196531534,interceptor,intercepted_before_small_circle,detour,23,intruder,entered_big_circle,-104.83914264559746,True,False
12,34,97.4273803961277,interceptor,intercepted_before_small_circle,detour,7,intruder,entered_big_circle,-101.03140697240829,True,False
13,33,97.54797050088644,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-103.33594564437867,True,False
14,207,-105.6208633607626,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-103.11515481829643,False,False
15,15,-101.6250084722042,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.03943843483925,False,False
16,17,-102.0031547164917,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-102.738291451931,False,False
17,14,-101.87955559372902,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-101.87955559372902,False,False
18,9,-101.392064319849,intruder,entered_big_circle,direct,245,intruder,active_collision,-118.92380266875028,False,False
19,20,-102.94551709532738,intruder,entered_big_circle,direct,65,intruder,entered_small_circle,-115.06333405613898,False,False
20,13,-101.7373998773098,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.75278000950813,False,False
21,6,-100.80131874084472,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.80131874084472,False,False
22,16,-101.5969964683056,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-101.59699646830559,False,False
23,13,-101.6285906803608,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.9618552339077,False,False
24,35,97.5856252169609,interceptor,intercepted_before_small_circle,detour,5,intruder,entered_big_circle,-100.67454865217209,True,False
25,43,95.69984843164684,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-104.43879761099815,True,False
26,40,96.07139131635428,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-104.41358878016472,True,False
27,41,96.29323609769344,interceptor,intercepted_before_small_circle,detour,26,intruder,entered_big_circle,-103.36547081470489,True,False
28,197,-106.844268912673,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-103.42741199851037,False,False
29,21,-103.56045453548433,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-104.62815593481064,False,False
30,20,-102.98599657058716,intruder,entered_big_circle,direct,373,intruder,entered_big_circle,-152.98681954115628,False,False
31,16,-102.2133353471756,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.2133353471756,False,False
32,18,-101.67486464500428,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-101.67486464500428,False,False
33,12,-101.58579098939896,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-102.0318171954155,False,False
34,15,-102.4145528280735,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.2655701482296,False,False
35,16,-102.6464382827282,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.75129981637001,False,False
36,10,-101.25196474432946,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.47570531010628,False,False
37,38,96.77553214460612,interceptor,intercepted_before_small_circle,detour,4,intruder,entered_big_circle,-100.58567772388459,True,False
38,34,97.78218601614236,interceptor,intercepted_before_small_circle,detour,17,intruder,entered_big_circle,-101.70849169254303,True,False
39,43,95.18136695951225,interceptor,intercepted_before_small_circle,detour,377,interceptor,intercepted_in_big_circle,49.92621138110757,True,True
40,42,96.43597584158182,interceptor,intercepted_before_small_circle,detour,26,intruder,entered_big_circle,-103.1532873928547,True,False
41,193,-108.9235788714886,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.89625789642334,False,False
42,27,-102.82950207948684,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-106.19673776388169,False,False
43,27,-103.77304953694345,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-104.78384855151177,False,False
44,28,-105.06808460474014,intruder,entered_big_circle,direct,385,interceptor,intercepted_in_big_circle,44.49818546845578,False,True
45,26,-105.7728278517723,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-105.16228657960892,False,False
46,20,-103.16262503504753,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-104.08573026299476,False,False
47,34,97.2994345960021,interceptor,intercepted_before_small_circle,detour,10,intruder,entered_big_circle,-101.62823434710502,True,False
48,41,96.75046618431809,interceptor,intercepted_before_small_circle,detour,24,intruder,entered_big_circle,-102.76884532451629,True,False
49,43,96.03582954585552,interceptor,intercepted_before_small_circle,detour,25,intruder,entered_big_circle,-105.3734510922432,True,False
50,43,95.61363928496836,interceptor,intercepted_before_small_circle,detour,174,intruder,active_collision,-113.44705568879843,True,False
51,197,-110.95407069087028,intruder,entered_big_circle,direct,100,intruder,active_collision,-102.78538260996342,False,False
52,16,-102.45786088705064,intruder,entered_big_circle,direct,30,intruder,active_collision,-103.14698134601116,False,False
53,23,-103.94390261292456,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-104.29556156516075,False,False
54,6,-100.73805888295172,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.73805888295173,False,False
55,15,-102.5452209675312,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-103.33664635062217,False,False
56,26,-103.52856212854384,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-106.35784635543823,False,False
57,6,-100.85540776252746,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.93188769817353,False,False
58,18,-102.41972122311591,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.13081095337867,False,False
59,42,95.94656650960444,interceptor,intercepted_before_small_circle,detour,23,intruder,entered_big_circle,-104.73203023791314,True,False
60,40,96.02033119261264,interceptor,intercepted_before_small_circle,detour,23,intruder,entered_big_circle,-105.10634539842606,True,False
61,39,97.10597265928983,interceptor,intercepted_before_small_circle,detour,25,intruder,entered_big_circle,-104.61530761957168,True,False
62,35,97.22452393829822,interceptor,intercepted_before_small_circle,detour,14,intruder,entered_big_circle,-102.91299562931061,True,False
63,212,-104.82392616927623,intruder,entered_big_circle,direct,366,interceptor,intercepted_in_big_circle,45.755625094473366,False,True
64,6,-100.84200709462166,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.8467308819294,False,False
65,24,-102.88621698498726,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-102.88621698498726,False,False
66,7,-101.11393225550653,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-101.02195165514946,False,False
67,4,-100.43611053109169,intruder,entered_big_circle,direct,4,intruder,entered_big_circle,-100.43611053109169,False,False
68,18,-102.6290582549572,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.6290582549572,False,False
69,16,-102.6910363316536,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-103.88110613822937,False,False
70,8,-101.03582269668578,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-101.03582269668578,False,False
71,14,-102.1385129916668,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-102.72894507527351,False,False
72,6,-100.77985036373138,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.88066012859345,False,False
73,6,-100.67437589168549,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.6187047123909,False,False
74,44,96.00229062110184,interceptor,intercepted_before_small_circle,detour,324,intruder,active_collision,-105.3615031275153,True,False
75,31,97.63740879148244,interceptor,intercepted_before_small_circle,detour,7,intruder,entered_big_circle,-101.01720624327659,True,False
76,40,96.3059785759449,interceptor,intercepted_before_small_circle,detour,15,intruder,entered_big_circle,-102.93792229533196,True,False
77,32,97.56187481969594,interceptor,intercepted_before_small_circle,detour,7,intruder,entered_big_circle,-100.9523274576664,True,False
78,35,-102.81062990367413,intruder,active_collision,attack,12,intruder,entered_big_circle,-101.5597701227665,False,False
79,197,-108.45761965870857,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-103.69378016829491,False,False
80,15,-103.08221884012222,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.77464115858078,False,False
81,20,-103.48108417630196,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-103.20100159287453,False,False
82,10,-101.25774610877038,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.50559178233146,False,False
83,25,-103.88564446806907,intruder,entered_big_circle,direct,25,intruder,entered_big_circle,-104.92151357769966,False,False
