episode,global_step,from_policy,to_policy,true_policy,normalized_error
3,38,direct,attack,direct,0.4449620842933655
4,56,attack,attack,direct,0.18761742115020752
5,83,attack,attack,direct,0.39457643032073975
8,115,attack,detour,direct,0.3576205372810364
12,155,detour,detour,direct,0.2853912115097046
13,181,detour,direct,detour,0.4257570505142212
13,207,direct,direct,detour,0.6375707387924194
13,222,direct,direct,detour,1.54306161403656
13,237,direct,attack,detour,0.7109087705612183
13,252,attack,direct,detour,0.399068146944046
13,274,direct,detour,detour,1.3113692998886108
13,282,detour,direct,detour,2.1508073806762695
13,292,direct,attack,detour,0.5877202153205872
13,303,attack,detour,detour,1.5438416004180908
13,316,detour,direct,detour,0.6377313137054443
13,338,direct,direct,attack,0.23261895775794983
13,375,direct,direct,attack,0.20978152751922607
14,397,direct,detour,attack,0.90068519115448
14,444,detour,detour,attack,0.5057297945022583
15,468,detour,attack,attack,0.4759750962257385
16,488,attack,detour,direct,0.5906747579574585
17,510,detour,attack,direct,0.47854718565940857
18,537,attack,detour,direct,0.42955848574638367
20,569,detour,attack,direct,0.3011855483055115
22,596,attack,detour,direct,1.133378028869629
25,623,detour,attack,direct,0.6310179829597473
25,650,attack,attack,detour,0.28145116567611694
26,695,attack,detour,detour,0.5115466117858887
26,726,detour,detour,detour,0.452521950006485
27,739,detour,direct,detour,0.4609676003456116
27,776,direct,detour,detour,0.35915499925613403
27,792,detour,detour,detour,0.3234248161315918
28,815,detour,detour,attack,0.4854273796081543
28,840,detour,attack,attack,0.606904149055481
28,883,attack,attack,attack,0.5537348389625549
28,943,attack,attack,attack,0.28938576579093933
28,973,attack,attack,direct,0.3207113742828369
28,990,attack,attack,direct,0.7593250274658203
29,1017,attack,direct,direct,0.525144100189209
30,1041,direct,detour,direct,0.46411973237991333
33,1090,detour,attack,direct,0.3704299330711365
35,1120,attack,direct,detour,0.6017985343933105
35,1161,direct,direct,detour,0.1937827318906784
35,1195,direct,direct,detour,0.39072221517562866
36,1218,direct,direct,detour,0.3736990690231323
