episode,global_step,episode_step,reward,intruder_policy,winner,reason
0,1,1,-0.19530299663543702,direct,,running
0,2,2,-0.1870466446876526,direct,,running
0,3,3,-0.17880192160606387,direct,,running
0,4,4,-0.1772830641269684,direct,,running
0,5,5,-0.1691080129146576,direct,,running
0,6,6,-0.16095294117927553,direct,,running
0,7,7,-0.15282058477401733,direct,,running
0,8,8,-0.14471423387527468,direct,,running
0,9,9,-0.13663774490356445,direct,,running
0,10,10,-0.1285958743095398,direct,,running
0,11,11,-100.0,direct,intruder,entered_big_circle
1,12,1,-0.20091281890869142,direct,,running
1,13,2,-0.19715513944625856,direct,,running
1,14,3,-0.18889933586120605,direct,,running
1,15,4,-0.1852503514289856,direct,,running
1,16,5,-0.17697180271148683,direct,,running
1,17,6,-0.1734458661079407,direct,,running
1,18,7,-0.1651459491252899,direct,,running
1,19,8,-0.16176034569740297,direct,,running
1,20,9,-0.1534126079082489,direct,,running
1,21,10,-0.1502365267276764,direct,,running
1,22,11,-0.14189994692802432,direct,,running
1,23,12,-0.1342677390575409,direct,,running
1,24,13,-0.13139903903007508,direct,,running
1,25,14,-0.1230573570728302,direct,,running
1,26,15,-0.1204328513145447,direct,,running
1,27,16,-0.11210413932800294,direct,,running
1,28,17,-0.10976827502250674,direct,,running
1,29,18,-0.10147318601608277,direct,,running
1,30,19,-0.09948125839233402,direct,,running
1,31,20,-0.09781952857971193,direct,,running
1,32,21,-0.089671847820282,direct,,running
1,33,22,-0.08846660614013674,direct,,running
1,34,23,-0.08047210931777954,direct,,running
1,35,24,-0.07981449127197268,direct,,running
1,36,25,-0.07205565929412841,direct,,running
1,37,26,-0.07205400228500367,direct,,running
1,38,27,-0.07253700852394103,direct,,running
1,39,28,-100.0,direct,intruder,entered_big_circle
2,40,1,-0.21238242745399477,direct,,running
2,41,2,-0.20422428607940674,direct,,running
2,42,3,-0.196075359582901,direct,,running
2,43,4,-0.19202254176139832,direct,,running
2,44,5,-0.18384687066078187,direct,,running
2,45,6,-0.17990751624107362,direct,,running
2,46,7,-0.17170528531074525,direct,,running
2,47,8,-0.16789560675621035,direct,,running
2,48,9,-0.16426159501075746,direct,,running
2,49,10,-0.15600743651390075,direct,,running
2,50,11,-0.1525412237644196,direct,,running
2,51,12,-0.14928183913230897,direct,,running
2,52,13,-0.1462424075603485,direct,,running
2,53,14,-0.1379573976993561,direct,,running
2,54,15,-0.13516180872917177,direct,,running
2,55,16,-0.12688848137855532,direct,,running
2,56,17,-0.12437919735908509,direct,,running
2,57,18,-0.12216125488281251,direct,,running
2,58,19,-0.12025102138519289,direct,,running
2,59,20,-0.11866422653198243,direct,,running
