episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
145,-238.193741,-141.880143,96.313599,False,True,entered_big_circle,intercepted_before_small_circle,direct,177,90,baseline_only_win,baseline_advantage
468,-232.327296,-135.409932,96.917364,False,True,entered_big_circle,intercepted_before_small_circle,direct,183,45,baseline_only_win,baseline_advantage
92,-228.77437,-130.668559,98.105812,False,True,entered_big_circle,intercepted_before_small_circle,direct,186,31,baseline_only_win,baseline_advantage
793,-226.923232,-128.491148,98.432085,False,True,entered_big_circle,intercepted_before_small_circle,direct,166,39,baseline_only_win,baseline_advantage
764,-223.487578,-128.126258,95.361321,False,True,entered_big_circle,intercepted_before_small_circle,direct,196,45,baseline_only_win,baseline_advantage
494,-223.107685,-126.561966,96.545719,False,True,entered_big_circle,intercepted_before_small_circle,direct,189,45,baseline_only_win,baseline_advantage
419,-222.848304,-126.930183,95.918121,False,True,entered_big_circle,intercepted_before_small_circle,direct,188,42,baseline_only_win,baseline_advantage
778,-222.581275,-124.630859,97.950417,False,True,entered_big_circle,intercepted_before_small_circle,direct,127,35,baseline_only_win,baseline_advantage
117,-222.515373,-125.166805,97.348568,False,True,entered_big_circle,intercepted_before_small_circle,direct,190,45,baseline_only_win,baseline_advantage
405,-221.169184,-124.651053,96.518131,False,True,entered_big_circle,intercepted_before_small_circle,direct,189,44,baseline_only_win,baseline_advantage
327,-220.258905,-125.192295,95.066609,False,True,entered_big_circle,intercepted_before_small_circle,direct,224,49,baseline_only_win,baseline_advantage
506,-219.521085,-123.500746,96.020338,False,True,entered_big_circle,intercepted_before_small_circle,direct,202,43,baseline_only_win,baseline_advantage
314,-216.423943,-119.099284,97.324658,False,True,entered_big_circle,intercepted_before_small_circle,direct,207,33,baseline_only_win,baseline_advantage
131,-215.553932,-118.030897,97.523035,False,True,entered_big_circle,intercepted_before_small_circle,direct,185,47,baseline_only_win,baseline_advantage
105,-214.155885,-116.965055,97.19083,False,True,entered_big_circle,intercepted_before_small_circle,direct,206,38,baseline_only_win,baseline_advantage
481,-212.66737,-115.344271,97.323099,False,True,entered_big_circle,intercepted_before_small_circle,direct,203,67,baseline_only_win,baseline_advantage
447,-201.614041,-104.303197,97.310843,False,True,entered_big_circle,intercepted_before_small_circle,direct,28,64,baseline_only_win,baseline_advantage
777,-201.475394,-104.187164,97.288229,False,True,entered_small_circle,intercepted_before_small_circle,attack,59,35,baseline_only_win,baseline_advantage
459,-201.120894,-105.391036,95.729858,False,True,entered_big_circle,intercepted_before_small_circle,direct,31,120,baseline_only_win,baseline_advantage
467,-201.116903,-102.996152,98.120751,False,True,active_collision,intercepted_before_small_circle,attack,34,62,baseline_only_win,baseline_advantage
26,202.977544,96.207419,-106.770125,True,False,intercepted_before_small_circle,entered_big_circle,detour,38,245,ops_only_win,ops_advantage
464,202.124794,98.342809,-103.781985,True,False,intercepted_before_small_circle,entered_big_circle,detour,66,31,ops_only_win,ops_advantage
591,202.097963,96.178703,-105.91926,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,172,ops_only_win,ops_advantage
222,201.990965,95.239227,-106.751738,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,54,ops_only_win,ops_advantage
273,201.973499,94.955233,-107.018265,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,181,ops_only_win,ops_advantage
375,201.849745,97.151857,-104.697889,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,28,ops_only_win,ops_advantage
129,201.78783,97.202126,-104.585704,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,32,ops_only_win,ops_advantage
713,201.787713,98.065826,-103.721887,True,False,intercepted_before_small_circle,entered_big_circle,detour,29,188,ops_only_win,ops_advantage
671,201.605132,98.35109,-103.254042,True,False,intercepted_before_small_circle,entered_big_circle,detour,30,160,ops_only_win,ops_advantage
684,201.512332,97.518158,-103.994173,True,False,intercepted_before_small_circle,entered_big_circle,detour,33,160,ops_only_win,ops_advantage
236,201.407477,96.592731,-104.814745,True,False,intercepted_before_small_circle,active_collision,detour,37,127,ops_only_win,ops_advantage
632,201.35015,97.796781,-103.553369,True,False,intercepted_before_small_circle,entered_big_circle,detour,32,178,ops_only_win,ops_advantage
205,201.290988,96.118138,-105.17285,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,54,ops_only_win,ops_advantage
221,201.224568,98.241977,-102.982592,True,False,intercepted_before_small_circle,active_collision,detour,29,126,ops_only_win,ops_advantage
724,201.018479,97.977264,-103.041215,True,False,intercepted_before_small_circle,entered_big_circle,detour,29,199,ops_only_win,ops_advantage
634,200.943798,96.418993,-104.524805,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,30,ops_only_win,ops_advantage
374,200.76211,95.864459,-104.897651,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,32,ops_only_win,ops_advantage
621,200.694796,98.410251,-102.284545,True,False,intercepted_before_small_circle,entered_big_circle,detour,33,19,ops_only_win,ops_advantage
154,200.646446,98.09411,-102.552336,True,False,intercepted_before_small_circle,entered_big_circle,detour,50,27,ops_only_win,ops_advantage
554,200.620611,95.58797,-105.032641,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,32,ops_only_win,ops_advantage
