episode,global_step,episode_step,reward,intruder_policy,winner,reason
0,1,1,-0.17958079338073735,direct,,running
0,2,2,-0.1716584360599518,direct,,running
0,3,3,-0.1747847592830658,direct,,running
0,4,4,-0.17793347001075746,direct,,running
0,5,5,-100.0,direct,intruder,entered_big_circle
1,6,1,-0.22605244874954222,direct,,running
1,7,2,-0.21804793834686279,direct,,running
1,8,3,-0.2100627160072327,direct,,running
1,9,4,-0.2132554388046265,direct,,running
1,10,5,-0.21308407545089725,direct,,running
1,11,6,-0.20846329689025878,direct,,running
1,12,7,-0.2116687512397766,direct,,running
1,13,8,-0.203671578168869,direct,,running
1,14,9,-0.20687470197677615,direct,,running
1,15,10,-0.2100930726528168,direct,,running
1,16,11,-0.2020809626579285,direct,,running
1,17,12,-0.19408936858177184,direct,,running
1,18,13,-0.18612064480781557,direct,,running
1,19,14,-0.1781773900985718,direct,,running
1,20,15,-0.17816750168800355,direct,,running
1,21,16,-0.17032323837280275,direct,,running
1,22,17,-0.1705382561683655,direct,,running
1,23,18,-0.16281512737274173,direct,,running
1,24,19,-0.1632757580280304,direct,,running
1,25,20,-0.1638996458053589,direct,,running
1,26,21,-0.16468719601631165,direct,,running
1,27,22,-0.15924535751342775,direct,,running
1,28,23,-0.15180124402046205,direct,,running
1,29,24,-0.14443633913993836,direct,,running
1,30,25,-0.13891622185707092,direct,,running
1,31,26,-100.0,direct,intruder,entered_big_circle
