episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,16,-121.22470999598504,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.46970979213715,False,False
1,31,-126.52440157055857,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-122.71409070014954,False,False
2,16,-122.35150100588798,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.50955446362495,False,False
3,27,-121.67891406655312,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-124.46699207663536,False,False
4,5,-120.55105546116827,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.65602743625641,False,False
5,14,-121.5137888121605,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-122.46492856025696,False,False
6,9,-120.99194567620754,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-121.36180628061294,False,False
7,23,-125.4741870188713,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-123.15197208762169,False,False
8,14,-122.56152552366255,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-122.55803170800209,False,False
9,37,97.52476234853268,interceptor,intercepted_before_small_circle,detour,278,intruder,entered_small_circle,-142.09431000173092,True,False
10,41,96.23843731433152,interceptor,intercepted_before_small_circle,detour,47,intruder,entered_big_circle,-137.3637568974495,True,False
11,41,96.67509258538485,interceptor,intercepted_before_small_circle,detour,26,intruder,entered_big_circle,-125.59752050995827,True,False
12,33,97.6143694254756,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-121.15941847205163,True,False
13,69,-141.4907772099972,intruder,entered_small_circle,attack,22,intruder,entered_big_circle,-123.59589895606041,False,False
14,128,-126.44778892070056,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-124.34348821759224,False,False
15,17,-121.0424998190999,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-122.30109974861145,False,False
16,19,-121.301403786242,intruder,entered_big_circle,direct,19,intruder,entered_big_circle,-122.68618096709251,False,False
17,16,-121.73478039979936,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.56823119401932,False,False
18,10,-120.98073442935944,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.4051503753662,False,False
19,22,-125.01887090563774,intruder,entered_big_circle,direct,94,intruder,entered_small_circle,-134.3923749241233,False,False
20,15,-121.32277125537397,intruder,entered_big_circle,direct,297,intruder,entered_big_circle,-151.0674114446342,False,False
21,6,-120.72345130622386,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-120.68265372991561,False,False
22,18,-122.41647615790367,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-121.77237249672413,False,False
