episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
719,-275.451792,-183.332704,92.119088,False,True,active_collision,intercepted_before_small_circle,attack,36,120,baseline_only_win,baseline_advantage
467,-245.77286,-148.078978,97.693882,False,True,entered_big_circle,intercepted_before_small_circle,direct,190,33,baseline_only_win,baseline_advantage
69,-219.297457,-121.228485,98.068972,False,True,entered_big_circle,intercepted_before_small_circle,direct,12,29,baseline_only_win,baseline_advantage
668,-219.18085,-121.648239,97.53261,False,True,entered_big_circle,intercepted_before_small_circle,direct,23,37,baseline_only_win,baseline_advantage
198,-217.00313,-121.40179,95.60134,False,True,entered_big_circle,intercepted_before_small_circle,direct,13,94,baseline_only_win,baseline_advantage
468,-214.723722,-121.430965,93.292756,False,True,entered_big_circle,intercepted_before_small_circle,direct,11,119,baseline_only_win,baseline_advantage
195,-61.34573,-182.736703,-121.390973,False,False,active_collision,entered_big_circle,attack,34,19,both_lose,baseline_advantage
649,-61.316624,-181.782011,-120.465387,False,False,active_collision,entered_big_circle,attack,29,5,both_lose,baseline_advantage
774,-61.2683,-183.7855,-122.517201,False,False,active_collision,entered_big_circle,attack,41,25,both_lose,baseline_advantage
439,-61.209526,-183.742347,-122.532821,False,False,active_collision,entered_big_circle,attack,38,18,both_lose,baseline_advantage
547,-61.094218,-181.699334,-120.605117,False,False,active_collision,entered_big_circle,attack,28,8,both_lose,baseline_advantage
180,-61.053824,-182.21831,-121.164487,False,False,active_collision,entered_big_circle,attack,30,13,both_lose,baseline_advantage
139,-61.052058,-183.534495,-122.482437,False,False,active_collision,entered_big_circle,attack,38,21,both_lose,baseline_advantage
222,-60.988595,-182.342941,-121.354346,False,False,active_collision,entered_big_circle,attack,33,16,both_lose,baseline_advantage
390,-60.835828,-182.661299,-121.82547,False,False,active_collision,entered_big_circle,attack,37,27,both_lose,baseline_advantage
561,-60.592871,-183.019749,-122.426878,False,False,active_collision,entered_big_circle,attack,36,15,both_lose,baseline_advantage
98,-60.357833,-182.301447,-121.943614,False,False,active_collision,entered_big_circle,attack,31,13,both_lose,baseline_advantage
799,-59.946733,-183.064584,-123.11785,False,False,active_collision,entered_big_circle,attack,37,28,both_lose,baseline_advantage
23,-59.899676,-182.779532,-122.879856,False,False,active_collision,entered_big_circle,attack,35,26,both_lose,baseline_advantage
403,-59.631141,-182.492117,-122.860976,False,False,active_collision,entered_big_circle,attack,32,18,both_lose,baseline_advantage
57,336.459597,97.129731,-239.329866,True,False,intercepted_before_small_circle,active_collision,detour,38,301,ops_only_win,ops_advantage
574,311.432506,97.760866,-213.67164,True,False,intercepted_before_small_circle,active_collision,detour,36,303,ops_only_win,ops_advantage
423,311.26516,99.158255,-212.106905,True,False,intercepted_before_small_circle,active_collision,detour,42,319,ops_only_win,ops_advantage
506,311.175005,97.650954,-213.524051,True,False,intercepted_before_small_circle,active_collision,detour,35,280,ops_only_win,ops_advantage
176,307.509134,96.875227,-210.633906,True,False,intercepted_before_small_circle,active_collision,detour,39,300,ops_only_win,ops_advantage
730,302.006104,96.569837,-205.436267,True,False,intercepted_before_small_circle,active_collision,detour,42,277,ops_only_win,ops_advantage
401,295.77603,96.448961,-199.327069,True,False,intercepted_before_small_circle,active_collision,detour,48,172,ops_only_win,ops_advantage
795,295.487667,98.679654,-196.808012,True,False,intercepted_before_small_circle,active_collision,detour,29,308,ops_only_win,ops_advantage
219,295.030814,98.355588,-196.675226,True,False,intercepted_before_small_circle,active_collision,detour,28,154,ops_only_win,ops_advantage
362,291.097936,92.71642,-198.381515,True,False,intercepted_before_small_circle,entered_big_circle,detour,58,382,ops_only_win,ops_advantage
275,289.762916,96.918888,-192.844028,True,False,intercepted_before_small_circle,active_collision,detour,41,179,ops_only_win,ops_advantage
32,287.669462,92.494576,-195.174885,True,False,intercepted_before_small_circle,entered_big_circle,detour,72,384,ops_only_win,ops_advantage
7,286.930329,95.850127,-191.080202,True,False,intercepted_before_small_circle,active_collision,detour,43,162,ops_only_win,ops_advantage
94,283.976868,97.677196,-186.299672,True,False,intercepted_before_small_circle,active_collision,detour,36,171,ops_only_win,ops_advantage
532,281.835927,95.72393,-186.111998,True,False,intercepted_before_small_circle,active_collision,detour,42,275,ops_only_win,ops_advantage
690,280.52495,97.439935,-183.085015,True,False,intercepted_before_small_circle,active_collision,detour,35,278,ops_only_win,ops_advantage
647,273.599061,96.097099,-177.501963,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,359,ops_only_win,ops_advantage
517,270.289993,96.725909,-173.564084,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,357,ops_only_win,ops_advantage
137,268.473201,95.684114,-172.789087,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,366,ops_only_win,ops_advantage
8,268.278559,96.63467,-171.643889,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,190,ops_only_win,ops_advantage
