episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,11,-121.37078204870224,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.36657381176948,False,False
1,28,-121.3393348619342,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-123.32511796951295,False,False
2,21,-122.01385526776312,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-121.97952525734901,False,False
3,30,-124.6795185792446,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-123.36409920334816,False,False
4,29,-126.30394679188728,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-122.34035666167736,False,False
5,27,-121.54264209419487,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-122.96509842574596,False,False
6,12,-121.25949632942675,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-121.38806460618973,False,False
7,43,95.85012701362372,interceptor,intercepted_before_small_circle,detour,58,interceptor,intercepted_before_small_circle,96.20833599850535,True,True
8,36,96.63467009514572,interceptor,intercepted_before_small_circle,detour,52,interceptor,intercepted_before_small_circle,97.02668732121587,True,True
9,40,96.161261793077,interceptor,intercepted_before_small_circle,detour,217,intruder,entered_big_circle,-125.52850394636393,True,False
10,32,97.9682114237547,interceptor,intercepted_before_small_circle,detour,13,intruder,entered_big_circle,-121.05888529479503,True,False
11,193,-176.5704340580106,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-124.10913234949112,False,False
12,11,-121.02791434586048,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-120.9902236020565,False,False
13,23,-121.0986202582717,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-121.14564582705498,False,False
14,11,-121.7968720960617,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.22872716367245,False,False
15,24,-120.92685921221972,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-121.16792913258075,False,False
16,10,-121.09897909641266,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.098269816041,False,False
17,21,-121.89331412672996,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-121.94833398222923,False,False
18,21,-122.0256505316496,intruder,entered_big_circle,direct,93,interceptor,intercepted_before_small_circle,98.17838155550882,False,True
19,47,96.66103269785644,interceptor,intercepted_before_small_circle,detour,68,interceptor,intercepted_before_small_circle,96.51210838288068,True,True
