episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
776,-271.25272,-172.9664,98.286319,False,True,entered_big_circle,intercepted_before_small_circle,direct,173,80,baseline_only_win,baseline_advantage
68,-258.319899,-141.501126,116.818773,False,True,entered_big_circle,passive_intercept,direct,216,69,baseline_only_win,baseline_advantage
517,-254.048172,-157.294673,96.7535,False,True,entered_big_circle,intercepted_before_small_circle,direct,235,50,baseline_only_win,baseline_advantage
138,-248.543309,-152.266992,96.276316,False,True,entered_big_circle,intercepted_before_small_circle,direct,210,50,baseline_only_win,baseline_advantage
750,-246.543785,-148.108837,98.434948,False,True,entered_big_circle,intercepted_before_small_circle,direct,183,30,baseline_only_win,baseline_advantage
789,-246.27452,-148.264506,98.010014,False,True,entered_big_circle,intercepted_before_small_circle,direct,207,39,baseline_only_win,baseline_advantage
764,-245.803401,-147.763227,98.040174,False,True,entered_big_circle,intercepted_before_small_circle,direct,183,38,baseline_only_win,baseline_advantage
126,-245.675831,-148.494163,97.181668,False,True,entered_big_circle,intercepted_before_small_circle,direct,197,45,baseline_only_win,baseline_advantage
90,-241.950845,-144.29958,97.651265,False,True,entered_big_circle,intercepted_before_small_circle,direct,213,36,baseline_only_win,baseline_advantage
749,-239.936166,-143.443434,96.492732,False,True,active_collision,intercepted_before_small_circle,attack,40,58,baseline_only_win,baseline_advantage
669,-239.318733,-123.185963,116.132769,False,True,entered_big_circle,passive_intercept,direct,28,65,baseline_only_win,baseline_advantage
528,-234.522832,-137.685737,96.837095,False,True,entered_big_circle,intercepted_before_small_circle,direct,220,92,baseline_only_win,baseline_advantage
152,-223.568999,-126.687559,96.88144,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,44,baseline_only_win,baseline_advantage
362,-223.12424,-127.898616,95.225624,False,True,entered_big_circle,intercepted_before_small_circle,direct,31,68,baseline_only_win,baseline_advantage
666,-222.710531,-126.122031,96.588501,False,True,entered_big_circle,intercepted_before_small_circle,direct,26,46,baseline_only_win,baseline_advantage
189,-222.25797,-124.69176,97.56621,False,True,entered_big_circle,intercepted_before_small_circle,direct,28,80,baseline_only_win,baseline_advantage
790,-221.668038,-123.873934,97.794104,False,True,entered_big_circle,intercepted_before_small_circle,direct,23,71,baseline_only_win,baseline_advantage
584,-221.52918,-124.679267,96.849913,False,True,entered_big_circle,intercepted_before_small_circle,direct,27,58,baseline_only_win,baseline_advantage
164,-221.149343,-122.458776,98.690567,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,136,baseline_only_win,baseline_advantage
653,-221.074889,-122.385596,98.689292,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,145,baseline_only_win,baseline_advantage
530,246.422989,118.854341,-127.568648,True,False,intercepted_in_big_circle,entered_big_circle,direct,28,160,ops_only_win,ops_advantage
725,243.503425,97.736608,-145.766817,True,False,intercepted_before_small_circle,active_collision,detour,35,85,ops_only_win,ops_advantage
33,243.028093,97.558338,-145.469754,True,False,intercepted_before_small_circle,active_collision,detour,34,53,ops_only_win,ops_advantage
294,242.954401,96.279112,-146.675289,True,False,intercepted_before_small_circle,active_collision,detour,42,145,ops_only_win,ops_advantage
32,242.924955,96.804777,-146.120179,True,False,intercepted_before_small_circle,active_collision,detour,53,41,ops_only_win,ops_advantage
230,242.844326,96.683503,-146.160823,True,False,intercepted_before_small_circle,active_collision,detour,52,43,ops_only_win,ops_advantage
269,242.499038,97.428418,-145.07062,True,False,intercepted_before_small_circle,active_collision,detour,35,135,ops_only_win,ops_advantage
689,242.190802,96.772814,-145.417988,True,False,intercepted_before_small_circle,active_collision,detour,42,166,ops_only_win,ops_advantage
112,241.672656,96.905609,-144.767047,True,False,intercepted_before_small_circle,active_collision,detour,38,58,ops_only_win,ops_advantage
411,241.666024,97.713323,-143.952701,True,False,intercepted_before_small_circle,active_collision,detour,32,55,ops_only_win,ops_advantage
351,241.48899,96.46207,-145.026919,True,False,intercepted_before_small_circle,active_collision,detour,42,68,ops_only_win,ops_advantage
255,241.151737,96.592232,-144.559505,True,False,intercepted_before_small_circle,active_collision,detour,37,84,ops_only_win,ops_advantage
500,240.731167,118.614746,-122.11642,True,False,intercepted_in_big_circle,entered_big_circle,direct,31,31,ops_only_win,ops_advantage
737,240.452109,95.450812,-145.001296,True,False,intercepted_before_small_circle,active_collision,detour,44,66,ops_only_win,ops_advantage
505,240.161317,96.408249,-143.753068,True,False,intercepted_before_small_circle,active_collision,detour,49,46,ops_only_win,ops_advantage
306,239.886854,95.29277,-144.594084,True,False,intercepted_before_small_circle,active_collision,detour,51,51,ops_only_win,ops_advantage
317,239.604558,95.99113,-143.613429,True,False,intercepted_before_small_circle,active_collision,detour,43,81,ops_only_win,ops_advantage
422,239.475562,94.300019,-145.175543,True,False,intercepted_before_small_circle,active_collision,detour,50,88,ops_only_win,ops_advantage
363,239.370325,97.60035,-141.769975,True,False,intercepted_before_small_circle,active_collision,detour,44,94,ops_only_win,ops_advantage
399,239.361357,96.823565,-142.537792,True,False,intercepted_before_small_circle,active_collision,detour,38,87,ops_only_win,ops_advantage
