episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-120.64574785470964,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.69010712146759,False,False
1,10,-120.9537237417698,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.30910186290741,False,False
2,16,-122.52995690107346,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.85877373218537,False,False
3,11,-121.2130924206972,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.18948427259922,False,False
4,30,-123.14967250227927,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-123.10262709259987,False,False
5,30,-122.22659491300584,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-123.02537297010421,False,False
6,5,-120.4008270162344,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.44083763241768,False,False
7,13,-121.1533449113369,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.6947019815445,False,False
8,16,-121.71651689827442,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.77593717098236,False,False
9,18,-121.29873367726805,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-121.17525499641896,False,False
10,33,98.02393740713596,interceptor,intercepted_before_small_circle,detour,42,interceptor,intercepted_before_small_circle,97.56598819106817,True,True
11,25,98.9351188337803,interceptor,intercepted_before_small_circle,detour,241,intruder,active_collision,-167.28777710855007,True,False
12,27,98.34485942214728,interceptor,intercepted_before_small_circle,detour,43,intruder,entered_big_circle,-118.89304950475693,True,False
13,32,97.29486187934876,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-121.30308146595955,True,False
14,41,96.13516007959842,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-123.14452840089798,True,False
15,181,-133.45739181518553,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.8333758687973,False,False
16,21,-121.62735579669476,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-121.86112932622433,False,False
17,18,-121.9947156959772,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-122.87980573415756,False,False
18,28,-122.43996788024904,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-123.94540209531785,False,False
19,23,-121.7416718366742,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-123.1322796034813,False,False
20,17,-122.39732096016408,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-122.7885423195362,False,False
21,18,-121.90479232013226,intruder,entered_big_circle,direct,259,intruder,active_collision,-162.33353937774896,False,False
22,10,-121.03622071027756,intruder,entered_big_circle,direct,80,intruder,entered_big_circle,-125.07612596273422,False,False
23,40,96.5939262357354,interceptor,intercepted_before_small_circle,detour,14,intruder,entered_big_circle,-122.34429919719696,True,False
24,29,98.37620378404856,interceptor,intercepted_before_small_circle,detour,12,intruder,entered_big_circle,-121.0392171829939,True,False
25,42,96.33705528765915,interceptor,intercepted_before_small_circle,detour,30,intruder,entered_big_circle,-122.76706106990575,True,False
26,39,96.15435488045216,interceptor,intercepted_before_small_circle,detour,9,intruder,entered_big_circle,-121.41064111113548,True,False
27,206,-118.9582287478447,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-122.61935237169266,False,False
28,22,-123.21764966487883,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-123.68702870249749,False,False
29,25,-123.44815717041492,intruder,entered_big_circle,direct,25,intruder,entered_big_circle,-125.29184293150902,False,False
30,16,-120.93920761942864,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.9097013682127,False,False
31,17,-121.9059176671505,intruder,entered_big_circle,direct,305,intruder,active_collision,-163.1218755441904,False,False
32,30,-123.74584449589253,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-123.89114606618881,False,False
33,8,-121.00088835299016,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-120.98882267415523,False,False
34,43,96.4473178806901,interceptor,intercepted_before_small_circle,detour,27,intruder,entered_big_circle,-124.31429822206498,True,False
35,40,96.075080820024,interceptor,intercepted_before_small_circle,detour,22,intruder,entered_big_circle,-123.53928734898567,True,False
36,38,96.83284842699766,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-122.5111210078001,True,False
37,28,98.28470099449156,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-120.89489581584931,True,False
38,219,-129.13329038977622,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-120.84714292883874,False,False
39,23,-122.66364095807076,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-124.29822753071785,False,False
40,31,-121.8599074010551,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-124.02300337076187,False,False
41,28,-121.40986406624316,intruder,entered_big_circle,direct,308,intruder,active_collision,-154.34052616089582,False,False
42,9,-120.91973276495932,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-120.85008072137832,False,False
