episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
275,-224.675959,-133.438991,91.236969,False,True,entered_big_circle,intercepted_before_small_circle,direct,202,127,baseline_only_win,baseline_advantage
361,-219.233185,-121.160332,98.072853,False,True,entered_big_circle,intercepted_before_small_circle,direct,11,60,baseline_only_win,baseline_advantage
276,-219.190792,-121.792617,97.398176,False,True,entered_big_circle,intercepted_before_small_circle,direct,13,32,baseline_only_win,baseline_advantage
675,-219.147011,-122.604355,96.542655,False,True,entered_big_circle,intercepted_before_small_circle,direct,24,73,baseline_only_win,baseline_advantage
64,-219.143188,-120.928359,98.214829,False,True,entered_big_circle,intercepted_before_small_circle,direct,9,57,baseline_only_win,baseline_advantage
688,-219.105386,-121.627508,97.477878,False,True,entered_big_circle,intercepted_before_small_circle,direct,22,169,baseline_only_win,baseline_advantage
556,-219.019669,-121.194046,97.825623,False,True,entered_big_circle,intercepted_before_small_circle,direct,12,45,baseline_only_win,baseline_advantage
136,-218.945927,-120.713009,98.232918,False,True,entered_big_circle,intercepted_before_small_circle,direct,10,29,baseline_only_win,baseline_advantage
307,-218.944615,-120.847593,98.097022,False,True,entered_big_circle,intercepted_before_small_circle,direct,8,29,baseline_only_win,baseline_advantage
752,-218.872227,-121.866539,97.005688,False,True,entered_big_circle,intercepted_before_small_circle,direct,25,92,baseline_only_win,baseline_advantage
546,-218.805451,-120.381679,98.423772,False,True,entered_big_circle,intercepted_before_small_circle,direct,4,30,baseline_only_win,baseline_advantage
713,-218.380295,-120.645545,97.73475,False,True,entered_big_circle,intercepted_before_small_circle,direct,6,32,baseline_only_win,baseline_advantage
294,-218.265193,-123.23512,95.030072,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,88,baseline_only_win,baseline_advantage
545,-218.185531,-121.79252,96.393011,False,True,entered_big_circle,intercepted_before_small_circle,direct,22,98,baseline_only_win,baseline_advantage
63,-217.975916,-121.882312,96.093604,False,True,entered_big_circle,intercepted_before_small_circle,direct,18,47,baseline_only_win,baseline_advantage
265,-217.931165,-120.943092,96.988073,False,True,entered_big_circle,intercepted_before_small_circle,direct,6,33,baseline_only_win,baseline_advantage
555,-217.130716,-121.806595,95.324121,False,True,entered_big_circle,intercepted_before_small_circle,direct,207,100,baseline_only_win,baseline_advantage
771,-215.373362,-120.574116,94.799246,False,True,entered_big_circle,intercepted_before_small_circle,direct,5,72,baseline_only_win,baseline_advantage
712,-215.011561,-121.73437,93.277191,False,True,entered_big_circle,intercepted_before_small_circle,direct,12,106,baseline_only_win,baseline_advantage
264,-210.566313,-121.785843,88.78047,False,True,entered_big_circle,intercepted_before_small_circle,direct,31,124,baseline_only_win,baseline_advantage
282,303.342722,97.308736,-206.033986,True,False,intercepted_before_small_circle,active_collision,detour,34,273,ops_only_win,ops_advantage
106,292.703716,98.17937,-194.524347,True,False,intercepted_before_small_circle,active_collision,detour,31,275,ops_only_win,ops_advantage
463,291.879654,97.538149,-194.341504,True,False,intercepted_before_small_circle,active_collision,detour,39,291,ops_only_win,ops_advantage
579,288.580191,95.70336,-192.876831,True,False,intercepted_before_small_circle,active_collision,detour,44,281,ops_only_win,ops_advantage
653,286.620746,97.314793,-189.305953,True,False,intercepted_before_small_circle,active_collision,detour,37,285,ops_only_win,ops_advantage
337,283.456087,97.011682,-186.444406,True,False,intercepted_before_small_circle,active_collision,detour,36,281,ops_only_win,ops_advantage
473,280.373472,96.561868,-183.811604,True,False,intercepted_before_small_circle,active_collision,detour,41,262,ops_only_win,ops_advantage
402,279.799081,96.626691,-183.17239,True,False,intercepted_before_small_circle,active_collision,detour,39,264,ops_only_win,ops_advantage
524,273.196555,96.066096,-177.130459,True,False,intercepted_before_small_circle,active_collision,detour,41,268,ops_only_win,ops_advantage
209,270.375713,98.267592,-172.108121,True,False,intercepted_before_small_circle,active_collision,detour,30,273,ops_only_win,ops_advantage
625,269.084542,97.448848,-171.635694,True,False,intercepted_before_small_circle,active_collision,detour,33,270,ops_only_win,ops_advantage
11,266.222896,98.935119,-167.287777,True,False,intercepted_before_small_circle,active_collision,detour,25,241,ops_only_win,ops_advantage
600,265.340259,96.362879,-168.97738,True,False,intercepted_before_small_circle,active_collision,detour,44,189,ops_only_win,ops_advantage
96,264.831017,96.709247,-168.12177,True,False,intercepted_before_small_circle,active_collision,detour,41,255,ops_only_win,ops_advantage
772,262.083238,98.59628,-163.486958,True,False,intercepted_before_small_circle,active_collision,detour,26,210,ops_only_win,ops_advantage
591,259.901819,95.703013,-164.198806,True,False,intercepted_before_small_circle,active_collision,detour,43,273,ops_only_win,ops_advantage
719,257.527854,96.695162,-160.832692,True,False,intercepted_before_small_circle,active_collision,detour,37,257,ops_only_win,ops_advantage
391,257.349099,96.917595,-160.431504,True,False,intercepted_before_small_circle,active_collision,detour,36,267,ops_only_win,ops_advantage
601,254.84337,97.346153,-157.497217,True,False,intercepted_before_small_circle,active_collision,detour,33,140,ops_only_win,ops_advantage
614,248.442195,95.602048,-152.840147,True,False,intercepted_before_small_circle,active_collision,detour,43,180,ops_only_win,ops_advantage
