episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
370,-101.190937,-221.913758,-120.722821,False,False,active_collision,entered_big_circle,attack,29,6,both_lose,baseline_advantage
421,-101.074556,-222.360307,-121.285751,False,False,active_collision,entered_big_circle,attack,32,10,both_lose,baseline_advantage
39,-100.857952,-224.373748,-123.515796,False,False,active_collision,entered_big_circle,attack,40,22,both_lose,baseline_advantage
739,-100.782726,-221.034967,-120.25224,False,False,active_collision,entered_big_circle,attack,23,4,both_lose,baseline_advantage
99,-100.769049,-222.701968,-121.93292,False,False,active_collision,entered_big_circle,attack,34,12,both_lose,baseline_advantage
380,-100.681904,-223.838971,-123.157067,False,False,active_collision,entered_big_circle,attack,37,19,both_lose,baseline_advantage
491,-100.394069,-220.949648,-120.555579,False,False,active_collision,entered_big_circle,attack,24,6,both_lose,baseline_advantage
583,-100.205432,-221.47044,-121.265007,False,False,active_collision,entered_big_circle,attack,28,8,both_lose,baseline_advantage
355,-99.766966,-223.144632,-123.377666,False,False,active_collision,entered_big_circle,attack,35,17,both_lose,baseline_advantage
182,-99.745171,-223.079736,-123.334564,False,False,active_collision,entered_big_circle,attack,35,18,both_lose,baseline_advantage
753,-99.626292,-225.193687,-125.567395,False,False,active_collision,entered_big_circle,attack,43,23,both_lose,baseline_advantage
613,-96.639144,-222.354623,-125.715478,False,False,active_collision,entered_big_circle,attack,34,26,both_lose,baseline_advantage
740,-35.620563,-162.795702,-127.175139,False,False,entered_big_circle,entered_big_circle,direct,159,31,both_lose,baseline_advantage
76,-26.44506,-149.582713,-123.137653,False,False,entered_big_circle,entered_big_circle,direct,182,17,both_lose,baseline_advantage
110,-26.181434,-147.163262,-120.981828,False,False,entered_big_circle,entered_big_circle,direct,178,8,both_lose,baseline_advantage
584,-25.373207,-147.456331,-122.083124,False,False,entered_big_circle,entered_big_circle,direct,139,14,both_lose,baseline_advantage
754,-24.928002,-145.670904,-120.742902,False,False,entered_big_circle,entered_big_circle,direct,191,6,both_lose,baseline_advantage
455,-24.635528,-147.364691,-122.729163,False,False,entered_big_circle,entered_big_circle,direct,182,17,both_lose,baseline_advantage
533,-24.245579,-149.305585,-125.060006,False,False,entered_big_circle,entered_big_circle,direct,192,43,both_lose,baseline_advantage
169,-24.036645,-146.193534,-122.15689,False,False,entered_big_circle,entered_big_circle,direct,185,20,both_lose,baseline_advantage
316,369.974513,95.642783,-274.33173,True,False,intercepted_before_small_circle,active_collision,detour,42,291,ops_only_win,ops_advantage
180,364.333304,95.245353,-269.087952,True,False,intercepted_before_small_circle,active_collision,detour,41,285,ops_only_win,ops_advantage
765,360.637212,96.644918,-263.992295,True,False,intercepted_before_small_circle,active_collision,detour,39,296,ops_only_win,ops_advantage
697,356.159441,97.251049,-258.908392,True,False,intercepted_before_small_circle,active_collision,detour,37,317,ops_only_win,ops_advantage
775,354.976635,98.439639,-256.536996,True,False,intercepted_before_small_circle,active_collision,detour,29,317,ops_only_win,ops_advantage
307,354.788851,97.801629,-256.987222,True,False,intercepted_before_small_circle,active_collision,detour,32,307,ops_only_win,ops_advantage
417,352.340017,95.66829,-256.671727,True,False,intercepted_before_small_circle,active_collision,detour,49,310,ops_only_win,ops_advantage
168,352.246693,95.644311,-256.602382,True,False,intercepted_before_small_circle,active_collision,detour,42,309,ops_only_win,ops_advantage
250,351.853097,97.542843,-254.310254,True,False,intercepted_before_small_circle,active_collision,detour,32,314,ops_only_win,ops_advantage
393,351.68091,96.356797,-255.324113,True,False,intercepted_before_small_circle,active_collision,detour,44,215,ops_only_win,ops_advantage
368,339.782693,96.977449,-242.805244,True,False,intercepted_before_small_circle,active_collision,detour,36,269,ops_only_win,ops_advantage
271,336.693997,96.223057,-240.47094,True,False,intercepted_before_small_circle,active_collision,detour,40,220,ops_only_win,ops_advantage
532,336.427275,98.685565,-237.74171,True,False,intercepted_before_small_circle,active_collision,detour,23,229,ops_only_win,ops_advantage
192,335.201703,97.668785,-237.532918,True,False,intercepted_before_small_circle,active_collision,detour,33,284,ops_only_win,ops_advantage
9,334.799766,97.524762,-237.275003,True,False,intercepted_before_small_circle,active_collision,detour,37,275,ops_only_win,ops_advantage
554,331.089394,92.079468,-239.009926,True,False,intercepted_before_small_circle,active_collision,detour,63,293,ops_only_win,ops_advantage
97,330.086418,96.64836,-233.438057,True,False,intercepted_before_small_circle,active_collision,detour,40,208,ops_only_win,ops_advantage
260,326.449778,92.041706,-234.408072,True,False,intercepted_before_small_circle,active_collision,detour,64,210,ops_only_win,ops_advantage
517,323.726515,96.319441,-227.407075,True,False,intercepted_before_small_circle,active_collision,detour,39,237,ops_only_win,ops_advantage
600,272.41138,97.651109,-174.760272,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,363,ops_only_win,ops_advantage
