episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
670,-223.902147,-126.588448,97.313699,False,True,entered_big_circle,intercepted_in_big_circle,direct,200,31,baseline_only_win,baseline_advantage
674,-200.673086,-103.234461,97.438625,False,True,entered_big_circle,intercepted_before_small_circle,direct,18,36,baseline_only_win,baseline_advantage
478,-37.632758,-142.511677,-104.878919,False,False,entered_big_circle,entered_big_circle,direct,168,22,both_lose,baseline_advantage
579,-37.247047,-145.250729,-108.003682,False,False,entered_big_circle,entered_big_circle,direct,158,30,both_lose,baseline_advantage
463,-36.371418,-140.196448,-103.82503,False,False,entered_big_circle,entered_big_circle,direct,169,21,both_lose,baseline_advantage
153,-35.565266,-136.562664,-100.997398,False,False,entered_big_circle,entered_big_circle,direct,188,6,both_lose,baseline_advantage
393,-34.225061,-138.928728,-104.703667,False,False,entered_big_circle,entered_big_circle,direct,182,24,both_lose,baseline_advantage
654,-32.924525,-139.138599,-106.214074,False,False,entered_big_circle,entered_big_circle,direct,163,29,both_lose,baseline_advantage
49,-31.650755,-134.271988,-102.621232,False,False,entered_big_circle,entered_big_circle,direct,196,22,both_lose,baseline_advantage
718,-30.928329,-132.781263,-101.852934,False,False,entered_big_circle,entered_big_circle,direct,179,16,both_lose,baseline_advantage
192,-30.848842,-133.920401,-103.071559,False,False,entered_big_circle,entered_big_circle,direct,214,19,both_lose,baseline_advantage
681,-29.963171,-136.370565,-106.407395,False,False,entered_big_circle,entered_big_circle,direct,198,26,both_lose,baseline_advantage
358,-29.933271,-131.271551,-101.33828,False,False,entered_big_circle,entered_big_circle,direct,198,8,both_lose,baseline_advantage
740,-29.828932,-131.066379,-101.237447,False,False,entered_big_circle,entered_big_circle,direct,184,9,both_lose,baseline_advantage
706,-27.515969,-129.198226,-101.682257,False,False,entered_big_circle,entered_big_circle,direct,210,17,both_lose,baseline_advantage
179,-26.753085,-127.336057,-100.582972,False,False,entered_big_circle,entered_big_circle,direct,194,5,both_lose,baseline_advantage
370,-26.635425,-129.037591,-102.402166,False,False,entered_big_circle,entered_big_circle,direct,209,22,both_lose,baseline_advantage
104,-24.315102,-129.491566,-105.176464,False,False,entered_big_circle,entered_big_circle,direct,220,28,both_lose,baseline_advantage
383,-23.843354,-128.487113,-104.643759,False,False,entered_big_circle,entered_big_circle,direct,213,25,both_lose,baseline_advantage
335,-23.695402,-124.9411,-101.245697,False,False,entered_big_circle,entered_big_circle,direct,216,10,both_lose,baseline_advantage
402,284.187891,95.568363,-188.619528,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,382,ops_only_win,ops_advantage
72,277.603112,97.197764,-180.405347,True,False,intercepted_before_small_circle,entered_big_circle,detour,37,372,ops_only_win,ops_advantage
188,274.302908,96.704867,-177.598041,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,358,ops_only_win,ops_advantage
129,273.089967,95.393056,-177.696911,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,361,ops_only_win,ops_advantage
546,269.921985,95.221438,-174.700547,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,363,ops_only_win,ops_advantage
489,267.903002,96.573512,-171.329491,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,371,ops_only_win,ops_advantage
786,266.648926,97.245255,-169.403671,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,373,ops_only_win,ops_advantage
38,262.641929,98.133804,-164.508125,True,False,intercepted_before_small_circle,entered_big_circle,detour,31,358,ops_only_win,ops_advantage
513,261.147316,96.173218,-164.974098,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,374,ops_only_win,ops_advantage
417,261.027778,95.649072,-165.378706,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,392,ops_only_win,ops_advantage
23,260.883164,97.369202,-163.513962,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,374,ops_only_win,ops_advantage
94,258.758317,97.091184,-161.667133,True,False,intercepted_before_small_circle,entered_big_circle,detour,38,379,ops_only_win,ops_advantage
177,258.450712,96.305758,-162.144954,True,False,intercepted_before_small_circle,entered_big_circle,detour,47,379,ops_only_win,ops_advantage
764,258.247585,97.590924,-160.656661,True,False,intercepted_before_small_circle,entered_big_circle,detour,31,371,ops_only_win,ops_advantage
389,257.915487,96.38793,-161.527557,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,371,ops_only_win,ops_advantage
574,257.908261,97.404374,-160.503887,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,369,ops_only_win,ops_advantage
428,257.750418,96.685842,-161.064575,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,370,ops_only_win,ops_advantage
283,257.520787,96.962508,-160.558278,True,False,intercepted_before_small_circle,entered_big_circle,detour,38,357,ops_only_win,ops_advantage
258,256.852937,95.507044,-161.345893,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,356,ops_only_win,ops_advantage
649,255.356094,98.230275,-157.125819,True,False,intercepted_before_small_circle,entered_big_circle,detour,28,368,ops_only_win,ops_advantage
