episode,global_step,episode_step,reward,intruder_policy,winner,reason
0,1,1,-0.21035934448242188,direct,,running
0,2,2,-0.21268782973289493,direct,,running
0,3,3,-0.2140358066558838,direct,,running
0,4,4,-0.20702473878860475,direct,,running
0,5,5,-0.20008274674415588,direct,,running
0,6,6,-0.20228169322013856,direct,,running
0,7,7,-0.20382064938545227,direct,,running
0,8,8,-0.20599861502647404,direct,,running
0,9,9,-0.20822207093238831,direct,,running
0,10,10,-0.20126395583152773,direct,,running
0,11,11,-0.20347582459449773,direct,,running
0,12,12,-0.19653268814086916,direct,,running
0,13,13,-0.1987323260307312,direct,,running
0,14,14,-0.20097929000854495,direct,,running
0,15,15,-0.20244872331619265,direct,,running
0,16,16,-0.2040186500549317,direct,,running
0,17,17,-0.19771394491195682,direct,,running
0,18,18,-0.19083219528198242,direct,,running
0,19,19,-0.1925156629085541,direct,,running
0,20,20,-0.19430368900299075,direct,,running
0,21,21,-0.19619500994682312,direct,,running
0,22,22,-0.19818820118904115,direct,,running
0,23,23,-0.20004680514335635,direct,,running
0,24,24,-0.20206791520118716,direct,,running
0,25,25,-0.20390653371810916,direct,,running
0,26,26,-100.0,direct,intruder,entered_big_circle
1,27,1,-0.25773338437080384,direct,,running
1,28,2,-0.24948683142662054,direct,,running
1,29,3,-0.24578827381134036,direct,,running
1,30,4,-0.2446910059452057,direct,,running
1,31,5,-0.23645263075828551,direct,,running
1,32,6,-0.23272362709045408,direct,,running
1,33,7,-0.22910976171493533,direct,,running
1,34,8,-0.22598386764526368,direct,,running
1,35,9,-0.2294495499134064,direct,,running
1,36,10,-0.22585670709609984,direct,,running
1,37,11,-0.22935126781463624,direct,,running
1,38,12,-0.23285028100013733,direct,,running
1,39,13,-0.2294276034832001,direct,,running
1,40,14,-0.22110799312591553,direct,,running
1,41,15,-0.2197515463829041,direct,,running
1,42,16,-0.21145678520202638,direct,,running
1,43,17,-0.21495167970657353,direct,,running
1,44,18,-0.2137230968475342,direct,,running
1,45,19,-0.21015183091163636,direct,,running
1,46,20,-0.2136517143249512,direct,,running
1,47,21,-0.21239761471748356,direct,,running
1,48,22,-0.20885212779045106,direct,,running
1,49,23,-0.2075980341434479,direct,,running
1,50,24,-0.2093308007717133,direct,,running
1,51,25,-0.20103751778602602,direct,,running
1,52,26,-0.1998488461971283,direct,,running
1,53,27,-0.1962375319004059,direct,,running
1,54,28,-0.19505064845085146,direct,,running
1,55,29,-0.19851514458656314,direct,,running
1,56,30,-100.0,direct,intruder,entered_big_circle
