episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-121.37406485319136,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-121.46781157493591,False,False
1,10,-122.62434476256372,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-122.93426924586296,False,False
2,16,-125.13718422353269,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-125.9334697842598,False,False
3,11,-122.90386698246002,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-123.45744607448577,False,False
4,30,-128.4651024186611,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-132.46315549850465,False,False
5,30,-126.3127476850152,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-127.8209470385313,False,False
6,5,-121.01410867214204,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-121.12517730236054,False,False
7,13,-123.03924679577352,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-124.03679718494415,False,False
8,16,-124.95759179294107,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-125.83229912519455,False,False
9,18,-123.80901595324278,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-125.67188438892364,False,False
10,31,97.3119035422802,interceptor,intercepted_before_small_circle,detour,368,intruder,entered_big_circle,-170.5999647119641,True,False
11,24,98.8082154405117,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-121.2305971801281,True,False
12,26,98.3187125042081,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-121.45144357085228,True,False
13,32,97.29481041520836,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-122.71159083366393,True,False
14,41,96.11045255661011,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-126.90045676469802,True,False
15,188,-155.80251181662084,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-124.06340916872024,False,False
16,21,-124.33729960024355,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-126.80737939476967,False,False
17,18,-124.81165978431702,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-126.56662430882454,False,False
18,28,-126.94160211205482,intruder,entered_big_circle,direct,340,intruder,active_collision,-241.57653925418853,False,False
19,23,-125.39273627966642,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-127.941982973814,False,False
20,17,-125.0466688668728,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-126.2725981271267,False,False
21,18,-124.81728153944016,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-126.61976200461388,False,False
22,10,-122.53098658263684,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-122.97532112240792,False,False
23,41,94.8680328771472,interceptor,intercepted_before_small_circle,detour,14,intruder,entered_big_circle,-125.103749178648,True,False
24,29,98.34651403695344,interceptor,intercepted_before_small_circle,detour,12,intruder,entered_big_circle,-123.15968058168887,True,False
25,42,96.33462890774013,interceptor,intercepted_before_small_circle,detour,30,intruder,entered_big_circle,-131.9064608001709,True,False
26,38,96.18678025782108,interceptor,intercepted_before_small_circle,detour,9,intruder,entered_big_circle,-123.15936845421791,True,False
27,190,-165.91370866298675,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-126.01598826169968,False,False
28,22,-126.78323955595494,intruder,entered_big_circle,direct,377,intruder,entered_big_circle,-171.24806802421807,False,False
29,25,-127.52733281195164,intruder,entered_big_circle,direct,25,intruder,entered_big_circle,-130.68684018492698,False,False
30,16,-123.38590434938668,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-124.60649790465831,False,False
31,17,-125.53622770369051,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-126.30560101628303,False,False
32,30,-130.7006826633215,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-131.81186465859412,False,False
33,8,-122.0991559278965,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-122.22457737743855,False,False
34,27,-127.83555839419364,intruder,entered_big_circle,direct,377,intruder,entered_big_circle,-168.5250147974491,False,False
35,40,95.54281312584877,interceptor,intercepted_before_small_circle,detour,22,intruder,entered_big_circle,-126.39346050083637,True,False
36,38,96.83014880299568,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-127.67414919137954,True,False
37,28,98.28470099449156,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-122.12169944167137,True,False
38,36,97.22713456451892,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-121.7813935816288,True,False
39,208,-144.43835928976537,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-128.1380993437767,False,False
40,31,-126.87595185041428,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-132.6387442946434,False,False
41,28,-126.7361567389965,intruder,entered_big_circle,direct,380,intruder,entered_big_circle,-174.31024697095154,False,False
42,9,-122.25230669558049,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-122.6218107509613,False,False
43,31,-127.04692389070988,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-133.36129381656647,False,False
44,6,-121.65613797307014,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-121.75890163183212,False,False
45,15,-123.37453728854656,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-124.51957672178744,False,False
46,35,95.25793889820577,interceptor,intercepted_before_small_circle,detour,15,intruder,entered_big_circle,-125.30457281708718,True,False
47,30,98.03231096327303,interceptor,intercepted_before_small_circle,detour,12,intruder,entered_big_circle,-123.68208114266396,True,False
48,34,97.70021727353334,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-124.94454374253749,True,False
49,36,96.3908723011613,interceptor,intercepted_before_small_circle,detour,376,intruder,entered_big_circle,-140.2016829384118,True,False
50,36,97.37584222704172,interceptor,intercepted_before_small_circle,detour,18,intruder,entered_big_circle,-125.92486498475074,True,False
51,176,-159.16098729014396,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-129.24879988908768,False,False
52,16,-124.29606634378432,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-125.23644480109215,False,False
53,31,-126.86829179003834,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-131.8752402961254,False,False
54,16,-124.52695334553718,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-125.74372969269753,False,False
55,27,-126.9029842248559,intruder,entered_big_circle,direct,372,intruder,entered_big_circle,-177.38583754926918,False,False
56,6,-121.48404915332794,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-121.59267213344575,False,False
57,6,-121.87852938175202,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-121.96992741823196,False,False
58,19,-124.32951159358024,intruder,entered_big_circle,direct,19,intruder,entered_big_circle,-126.60080222964287,False,False
59,23,-126.69646443247797,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-128.59098175883292,False,False
