episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
56,-321.215184,-223.677172,97.538012,False,True,active_collision,intercepted_before_small_circle,attack,37,83,baseline_only_win,baseline_advantage
623,-320.29373,-222.506887,97.786843,False,True,active_collision,intercepted_before_small_circle,attack,32,40,baseline_only_win,baseline_advantage
260,-318.373061,-224.405424,93.967637,False,True,active_collision,intercepted_before_small_circle,attack,44,78,baseline_only_win,baseline_advantage
424,-316.619763,-223.295767,93.323996,False,True,active_collision,intercepted_before_small_circle,attack,42,58,baseline_only_win,baseline_advantage
751,-265.373133,-169.494954,95.878179,False,True,entered_small_circle,intercepted_before_small_circle,attack,95,53,baseline_only_win,baseline_advantage
382,-259.850426,-162.541844,97.308582,False,True,entered_big_circle,intercepted_before_small_circle,direct,216,34,baseline_only_win,baseline_advantage
261,-259.073028,-161.007848,98.06518,False,True,entered_big_circle,intercepted_before_small_circle,direct,175,29,baseline_only_win,baseline_advantage
436,-248.467609,-152.119546,96.348063,False,True,entered_big_circle,intercepted_before_small_circle,direct,200,34,baseline_only_win,baseline_advantage
426,-244.816562,-127.970766,116.845796,False,True,entered_big_circle,passive_intercept,direct,28,76,baseline_only_win,baseline_advantage
477,-243.663227,-147.697129,95.966098,False,True,entered_big_circle,intercepted_before_small_circle,direct,237,56,baseline_only_win,baseline_advantage
71,-243.591864,-128.403071,115.188793,False,True,entered_big_circle,passive_intercept,direct,27,86,baseline_only_win,baseline_advantage
45,-242.713965,-145.342633,97.371332,False,True,entered_big_circle,intercepted_before_small_circle,direct,211,62,baseline_only_win,baseline_advantage
236,-239.303999,-142.1689,97.135098,False,True,entered_big_circle,intercepted_before_small_circle,direct,212,53,baseline_only_win,baseline_advantage
391,-238.504111,-144.271797,94.232315,False,True,entered_big_circle,intercepted_before_small_circle,direct,218,59,baseline_only_win,baseline_advantage
70,-237.072827,-140.312178,96.760649,False,True,entered_big_circle,intercepted_before_small_circle,direct,219,50,baseline_only_win,baseline_advantage
179,-236.259279,-139.325875,96.933404,False,True,entered_big_circle,intercepted_before_small_circle,direct,236,46,baseline_only_win,baseline_advantage
287,-236.128457,-139.515575,96.612882,False,True,entered_big_circle,intercepted_before_small_circle,direct,234,40,baseline_only_win,baseline_advantage
425,-234.297116,-137.955698,96.341418,False,True,entered_big_circle,intercepted_before_small_circle,direct,200,46,baseline_only_win,baseline_advantage
277,-233.953513,-135.938413,98.0151,False,True,entered_big_circle,intercepted_before_small_circle,direct,223,42,baseline_only_win,baseline_advantage
416,-232.576875,-136.831036,95.745839,False,True,entered_big_circle,intercepted_before_small_circle,direct,244,43,baseline_only_win,baseline_advantage
573,321.784769,96.774474,-225.010296,True,False,intercepted_before_small_circle,active_collision,detour,37,64,ops_only_win,ops_advantage
224,321.666943,95.191952,-226.474991,True,False,intercepted_before_small_circle,active_collision,detour,44,48,ops_only_win,ops_advantage
156,321.08211,96.099917,-224.982194,True,False,intercepted_before_small_circle,active_collision,detour,39,59,ops_only_win,ops_advantage
598,320.957295,96.878257,-224.079037,True,False,intercepted_before_small_circle,active_collision,detour,37,70,ops_only_win,ops_advantage
118,320.112785,98.120998,-221.991788,True,False,intercepted_before_small_circle,active_collision,detour,31,34,ops_only_win,ops_advantage
210,319.807245,97.624317,-222.182927,True,False,intercepted_before_small_circle,active_collision,detour,32,44,ops_only_win,ops_advantage
151,240.893951,114.773101,-126.12085,True,False,intercepted_in_big_circle,entered_big_circle,direct,30,30,ops_only_win,ops_advantage
216,240.579293,114.240668,-126.338624,True,False,intercepted_in_big_circle,entered_big_circle,direct,29,29,ops_only_win,ops_advantage
253,240.233222,115.382123,-124.851099,True,False,intercepted_in_big_circle,entered_big_circle,direct,28,28,ops_only_win,ops_advantage
644,224.935656,95.764507,-129.171149,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,31,ops_only_win,ops_advantage
389,224.926946,96.110368,-128.816578,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,28,ops_only_win,ops_advantage
88,224.730338,95.18452,-129.545818,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,30,ops_only_win,ops_advantage
388,224.717096,96.40187,-128.315226,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,31,ops_only_win,ops_advantage
401,224.66857,96.463981,-128.204588,True,False,intercepted_before_small_circle,entered_big_circle,detour,48,32,ops_only_win,ops_advantage
423,224.650938,97.110495,-127.540443,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,31,ops_only_win,ops_advantage
799,224.565157,96.052234,-128.512923,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,28,ops_only_win,ops_advantage
691,224.509299,98.591244,-125.918055,True,False,intercepted_before_small_circle,entered_big_circle,detour,49,27,ops_only_win,ops_advantage
462,224.493942,96.650478,-127.843463,True,False,intercepted_before_small_circle,entered_big_circle,detour,50,32,ops_only_win,ops_advantage
306,224.49344,95.387002,-129.106438,True,False,intercepted_before_small_circle,entered_big_circle,detour,52,29,ops_only_win,ops_advantage
679,224.482996,95.176046,-129.306951,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,31,ops_only_win,ops_advantage
