episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
274,-241.634833,-144.818091,96.816741,False,True,entered_big_circle,intercepted_before_small_circle,direct,160,45,baseline_only_win,baseline_advantage
442,-237.942287,-142.204334,95.737953,False,True,entered_big_circle,intercepted_before_small_circle,direct,148,48,baseline_only_win,baseline_advantage
96,-233.787036,-139.148558,94.638478,False,True,entered_big_circle,intercepted_before_small_circle,direct,160,51,baseline_only_win,baseline_advantage
330,-230.349617,-135.097063,95.252555,False,True,entered_big_circle,intercepted_before_small_circle,direct,180,48,baseline_only_win,baseline_advantage
233,-228.19754,-133.625963,94.571578,False,True,entered_big_circle,intercepted_before_small_circle,direct,182,54,baseline_only_win,baseline_advantage
513,-227.584354,-134.430398,93.153956,False,True,entered_big_circle,intercepted_before_small_circle,direct,172,60,baseline_only_win,baseline_advantage
555,-227.145689,-129.997328,97.148361,False,True,entered_big_circle,intercepted_before_small_circle,direct,175,39,baseline_only_win,baseline_advantage
343,-225.263023,-132.690363,92.572661,False,True,entered_big_circle,intercepted_before_small_circle,direct,187,64,baseline_only_win,baseline_advantage
306,-223.807707,-126.215123,97.592584,False,True,entered_big_circle,intercepted_before_small_circle,direct,29,42,baseline_only_win,baseline_advantage
138,-223.688753,-126.181486,97.507267,False,True,entered_big_circle,intercepted_before_small_circle,direct,29,40,baseline_only_win,baseline_advantage
777,-223.2323,-126.345704,96.886596,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,40,baseline_only_win,baseline_advantage
654,-222.992332,-127.488515,95.503816,False,True,entered_big_circle,intercepted_before_small_circle,direct,28,48,baseline_only_win,baseline_advantage
48,-222.772655,-124.626814,98.145841,False,True,entered_big_circle,intercepted_before_small_circle,direct,27,33,baseline_only_win,baseline_advantage
331,-222.30337,-126.177603,96.125767,False,True,entered_big_circle,intercepted_before_small_circle,direct,28,46,baseline_only_win,baseline_advantage
56,-222.286782,-128.084306,94.202475,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,56,baseline_only_win,baseline_advantage
97,-221.927587,-125.253538,96.674049,False,True,entered_big_circle,intercepted_before_small_circle,direct,28,46,baseline_only_win,baseline_advantage
222,-221.784483,-123.589168,98.195315,False,True,entered_big_circle,intercepted_before_small_circle,direct,23,40,baseline_only_win,baseline_advantage
415,-221.697962,-124.296108,97.401854,False,True,entered_big_circle,intercepted_before_small_circle,direct,22,45,baseline_only_win,baseline_advantage
129,-221.631813,-126.59247,95.039343,False,True,entered_big_circle,intercepted_before_small_circle,direct,25,50,baseline_only_win,baseline_advantage
677,-221.243908,-124.127889,97.116019,False,True,entered_big_circle,intercepted_before_small_circle,direct,22,39,baseline_only_win,baseline_advantage
443,296.885178,119.112501,-177.772677,True,False,intercepted_in_big_circle,entered_big_circle,direct,28,212,ops_only_win,ops_advantage
496,286.831007,95.709782,-191.121225,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,384,ops_only_win,ops_advantage
282,283.65179,97.821444,-185.830346,True,False,intercepted_before_small_circle,entered_big_circle,detour,38,379,ops_only_win,ops_advantage
396,283.26026,96.434647,-186.825613,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,381,ops_only_win,ops_advantage
161,282.986761,96.307511,-186.67925,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,387,ops_only_win,ops_advantage
613,282.181924,97.461706,-184.720218,True,False,intercepted_before_small_circle,entered_big_circle,detour,37,393,ops_only_win,ops_advantage
465,281.366507,96.434536,-184.931971,True,False,intercepted_before_small_circle,entered_big_circle,detour,49,394,ops_only_win,ops_advantage
49,278.13722,96.873053,-181.264167,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,356,ops_only_win,ops_advantage
714,276.855713,97.858968,-178.996745,True,False,intercepted_before_small_circle,entered_big_circle,detour,34,371,ops_only_win,ops_advantage
122,274.268393,97.772795,-176.495598,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,384,ops_only_win,ops_advantage
215,272.803111,96.987547,-175.815564,True,False,intercepted_before_small_circle,entered_big_circle,detour,38,381,ops_only_win,ops_advantage
244,271.942094,97.360567,-174.581528,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,176,ops_only_win,ops_advantage
187,269.840439,96.477838,-173.362601,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,389,ops_only_win,ops_advantage
742,267.7242,98.491732,-169.232468,True,False,intercepted_before_small_circle,entered_big_circle,detour,27,371,ops_only_win,ops_advantage
314,266.036268,96.044411,-169.991857,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,381,ops_only_win,ops_advantage
298,264.358236,96.916816,-167.441419,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,340,ops_only_win,ops_advantage
757,262.539892,97.736177,-164.803715,True,False,intercepted_before_small_circle,entered_big_circle,detour,32,301,ops_only_win,ops_advantage
371,261.692718,97.844055,-163.848663,True,False,intercepted_before_small_circle,active_collision,detour,31,147,ops_only_win,ops_advantage
582,261.261595,97.882127,-163.379468,True,False,intercepted_before_small_circle,entered_big_circle,detour,32,314,ops_only_win,ops_advantage
786,260.827845,97.837248,-162.990597,True,False,intercepted_before_small_circle,entered_big_circle,detour,34,374,ops_only_win,ops_advantage
