episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,11,-121.37078204870224,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.27880142748356,False,False
1,28,-121.3393348619342,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-121.98236429095269,False,False
2,21,-122.01385526776312,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-121.9509746325016,False,False
3,30,-124.6795185792446,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-124.07360543191433,False,False
4,29,-126.30394679188728,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-122.38928633064032,False,False
5,27,-121.54264209419487,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-122.05353569984436,False,False
6,12,-121.25949632942675,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-121.35237565457821,False,False
7,43,95.85012701362372,interceptor,intercepted_before_small_circle,detour,43,interceptor,intercepted_before_small_circle,96.23926536500454,True,True
8,36,96.63467009514572,interceptor,intercepted_before_small_circle,detour,52,interceptor,intercepted_before_small_circle,97.02104748651385,True,True
9,40,96.161261793077,interceptor,intercepted_before_small_circle,detour,115,intruder,active_collision,-127.4281871715188,True,False
10,32,97.9682114237547,interceptor,intercepted_before_small_circle,detour,112,intruder,entered_big_circle,-130.9319341572374,True,False
11,188,-162.37306788533925,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-123.47897332906723,False,False
12,11,-121.06857244729996,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-120.9735142147541,False,False
13,23,-121.0986202582717,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-121.26824098825455,False,False
14,11,-121.7968720960617,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.22887654781341,False,False
15,24,-120.93783025175333,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-121.19891418993473,False,False
16,10,-121.09897909641266,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.098269816041,False,False
17,21,-121.8914946204424,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-122.01732524096965,False,False
18,21,-122.0322813397646,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-122.0426685667038,False,False
19,55,97.17922978941353,interceptor,intercepted_before_small_circle,detour,47,interceptor,intercepted_before_small_circle,96.2961197964847,True,True
20,28,98.4808414402604,interceptor,intercepted_before_small_circle,detour,30,interceptor,intercepted_before_small_circle,98.42151896119118,True,True
21,29,98.2607667130232,interceptor,intercepted_before_small_circle,detour,57,interceptor,intercepted_before_small_circle,97.63378887712956,True,True
22,36,97.0927655801177,interceptor,intercepted_before_small_circle,detour,192,intruder,entered_small_circle,-130.11312870703637,True,False
23,35,-122.82053006753326,intruder,active_collision,attack,26,intruder,entered_big_circle,-121.82546112537383,False,False
24,200,-158.6894124656915,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.05180107176304,False,False
25,11,-121.45921496272086,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.46951090514659,False,False
26,23,-121.63268632411956,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-121.9581063312292,False,False
27,6,-120.68767883896828,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-120.64304175496102,False,False
28,27,-121.56461472406984,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-121.76175839424133,False,False
29,27,-126.52931166410448,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-123.06695092439651,False,False
30,7,-120.76494059860708,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-120.78144554197789,False,False
