episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-120.64574785470964,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.667492582798,False,False
1,10,-120.9537237417698,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.14938433289528,False,False
2,16,-122.52995690107346,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-123.62767788171769,False,False
3,11,-121.2130924206972,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.2773160380125,False,False
4,30,-123.14967250227927,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-125.170528703928,False,False
5,30,-122.22659491300584,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-125.20810400247574,False,False
6,5,-120.4008270162344,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.51103016316891,False,False
7,13,-121.1533449113369,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.41284702420235,False,False
8,16,-121.71651689827442,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.39737799882889,False,False
9,18,-121.29873367726805,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-122.22101696908474,False,False
10,33,98.02393740713596,interceptor,intercepted_before_small_circle,detour,357,intruder,entered_big_circle,-159.60475083142518,True,False
11,25,98.9351188337803,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.42698596715927,True,False
12,27,98.34485942214728,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.5689804315567,True,False
13,32,97.29486187934876,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-121.2009946835041,True,False
14,41,96.13516007959842,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-124.51871396303177,True,False
15,184,-151.82046545743944,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.99973597884178,False,False
16,21,-122.10426224529743,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-123.1204313313961,False,False
17,18,-121.95001775562764,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-122.80581255793571,False,False
18,28,-122.75008323252202,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-126.25412155151368,False,False
19,23,-121.75557893395424,intruder,entered_big_circle,direct,383,intruder,entered_big_circle,-165.70637629806996,False,False
20,17,-122.41037811756134,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-123.39450167536735,False,False
21,18,-121.87051508963108,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-123.08947464466095,False,False
22,10,-121.0427284348011,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.02282857477665,False,False
23,40,96.3809583762288,interceptor,intercepted_before_small_circle,detour,14,intruder,entered_big_circle,-122.0842125415802,True,False
24,29,98.36244777858258,interceptor,intercepted_before_small_circle,detour,12,intruder,entered_big_circle,-120.71797654926777,True,False
25,42,96.3314697661996,interceptor,intercepted_before_small_circle,detour,30,intruder,entered_big_circle,-125.24954622268676,True,False
26,39,96.13265372484922,interceptor,intercepted_before_small_circle,detour,363,intruder,entered_big_circle,-152.94423021882773,True,False
27,190,-163.62181363284586,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-123.53716802716255,False,False
28,22,-123.17293296396733,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-125.3665631377697,False,False
29,25,-123.04286375045776,intruder,entered_big_circle,direct,25,intruder,entered_big_circle,-125.8931418299675,False,False
30,16,-120.91915467977525,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.3974938750267,False,False
31,17,-122.04761039495467,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-122.57274060726166,False,False
32,30,-123.79784248530864,intruder,entered_big_circle,direct,246,intruder,active_collision,-260.9602101500332,False,False
33,8,-121.01749623358248,intruder,entered_big_circle,direct,98,intruder,entered_big_circle,-151.79734263658523,False,False
34,27,-122.74300099372864,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-124.91777978301049,False,False
35,40,96.28026919603349,interceptor,intercepted_before_small_circle,detour,22,intruder,entered_big_circle,-123.84365882515907,True,False
36,38,96.83014880299568,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-123.8633789896965,True,False
37,28,98.28470099449156,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-120.92427834272385,True,False
38,36,97.22713456451892,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.79423516392708,True,False
39,208,-140.74770187199115,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-123.99253593087197,False,False
40,31,-121.95754884302616,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-124.98979008316994,False,False
41,28,-121.54872762978076,intruder,entered_big_circle,direct,56,interceptor,intercepted_before_small_circle,98.3228692188859,False,True
42,9,-120.9658518588543,intruder,entered_big_circle,direct,272,intruder,active_collision,-237.7680393192172,False,False
43,31,-122.00060669958592,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-126.05075087249278,False,False
44,6,-120.7522544312477,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-120.75061709165573,False,False
45,15,-121.38348140120506,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-121.19212809503078,False,False
46,34,97.76133948773146,interceptor,intercepted_before_small_circle,detour,15,intruder,entered_big_circle,-122.20203180193901,True,False
47,31,98.04351022690534,interceptor,intercepted_before_small_circle,detour,12,intruder,entered_big_circle,-121.34411686420441,True,False
48,34,97.70021727353334,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-122.99174151062965,True,False
49,36,96.3908723011613,interceptor,intercepted_before_small_circle,detour,7,intruder,entered_big_circle,-121.15863884329796,True,False
50,36,97.37584222704172,interceptor,intercepted_before_small_circle,detour,18,intruder,entered_big_circle,-122.03295551776885,True,False
51,176,-155.91209539234637,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-124.96245234608651,False,False
52,16,-121.74123382806778,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.99466297268867,False,False
53,31,-121.9320056167245,intruder,entered_big_circle,direct,368,intruder,entered_big_circle,-145.7562947255373,False,False
54,16,-121.90376164376735,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.15387900531292,False,False
55,27,-122.42454205572604,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-123.8130148512125,False,False
56,6,-120.63609945058823,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-120.7012149322033,False,False
