episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
41,-219.871597,-121.548728,98.322869,False,True,entered_big_circle,intercepted_before_small_circle,direct,28,56,baseline_only_win,baseline_advantage
350,-219.426316,-120.813909,98.612407,False,True,entered_big_circle,intercepted_before_small_circle,direct,10,32,baseline_only_win,baseline_advantage
336,-219.282102,-122.500078,96.782024,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,52,baseline_only_win,baseline_advantage
414,-218.741079,-121.769226,96.971853,False,True,entered_big_circle,intercepted_before_small_circle,direct,19,54,baseline_only_win,baseline_advantage
430,-217.969791,-120.541585,97.428206,False,True,entered_big_circle,intercepted_before_small_circle,direct,5,38,baseline_only_win,baseline_advantage
729,-217.358223,-120.593066,96.765157,False,True,entered_big_circle,intercepted_before_small_circle,direct,6,63,baseline_only_win,baseline_advantage
476,-216.303288,-120.909166,95.394122,False,True,entered_big_circle,intercepted_before_small_circle,direct,6,71,baseline_only_win,baseline_advantage
331,-101.194811,-222.435659,-121.240849,False,False,active_collision,entered_big_circle,attack,33,9,both_lose,baseline_advantage
89,-101.046241,-223.593897,-122.547656,False,False,active_collision,entered_big_circle,attack,41,24,both_lose,baseline_advantage
447,-100.936083,-222.877204,-121.941121,False,False,active_collision,entered_big_circle,attack,36,28,both_lose,baseline_advantage
131,-100.883992,-222.300834,-121.416842,False,False,active_collision,entered_big_circle,attack,32,15,both_lose,baseline_advantage
772,-100.751442,-221.553624,-120.802182,False,False,active_collision,entered_big_circle,attack,28,9,both_lose,baseline_advantage
469,-100.744386,-223.975704,-123.231319,False,False,active_collision,entered_big_circle,attack,40,20,both_lose,baseline_advantage
458,-99.758714,-222.734664,-122.97595,False,False,active_collision,entered_big_circle,attack,37,24,both_lose,baseline_advantage
90,-99.508733,-223.811982,-124.30325,False,False,active_collision,entered_big_circle,attack,32,28,both_lose,baseline_advantage
688,-97.721145,-222.642263,-124.921118,False,False,active_collision,entered_big_circle,attack,30,24,both_lose,baseline_advantage
210,-53.767797,-176.079519,-122.311722,False,False,entered_small_circle,entered_big_circle,attack,67,18,both_lose,baseline_advantage
574,-49.798717,-172.903684,-123.104967,False,False,entered_big_circle,entered_big_circle,direct,174,20,both_lose,baseline_advantage
689,-46.927915,-167.702146,-120.774232,False,False,entered_small_circle,entered_big_circle,attack,55,8,both_lose,baseline_advantage
195,-45.69755,-167.873069,-122.175519,False,False,entered_big_circle,entered_big_circle,direct,175,13,both_lose,baseline_advantage
530,376.140792,95.936603,-280.204188,True,False,intercepted_before_small_circle,active_collision,detour,44,338,ops_only_win,ops_advantage
676,373.246906,118.271292,-254.975614,True,False,intercepted_in_big_circle,active_collision,direct,31,321,ops_only_win,ops_advantage
494,366.577265,96.255801,-270.321464,True,False,intercepted_before_small_circle,active_collision,detour,40,333,ops_only_win,ops_advantage
287,363.632143,97.211954,-266.420189,True,False,intercepted_before_small_circle,active_collision,detour,35,315,ops_only_win,ops_advantage
102,361.822103,96.176771,-265.645332,True,False,intercepted_before_small_circle,active_collision,detour,39,313,ops_only_win,ops_advantage
571,360.132884,94.671417,-265.461467,True,False,intercepted_before_small_circle,active_collision,detour,47,312,ops_only_win,ops_advantage
60,356.016159,95.547466,-260.468693,True,False,intercepted_before_small_circle,active_collision,detour,48,247,ops_only_win,ops_advantage
396,355.27437,96.642971,-258.631399,True,False,intercepted_before_small_circle,active_collision,detour,45,305,ops_only_win,ops_advantage
465,353.890016,98.917922,-254.972094,True,False,intercepted_before_small_circle,active_collision,detour,30,308,ops_only_win,ops_advantage
687,353.681027,98.128704,-255.552323,True,False,intercepted_before_small_circle,active_collision,detour,29,308,ops_only_win,ops_advantage
443,352.720337,97.74156,-254.978777,True,False,intercepted_before_small_circle,active_collision,detour,33,297,ops_only_win,ops_advantage
224,349.430054,96.66233,-252.767725,True,False,intercepted_before_small_circle,active_collision,detour,41,311,ops_only_win,ops_advantage
192,346.91728,96.415476,-250.501804,True,False,intercepted_before_small_circle,active_collision,detour,40,308,ops_only_win,ops_advantage
368,344.551287,96.436322,-248.114965,True,False,intercepted_before_small_circle,active_collision,detour,42,298,ops_only_win,ops_advantage
431,343.615804,98.356339,-245.259465,True,False,intercepted_before_small_circle,active_collision,detour,33,268,ops_only_win,ops_advantage
357,342.449568,95.055115,-247.394454,True,False,intercepted_before_small_circle,active_collision,detour,46,324,ops_only_win,ops_advantage
635,339.390252,95.05734,-244.332912,True,False,intercepted_before_small_circle,active_collision,detour,46,299,ops_only_win,ops_advantage
142,263.369159,97.443888,-165.925271,True,False,intercepted_before_small_circle,entered_big_circle,detour,31,380,ops_only_win,ops_advantage
768,262.32271,96.141738,-166.180973,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,361,ops_only_win,ops_advantage
406,261.398262,97.095229,-164.303033,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,374,ops_only_win,ops_advantage
