episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,16,-121.22470999598504,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.31190047502518,False,False
1,31,-126.52440157055857,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-124.06158689677716,False,False
2,16,-122.35150100588798,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.3090419948101,False,False
3,27,-121.67891406655312,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-125.56235700488091,False,False
4,5,-120.55105546116827,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.67814469337463,False,False
5,14,-121.5137888121605,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-122.26876344561578,False,False
6,9,-120.99194567620754,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-121.27741888880729,False,False
7,23,-125.4741870188713,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-123.69507356226444,False,False
8,14,-122.56152552366255,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-121.80448195338249,False,False
9,37,97.52476234853268,interceptor,intercepted_before_small_circle,detour,358,intruder,entered_big_circle,-136.27191243276,True,False
10,41,96.23843731433152,interceptor,intercepted_before_small_circle,detour,27,intruder,entered_big_circle,-125.79950863242149,True,False
11,41,96.67509258538485,interceptor,intercepted_before_small_circle,detour,26,intruder,entered_big_circle,-125.30246544837952,True,False
12,33,97.6143694254756,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-121.13210923314095,True,False
13,210,-141.75996134355665,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-123.33829298615456,False,False
14,20,-122.5592738699913,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-123.98108732819557,False,False
15,17,-121.0424998190999,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-122.58317837238312,False,False
16,19,-121.301403786242,intruder,entered_big_circle,direct,370,intruder,entered_big_circle,-161.1789399600029,False,False
17,16,-121.73478039979936,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.80104958891869,False,False
18,10,-120.98073442935944,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.31992100834846,False,False
19,22,-125.01887090563774,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-122.87099121570587,False,False
20,15,-121.32277125537397,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-122.56158216714859,False,False
21,31,97.61989839583636,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.71753186464309,True,False
22,32,98.01086528539658,interceptor,intercepted_before_small_circle,detour,18,intruder,entered_big_circle,-121.90354236721993,True,False
23,34,97.4699574571848,interceptor,intercepted_before_small_circle,detour,14,intruder,entered_big_circle,-122.18309795856476,True,False
24,34,97.72333797186612,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.78550280094147,True,False
25,223,-117.01344323750584,intruder,entered_big_circle,direct,386,intruder,entered_big_circle,-150.49013173818588,False,False
26,24,-122.38720956027508,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-124.62194256067276,False,False
27,29,-125.06785111188888,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-124.09769590258598,False,False
28,20,-123.79724503517151,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-122.340836430192,False,False
29,24,-122.7204858124256,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-124.95239300131797,False,False
30,22,-122.27778447508813,intruder,entered_big_circle,direct,367,intruder,entered_big_circle,-168.73275782316924,False,False
31,38,96.8970854884386,interceptor,intercepted_before_small_circle,detour,18,intruder,entered_big_circle,-122.13435787558555,True,False
32,33,98.5098594839871,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-121.92276429951191,True,False
33,32,97.66965627014638,interceptor,intercepted_before_small_circle,detour,13,intruder,entered_big_circle,-122.21863968133927,True,False
34,37,96.86222703099251,interceptor,intercepted_before_small_circle,detour,17,intruder,entered_big_circle,-122.09008904516696,True,False
35,224,-132.1027960242331,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-123.74593169927597,False,False
36,11,-121.080845977664,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.61728523254395,False,False
37,4,-120.54815069198608,intruder,entered_big_circle,direct,4,intruder,entered_big_circle,-120.57334161162376,False,False
