episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
118,-180.991261,-301.749084,-120.757823,False,False,active_collision,entered_big_circle,attack,29,7,both_lose,baseline_advantage
288,-180.940841,-301.905865,-120.965024,False,False,active_collision,entered_big_circle,attack,30,8,both_lose,baseline_advantage
345,-180.764432,-301.179382,-120.414951,False,False,active_collision,entered_big_circle,attack,24,5,both_lose,baseline_advantage
573,-180.186599,-302.236724,-122.050125,False,False,active_collision,entered_big_circle,attack,33,12,both_lose,baseline_advantage
680,-178.079897,-303.626279,-125.546382,False,False,active_collision,entered_big_circle,attack,37,26,both_lose,baseline_advantage
55,-174.3838,-297.078308,-122.694508,False,False,active_collision,entered_big_circle,attack,126,17,both_lose,baseline_advantage
704,-173.939431,-296.222192,-122.282761,False,False,active_collision,entered_big_circle,attack,111,20,both_lose,baseline_advantage
560,-173.199295,-293.68561,-120.486315,False,False,active_collision,entered_big_circle,attack,129,5,both_lose,baseline_advantage
719,-173.047064,-295.038441,-121.991378,False,False,active_collision,entered_big_circle,attack,127,15,both_lose,baseline_advantage
266,-172.123256,-295.632434,-123.509178,False,False,active_collision,entered_big_circle,attack,119,31,both_lose,baseline_advantage
380,-170.215449,-296.16753,-125.952081,False,False,active_collision,entered_big_circle,attack,122,38,both_lose,baseline_advantage
213,-146.469117,-303.577126,-157.108009,False,False,active_collision,entered_big_circle,attack,38,395,both_lose,baseline_advantage
214,-81.855914,-207.976662,-126.120748,False,False,entered_small_circle,entered_big_circle,attack,78,28,both_lose,baseline_advantage
83,-78.515127,-204.741199,-126.226072,False,False,entered_small_circle,entered_big_circle,attack,72,28,both_lose,baseline_advantage
252,-76.679329,-199.265657,-122.586329,False,False,entered_small_circle,entered_big_circle,attack,69,17,both_lose,baseline_advantage
574,-75.927266,-196.572286,-120.64502,False,False,entered_small_circle,entered_big_circle,attack,60,5,both_lose,baseline_advantage
444,-75.902873,-198.915604,-123.012732,False,False,entered_small_circle,entered_big_circle,attack,61,16,both_lose,baseline_advantage
163,-71.055707,-192.542149,-121.486442,False,False,entered_small_circle,entered_big_circle,attack,54,10,both_lose,baseline_advantage
443,-69.764591,-195.392993,-125.628402,False,False,entered_small_circle,entered_big_circle,attack,88,29,both_lose,baseline_advantage
190,-68.70713,-189.872022,-121.164891,False,False,entered_small_circle,entered_big_circle,attack,56,8,both_lose,baseline_advantage
379,436.510702,97.108131,-339.402571,True,False,intercepted_before_small_circle,active_collision,detour,43,288,ops_only_win,ops_advantage
442,435.093656,95.723221,-339.370435,True,False,intercepted_before_small_circle,active_collision,detour,45,326,ops_only_win,ops_advantage
276,433.023407,97.337606,-335.685801,True,False,intercepted_before_small_circle,active_collision,detour,37,311,ops_only_win,ops_advantage
417,429.094184,96.359228,-332.734955,True,False,intercepted_before_small_circle,active_collision,detour,47,295,ops_only_win,ops_advantage
426,279.963083,95.447817,-184.515266,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,368,ops_only_win,ops_advantage
669,275.931855,95.917682,-180.014173,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,372,ops_only_win,ops_advantage
127,274.183609,96.360293,-177.823317,True,False,intercepted_before_small_circle,entered_big_circle,detour,37,364,ops_only_win,ops_advantage
202,274.025985,95.498175,-178.52781,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,366,ops_only_win,ops_advantage
611,272.682561,95.812093,-176.870469,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,365,ops_only_win,ops_advantage
465,272.448403,97.072058,-175.376345,True,False,intercepted_before_small_circle,entered_big_circle,detour,48,379,ops_only_win,ops_advantage
344,266.537223,97.065478,-169.471746,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,386,ops_only_win,ops_advantage
765,261.707192,96.635057,-165.072135,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,372,ops_only_win,ops_advantage
141,260.266076,96.99492,-163.271156,True,False,intercepted_before_small_circle,entered_big_circle,detour,38,383,ops_only_win,ops_advantage
638,256.192401,95.302303,-160.890098,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,377,ops_only_win,ops_advantage
286,254.812535,97.087932,-157.724603,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,260,ops_only_win,ops_advantage
714,254.385308,98.206558,-156.17875,True,False,intercepted_before_small_circle,entered_big_circle,detour,32,374,ops_only_win,ops_advantage
644,253.773484,96.213388,-157.560096,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,378,ops_only_win,ops_advantage
160,253.552396,95.697367,-157.855029,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,385,ops_only_win,ops_advantage
367,251.440018,97.518343,-153.921676,True,False,intercepted_before_small_circle,entered_big_circle,detour,33,372,ops_only_win,ops_advantage
479,251.312129,97.741761,-153.570368,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,379,ops_only_win,ops_advantage
