episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-140.2648172521591,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-140.23826226234436,False,False
1,10,-140.27160565614702,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-140.3265356040001,False,False
2,16,-141.0708613395691,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-140.975178194046,False,False
3,11,-140.33271769762038,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-140.4393987107277,False,False
4,30,-141.59800684928894,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-143.16769965171815,False,False
5,30,-140.09212700605391,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-142.1141812133789,False,False
6,5,-140.0226215362549,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-140.07235893011094,False,False
7,13,-140.19722646713257,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-140.35962267160414,False,False
8,16,-140.3533370900154,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-140.96706657886506,False,False
9,18,-140.26646862983705,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-140.539185795784,False,False
10,35,97.97479429781436,interceptor,intercepted_before_small_circle,detour,339,intruder,entered_big_circle,-211.89600926697253,True,False
11,25,98.8201463392377,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-139.98308237791062,True,False
12,27,98.31549328953028,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-140.06397545337677,True,False
13,33,97.30423333078625,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-140.48827974319457,True,False
14,40,96.11729084312915,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-141.4054069328308,True,False
15,183,-165.9848335891962,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-140.47828882217408,False,False
16,21,-140.53074355363844,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-140.62707710504532,False,False
17,18,-141.17582449913024,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-141.0099338054657,False,False
18,28,-141.12678560495377,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-141.71972514867784,False,False
