episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
623,-93.309437,-234.408995,-141.099558,False,False,active_collision,entered_big_circle,attack,134,21,both_lose,baseline_advantage
260,-84.161111,-224.405424,-140.244313,False,False,active_collision,entered_big_circle,attack,44,24,both_lose,baseline_advantage
56,-83.156771,-223.708221,-140.551449,False,False,active_collision,entered_big_circle,attack,37,16,both_lose,baseline_advantage
587,-82.852258,-226.002355,-143.150097,False,False,active_collision,entered_big_circle,attack,55,29,both_lose,baseline_advantage
424,-82.513989,-223.393116,-140.879127,False,False,active_collision,entered_big_circle,attack,45,21,both_lose,baseline_advantage
717,-82.153608,-222.276959,-140.123351,False,False,active_collision,entered_big_circle,attack,29,4,both_lose,baseline_advantage
560,-82.10982,-223.260657,-141.150837,False,False,active_collision,entered_big_circle,attack,38,17,both_lose,baseline_advantage
768,-81.86399,-222.927921,-141.063931,False,False,active_collision,entered_big_circle,attack,32,24,both_lose,baseline_advantage
69,-81.700008,-222.2383,-140.538292,False,False,active_collision,entered_big_circle,attack,29,12,both_lose,baseline_advantage
390,-81.488151,-222.432653,-140.944502,False,False,active_collision,entered_big_circle,attack,46,27,both_lose,baseline_advantage
23,-81.445773,-222.650943,-141.20517,False,False,active_collision,entered_big_circle,attack,44,26,both_lose,baseline_advantage
155,-80.809157,-221.002878,-140.193721,False,False,active_collision,entered_big_circle,attack,50,16,both_lose,baseline_advantage
463,-33.273179,-174.951243,-141.678064,False,False,entered_big_circle,entered_big_circle,direct,180,21,both_lose,baseline_advantage
575,-28.904008,-170.826109,-141.922101,False,False,entered_big_circle,entered_big_circle,direct,155,26,both_lose,baseline_advantage
728,-28.285258,-169.960853,-141.675595,False,False,entered_small_circle,entered_big_circle,attack,80,25,both_lose,baseline_advantage
11,-27.528013,-170.72677,-143.198758,False,False,entered_small_circle,entered_big_circle,attack,79,31,both_lose,baseline_advantage
751,-27.511567,-169.697836,-142.186269,False,False,entered_small_circle,entered_big_circle,attack,84,25,both_lose,baseline_advantage
237,-27.134535,-167.660962,-140.526427,False,False,entered_big_circle,entered_big_circle,direct,208,8,both_lose,baseline_advantage
673,-26.931369,-167.63252,-140.70115,False,False,entered_big_circle,entered_big_circle,direct,219,18,both_lose,baseline_advantage
583,-26.420329,-141.731446,-115.311117,False,False,entered_big_circle,entered_small_circle,direct,21,77,both_lose,baseline_advantage
713,336.723822,97.117446,-239.606376,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,350,ops_only_win,ops_advantage
235,332.974983,97.511972,-235.46301,True,False,intercepted_before_small_circle,entered_big_circle,detour,32,349,ops_only_win,ops_advantage
611,332.035742,97.590374,-234.445368,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,352,ops_only_win,ops_advantage
188,331.773791,96.459442,-235.314349,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,334,ops_only_win,ops_advantage
307,330.211533,97.539943,-232.67159,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,350,ops_only_win,ops_advantage
432,329.928555,99.511047,-230.417508,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,337,ops_only_win,ops_advantage
104,329.472482,96.012544,-233.459938,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,362,ops_only_win,ops_advantage
199,328.962103,98.238056,-230.724048,True,False,intercepted_before_small_circle,entered_big_circle,detour,37,342,ops_only_win,ops_advantage
52,328.833439,99.244567,-229.588872,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,338,ops_only_win,ops_advantage
789,328.328654,97.707298,-230.621356,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,335,ops_only_win,ops_advantage
645,328.189833,94.523707,-233.666125,True,False,intercepted_before_small_circle,entered_big_circle,detour,49,362,ops_only_win,ops_advantage
423,327.882162,97.107551,-230.774611,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,347,ops_only_win,ops_advantage
779,327.442228,97.267248,-230.174981,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,321,ops_only_win,ops_advantage
496,326.031044,98.418481,-227.612562,True,False,intercepted_before_small_circle,entered_big_circle,detour,32,327,ops_only_win,ops_advantage
764,325.668495,99.023146,-226.645348,True,False,intercepted_before_small_circle,entered_big_circle,detour,31,343,ops_only_win,ops_advantage
380,324.628586,97.93565,-226.692936,True,False,intercepted_before_small_circle,entered_big_circle,detour,32,324,ops_only_win,ops_advantage
142,323.250865,97.684961,-225.565905,True,False,intercepted_before_small_circle,entered_big_circle,detour,29,344,ops_only_win,ops_advantage
680,322.829811,95.961085,-226.868727,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,353,ops_only_win,ops_advantage
151,322.746185,99.230125,-223.51606,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,254,ops_only_win,ops_advantage
351,322.682521,96.406205,-226.276316,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,356,ops_only_win,ops_advantage
