episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
439,-242.172556,-142.419701,99.752856,False,True,entered_big_circle,intercepted_in_big_circle,direct,31,361,baseline_only_win,baseline_advantage
416,-231.014554,-138.60738,92.407175,False,True,entered_big_circle,intercepted_in_big_circle,direct,28,351,baseline_only_win,baseline_advantage
795,-227.262814,-140.096882,87.165932,False,True,entered_big_circle,intercepted_in_big_circle,direct,11,360,baseline_only_win,baseline_advantage
777,-162.767662,-303.326219,-140.558557,False,False,active_collision,entered_big_circle,attack,41,30,both_lose,baseline_advantage
571,-162.709336,-302.892489,-140.183153,False,False,active_collision,entered_big_circle,attack,34,6,both_lose,baseline_advantage
288,-161.675302,-301.905865,-140.230563,False,False,active_collision,entered_big_circle,attack,30,8,both_lose,baseline_advantage
213,-160.631495,-303.577126,-142.945631,False,False,active_collision,entered_big_circle,attack,38,29,both_lose,baseline_advantage
95,-160.554185,-303.842941,-143.288756,False,False,active_collision,entered_big_circle,attack,39,30,both_lose,baseline_advantage
55,-156.427513,-297.078308,-140.650796,False,False,active_collision,entered_big_circle,attack,126,17,both_lose,baseline_advantage
266,-155.747096,-295.632434,-139.885338,False,False,active_collision,entered_big_circle,attack,119,31,both_lose,baseline_advantage
748,-155.467652,-295.742157,-140.274505,False,False,active_collision,entered_big_circle,attack,126,19,both_lose,baseline_advantage
331,-153.31707,-293.42938,-140.11231,False,False,active_collision,entered_big_circle,attack,117,28,both_lose,baseline_advantage
411,-149.383471,-289.286057,-139.902586,False,False,active_collision,entered_big_circle,attack,158,17,both_lose,baseline_advantage
677,-101.229738,-290.000456,-188.770718,False,False,active_collision,entered_big_circle,attack,175,333,both_lose,baseline_advantage
214,-64.798584,-207.976662,-143.178078,False,False,entered_small_circle,entered_big_circle,attack,78,28,both_lose,baseline_advantage
83,-60.929957,-204.741199,-143.811241,False,False,entered_small_circle,entered_big_circle,attack,72,28,both_lose,baseline_advantage
252,-58.491514,-199.265657,-140.774143,False,False,entered_small_circle,entered_big_circle,attack,69,17,both_lose,baseline_advantage
749,-52.6543,-193.222039,-140.56774,False,False,entered_small_circle,entered_big_circle,attack,55,10,both_lose,baseline_advantage
163,-52.05179,-192.542149,-140.490359,False,False,entered_small_circle,entered_big_circle,attack,54,10,both_lose,baseline_advantage
444,-49.643849,-190.976151,-141.332302,False,False,entered_small_circle,entered_big_circle,attack,65,16,both_lose,baseline_advantage
396,325.494781,101.047545,-224.447236,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,353,ops_only_win,ops_advantage
465,324.38449,96.425879,-227.958611,True,False,intercepted_before_small_circle,entered_big_circle,detour,51,375,ops_only_win,ops_advantage
607,319.672011,97.451656,-222.220354,True,False,intercepted_before_small_circle,entered_big_circle,detour,38,370,ops_only_win,ops_advantage
354,319.30751,95.850872,-223.456638,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,362,ops_only_win,ops_advantage
642,316.952435,96.223876,-220.72856,True,False,intercepted_before_small_circle,entered_big_circle,detour,50,353,ops_only_win,ops_advantage
116,316.716675,98.480758,-218.235917,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,348,ops_only_win,ops_advantage
344,315.564874,97.085631,-218.479243,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,347,ops_only_win,ops_advantage
159,315.189909,97.748711,-217.441198,True,False,intercepted_before_small_circle,entered_big_circle,detour,34,361,ops_only_win,ops_advantage
656,314.688871,97.929013,-216.759858,True,False,intercepted_before_small_circle,entered_big_circle,detour,31,352,ops_only_win,ops_advantage
125,314.46691,100.812579,-213.65433,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,358,ops_only_win,ops_advantage
761,311.963671,95.075739,-216.887932,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,380,ops_only_win,ops_advantage
568,311.153411,95.832801,-215.32061,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,378,ops_only_win,ops_advantage
488,304.396165,96.817147,-207.579017,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,365,ops_only_win,ops_advantage
663,303.809682,98.065002,-205.744679,True,False,intercepted_before_small_circle,entered_big_circle,detour,37,364,ops_only_win,ops_advantage
239,301.9948,96.679647,-205.315153,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,363,ops_only_win,ops_advantage
299,301.92405,97.45166,-204.47239,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,323,ops_only_win,ops_advantage
68,294.184492,96.862789,-197.321703,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,370,ops_only_win,ops_advantage
430,291.521185,97.254555,-194.26663,True,False,intercepted_before_small_circle,entered_big_circle,detour,33,352,ops_only_win,ops_advantage
262,288.534385,98.064565,-190.46982,True,False,intercepted_before_small_circle,entered_big_circle,detour,31,357,ops_only_win,ops_advantage
32,288.329776,98.509859,-189.819916,True,False,intercepted_before_small_circle,entered_big_circle,detour,33,358,ops_only_win,ops_advantage
