episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-140.2648172521591,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-140.25946487426756,False,False
1,10,-140.27160565614702,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-140.33727829217912,False,False
2,16,-141.0708613395691,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-140.82904937267304,False,False
3,11,-140.33271769762038,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-140.06670065402986,False,False
4,30,-141.59800684928894,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-140.22343950748444,False,False
5,30,-140.09212700605391,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-139.85818468809128,False,False
6,5,-140.0226215362549,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-140.07235893011094,False,False
7,13,-140.19722646713257,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-140.35962267160414,False,False
8,16,-140.3533370900154,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-140.96706657886506,False,False
9,18,-140.26646862983705,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-139.4805730319023,False,False
10,35,97.97479429781436,interceptor,intercepted_before_small_circle,detour,355,intruder,entered_big_circle,-161.2538512161374,True,False
11,25,98.8201463392377,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-139.9909530878067,True,False
12,27,98.31549328953028,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-140.00628448724746,True,False
13,33,97.30423333078625,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-140.50372435569764,True,False
14,40,96.11729084312915,interceptor,intercepted_before_small_circle,detour,20,intruder,entered_big_circle,-140.70895232439042,True,False
15,64,-191.85739449739452,intruder,entered_small_circle,attack,13,intruder,entered_big_circle,-140.8520598936081,False,False
16,26,-300.8825513029844,intruder,active_collision,attack,21,intruder,entered_big_circle,-139.45668721437454,False,False
17,62,-198.29024760842324,intruder,entered_small_circle,attack,18,intruder,entered_big_circle,-141.54961199760436,False,False
18,28,-142.633276335001,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-143.09593455076217,False,False
19,23,-141.38119904756547,intruder,entered_big_circle,direct,368,intruder,entered_big_circle,-195.66092226445676,False,False
20,17,-140.96498898267745,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-140.47375664710998,False,False
21,18,-141.23022409677506,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-141.5443108677864,False,False
22,10,-140.35367856025695,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-140.43272824287413,False,False
23,14,-141.1663406586647,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-141.23253326177598,False,False
24,12,-140.21145338535308,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-140.1821358513832,False,False
25,30,-141.420478951931,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-139.11593037247658,False,False
26,9,-140.69649555921555,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-140.69648976564406,False,False
27,44,97.07554409652948,interceptor,intercepted_before_small_circle,detour,368,intruder,entered_big_circle,-194.25783148497345,True,False
28,44,95.28147525906564,interceptor,intercepted_before_small_circle,detour,22,intruder,entered_big_circle,-141.14101096868515,True,False
29,46,95.34810361862182,interceptor,intercepted_before_small_circle,detour,25,intruder,entered_big_circle,-143.62771106243133,True,False
30,30,98.29035358786582,interceptor,intercepted_before_small_circle,detour,16,intruder,entered_big_circle,-140.30255757570268,True,False
31,225,-133.36106173843146,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-141.0055471086502,False,False
32,30,-141.75388669490815,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-142.6085748386383,False,False
33,8,-140.2685593366623,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-140.20412774085997,False,False
34,27,-140.22893522739412,intruder,entered_big_circle,direct,359,intruder,entered_big_circle,-193.64637099206448,False,False
35,22,-140.7723646092415,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-140.95674893140793,False,False
36,45,98.13199412226678,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-141.59108155965805,True,False
37,28,98.28470099449156,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-140.2851209783554,True,False
38,35,97.23085776478052,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-140.24963762760163,True,False
39,42,95.86995569109916,interceptor,intercepted_before_small_circle,detour,23,intruder,entered_big_circle,-141.1676175379753,True,False
40,181,-303.9738565697521,intruder,active_collision,attack,31,intruder,entered_big_circle,-143.345642952919,False,False
41,28,-140.33062276005745,intruder,entered_big_circle,direct,302,intruder,active_collision,-344.2657098248601,False,False
42,9,-140.22024489641188,intruder,entered_big_circle,direct,35,intruder,entered_big_circle,-146.94407811760902,False,False
43,31,-140.24815544605255,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-142.40707917928697,False,False
44,6,-140.24402676343917,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-140.21820779561997,False,False
45,15,-140.5950243997574,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-140.5988447713852,False,False
46,15,-140.2219308257103,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-140.83816376924514,False,False
47,12,-140.18636263370513,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-140.30430136680604,False,False
48,20,-139.9499562525749,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-140.94537464618682,False,False
49,7,-140.40205538749694,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-140.44159148216247,False,False
50,18,-140.5936255455017,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-141.06967697143554,False,False
51,43,96.3038016715646,interceptor,intercepted_before_small_circle,detour,24,intruder,entered_big_circle,-142.60302352666855,True,False
52,33,97.62079524129628,interceptor,intercepted_before_small_circle,detour,361,intruder,entered_big_circle,-218.27375437855721,True,False
53,43,96.18715303122995,interceptor,intercepted_before_small_circle,detour,31,intruder,entered_big_circle,-142.77495611190795,True,False
54,38,96.74321309655905,interceptor,intercepted_before_small_circle,detour,16,intruder,entered_big_circle,-141.2223279976845,True,False
55,178,-163.59000969350336,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-141.85254794359207,False,False
56,6,-140.14142239809036,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-140.17109343528747,False,False
57,6,-140.41926180124284,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-140.43258749246598,False,False
58,19,-140.3376592683792,intruder,entered_big_circle,direct,19,intruder,entered_big_circle,-140.74188346147537,False,False
59,23,-140.03871089458465,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-141.28321380853652,False,False
60,31,-141.24953203201295,intruder,entered_big_circle,direct,351,intruder,entered_big_circle,-218.70279293328525,False,False
61,13,-140.65111360549926,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-140.79774954319,False,False
62,13,-140.4148596906662,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-140.81572879791258,False,False
63,18,-140.663996489048,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-141.12992389917375,False,False
64,9,-140.1395568418503,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-139.9404514360428,False,False
65,44,97.3336730352044,interceptor,intercepted_before_small_circle,detour,24,intruder,entered_big_circle,-141.6487090563774,True,False
66,38,96.8132900375128,interceptor,intercepted_before_small_circle,detour,22,intruder,entered_big_circle,-141.97451356172562,True,False
67,40,96.59665685206652,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-139.93731021404267,True,False
68,46,94.85213104486463,interceptor,intercepted_before_small_circle,detour,368,intruder,entered_big_circle,-214.20336630403995,True,False
69,181,-165.3372529345751,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-140.29330897569656,False,False
70,26,-141.19881937026975,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-140.51863982200624,False,False
71,13,-140.27768400907516,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-139.82342920303344,False,False
72,29,-142.34975463628768,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-142.65893563508988,False,False
73,5,-140.20360268115996,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-140.2881399011612,False,False
74,15,-140.98745364665984,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-140.42125513076783,False,False
75,11,-139.9145313167572,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-140.09857911109924,False,False
76,26,-141.81463280677795,intruder,entered_big_circle,direct,363,intruder,entered_big_circle,-195.65945650309325,False,False
77,61,93.6264562919736,interceptor,intercepted_before_small_circle,detour,23,intruder,entered_big_circle,-141.75216129541397,True,False
78,32,97.90961218714716,interceptor,intercepted_before_small_circle,detour,13,intruder,entered_big_circle,-140.4948112154007,True,False
79,35,96.87698595136403,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-141.0412572336197,True,False
80,40,96.41496543496848,interceptor,intercepted_before_small_circle,detour,25,intruder,entered_big_circle,-142.95228491067886,True,False
81,170,-162.6585940939188,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-141.08952485561372,False,False
82,17,-140.87004392147065,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-141.17617416381836,False,False
83,9,-140.09369724988937,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-140.0374361872673,False,False
