episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
370,-72.167096,-223.33316,-151.166064,False,False,active_collision,entered_big_circle,attack,106,6,both_lose,baseline_advantage
249,-71.969099,-222.736232,-150.767133,False,False,active_collision,entered_big_circle,attack,32,4,both_lose,baseline_advantage
431,-71.598295,-222.478389,-150.880094,False,False,active_collision,entered_big_circle,attack,27,5,both_lose,baseline_advantage
619,-70.704945,-222.611099,-151.906154,False,False,active_collision,entered_big_circle,attack,28,9,both_lose,baseline_advantage
382,-70.658643,-223.031655,-152.373012,False,False,active_collision,entered_big_circle,attack,33,11,both_lose,baseline_advantage
458,-70.024387,-222.177958,-152.153571,False,False,active_collision,entered_big_circle,attack,121,9,both_lose,baseline_advantage
183,-69.463346,-222.170202,-152.706856,False,False,active_collision,entered_big_circle,attack,30,14,both_lose,baseline_advantage
121,-69.348113,-223.252366,-153.904253,False,False,active_collision,entered_big_circle,attack,128,15,both_lose,baseline_advantage
731,-69.068076,-224.86066,-155.792584,False,False,active_collision,entered_big_circle,attack,34,20,both_lose,baseline_advantage
797,-68.597043,-221.23273,-152.635687,False,False,active_collision,entered_big_circle,attack,118,12,both_lose,baseline_advantage
732,-67.942487,-224.426429,-156.483943,False,False,active_collision,entered_big_circle,attack,96,23,both_lose,baseline_advantage
56,-67.707404,-225.599014,-157.89161,False,False,active_collision,entered_big_circle,attack,42,30,both_lose,baseline_advantage
707,-67.698753,-225.020421,-157.321667,False,False,active_collision,entered_big_circle,attack,45,24,both_lose,baseline_advantage
84,-67.211382,-222.42969,-155.218308,False,False,active_collision,entered_big_circle,attack,26,24,both_lose,baseline_advantage
296,-67.138386,-223.975632,-156.837247,False,False,active_collision,entered_big_circle,attack,112,27,both_lose,baseline_advantage
644,-65.941841,-227.782751,-161.84091,False,False,active_collision,entered_big_circle,attack,126,28,both_lose,baseline_advantage
193,-62.373065,-224.392903,-162.019838,False,False,active_collision,entered_big_circle,attack,67,28,both_lose,baseline_advantage
331,-57.616368,-223.915166,-166.298798,False,False,active_collision,entered_small_circle,attack,84,93,both_lose,baseline_advantage
421,-55.287427,-207.729423,-152.441996,False,False,entered_big_circle,entered_big_circle,direct,186,10,both_lose,baseline_advantage
283,-47.767102,-203.680964,-155.913862,False,False,entered_big_circle,entered_big_circle,direct,175,24,both_lose,baseline_advantage
642,398.714536,114.556229,-284.158307,True,False,intercepted_before_small_circle,entered_big_circle,detour,52,372,ops_only_win,ops_advantage
95,397.27365,115.871059,-281.40259,True,False,intercepted_before_small_circle,entered_big_circle,detour,61,375,ops_only_win,ops_advantage
607,391.568989,117.037616,-274.531373,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,363,ops_only_win,ops_advantage
467,388.593739,114.896332,-273.697408,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,347,ops_only_win,ops_advantage
793,383.003597,114.012846,-268.990751,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,364,ops_only_win,ops_advantage
214,381.285275,113.041239,-268.244036,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,369,ops_only_win,ops_advantage
355,373.555213,115.421364,-258.133848,True,False,intercepted_before_small_circle,entered_big_circle,detour,38,358,ops_only_win,ops_advantage
248,357.018019,117.106213,-239.911806,True,False,intercepted_before_small_circle,entered_big_circle,detour,29,344,ops_only_win,ops_advantage
45,355.882632,114.600558,-241.282074,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,334,ops_only_win,ops_advantage
533,354.254646,112.80529,-241.449356,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,364,ops_only_win,ops_advantage
81,353.242983,117.151466,-236.091517,True,False,intercepted_before_small_circle,entered_big_circle,detour,33,354,ops_only_win,ops_advantage
706,352.115859,114.013339,-238.10252,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,330,ops_only_win,ops_advantage
271,351.215919,114.75508,-236.460839,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,362,ops_only_win,ops_advantage
665,349.387265,116.464271,-232.922994,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,335,ops_only_win,ops_advantage
156,348.595014,115.694689,-232.900325,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,348,ops_only_win,ops_advantage
615,348.583086,116.796796,-231.78629,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,354,ops_only_win,ops_advantage
190,346.640576,116.607514,-230.033062,True,False,intercepted_before_small_circle,entered_big_circle,detour,34,292,ops_only_win,ops_advantage
379,346.108888,116.037535,-230.071352,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,353,ops_only_win,ops_advantage
442,335.248364,114.023577,-221.224787,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,343,ops_only_win,ops_advantage
9,334.133656,116.462451,-217.671205,True,False,intercepted_before_small_circle,entered_big_circle,detour,37,328,ops_only_win,ops_advantage
