episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,11,-152.2141351509094,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-152.43440253615378,False,False
1,28,-153.64716094076633,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-156.32672430515288,False,False
2,21,-154.08249381661415,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-153.91458998203277,False,False
3,30,-157.83940826654435,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-155.2819091320038,False,False
4,29,-160.3807672905922,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-155.17693286418915,False,False
5,27,-153.84270319163798,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-155.59445651888848,False,False
6,12,-152.24345750808715,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-152.4107393026352,False,False
7,45,114.14296114727854,interceptor,intercepted_before_small_circle,detour,44,interceptor,intercepted_before_small_circle,114.80635474577547,True,True
8,38,114.97024173974992,interceptor,intercepted_before_small_circle,detour,42,interceptor,intercepted_before_small_circle,115.69605917945505,True,True
9,41,114.67911718130112,interceptor,intercepted_before_small_circle,detour,71,interceptor,intercepted_before_small_circle,116.06443603187799,True,True
10,32,117.25464171648024,interceptor,intercepted_before_small_circle,detour,165,intruder,entered_big_circle,-153.25116303786635,True,False
11,78,-173.5027260708809,intruder,entered_small_circle,attack,31,intruder,entered_big_circle,-157.34514667391778,False,False
12,124,-161.1513523235917,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-151.85443611979485,False,False
13,23,-153.49653367340565,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-153.42462508916856,False,False
14,11,-152.90839459419252,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-152.27369732379913,False,False
15,24,-153.59341981291772,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-153.48965680480003,False,False
16,10,-152.03438639640808,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-151.9060200214386,False,False
17,21,-154.08576427340506,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-154.0853456699848,False,False
18,21,-153.92307293653488,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-153.92204402327536,False,False
19,40,114.3780637808144,interceptor,intercepted_before_small_circle,detour,51,interceptor,intercepted_before_small_circle,114.99912112368271,True,True
20,28,117.9926704224944,interceptor,intercepted_before_small_circle,detour,32,interceptor,intercepted_before_small_circle,117.87978613734245,True,True
21,29,117.6885800166428,interceptor,intercepted_before_small_circle,detour,42,interceptor,intercepted_before_small_circle,117.67966064728796,True,True
22,37,115.99255307912829,interceptor,intercepted_before_small_circle,detour,43,intruder,active_collision,-224.66498136237263,True,False
23,39,116.23372781604527,interceptor,intercepted_before_small_circle,detour,160,intruder,entered_big_circle,-153.3050521811843,True,False
24,219,-160.90408524394036,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-151.70244955301285,False,False
25,11,-152.42266144037248,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-152.81626037836074,False,False
26,23,-153.58133434772492,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-154.97264850258827,False,False
27,6,-151.09650718450547,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-151.1290570604801,False,False
28,27,-153.8311353251338,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-154.1668496310711,False,False
29,27,-160.16634160280228,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-155.74361236095427,False,False
30,7,-151.31718371033668,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-151.32000265836714,False,False
31,49,112.38150355145336,interceptor,intercepted_before_small_circle,detour,31,intruder,entered_big_circle,-157.10512458205224,True,False
32,51,115.44444955206475,interceptor,intercepted_before_small_circle,detour,45,interceptor,intercepted_before_small_circle,114.97587328121067,True,True
