episode,global_step,episode_step,reward,intruder_policy,winner,reason
0,1,1,-0.27510050058364865,direct,,running
0,2,2,-0.2628746509552002,direct,,running
0,3,3,-0.2506731104850769,direct,,running
0,4,4,-0.24941077232360842,direct,,running
0,5,5,-0.24019010543823244,direct,,running
0,6,6,-0.23187949419021608,direct,,running
0,7,7,-0.23145310163497923,direct,,running
0,8,8,-0.2313547348976135,direct,,running
0,9,9,-0.23652326107025148,direct,,running
0,10,10,-0.22494280457496643,direct,,running
0,11,11,-150.0,direct,intruder,entered_big_circle
1,12,1,-0.28927031755447385,direct,,running
1,13,2,-0.2837137985229492,direct,,running
1,14,3,-0.27836134195327755,direct,,running
1,15,4,-0.2732237482070923,direct,,running
1,16,5,-0.26831228256225587,direct,,running
1,17,6,-0.2636386752128601,direct,,running
1,18,7,-0.2592147898674011,direct,,running
1,19,8,-0.25505294799804684,direct,,running
1,20,9,-0.2511655139923096,direct,,running
1,21,10,-0.24756500482559204,direct,,running
1,22,11,-0.244263973236084,direct,,running
1,23,12,-0.23190887689590456,direct,,running
1,24,13,-0.21956079006195067,direct,,running
1,25,14,-0.2072206962108612,direct,,running
1,26,15,-0.21109842658042904,direct,,running
1,27,16,-0.20852166295051575,direct,,running
1,28,17,-0.2063225996494293,direct,,running
1,29,18,-0.20451495885849003,direct,,running
1,30,19,-0.21025282859802247,direct,,running
1,31,20,-0.20885992050170898,direct,,running
1,32,21,-0.207876478433609,direct,,running
1,33,22,-0.2136290109157562,direct,,running
1,34,23,-0.21306243777275086,direct,,running
1,35,24,-0.2129166495800018,direct,,running
1,36,25,-0.2186580419540405,direct,,running
1,37,26,-0.2189239013195038,direct,,running
1,38,27,-0.21961463093757627,direct,,running
1,39,28,-150.0,direct,intruder,entered_big_circle
2,40,1,-0.29592961788177485,direct,,running
2,41,2,-0.28373778820037837,direct,,running
2,42,3,-0.2715575981140137,direct,,running
2,43,4,-0.2593904709815979,direct,,running
2,44,5,-0.24723793506622316,direct,,running
2,45,6,-0.23510177850723268,direct,,running
2,46,7,-0.22298418283462523,direct,,running
2,47,8,-0.21088761568069458,direct,,running
2,48,9,-0.19881509900093075,direct,,running
2,49,10,-0.18677015542984007,direct,,running
2,50,11,-0.17475709438323975,direct,,running
2,51,12,-0.168352997303009,direct,,running
2,52,13,-0.16225138187408444,direct,,running
2,53,14,-0.15648078680038452,direct,,running
2,54,15,-0.15107189655303954,direct,,running
2,55,16,-0.14605745196342468,direct,,running
2,56,17,-0.1414719820022583,direct,,running
2,57,18,-0.13735127568244934,direct,,running
2,58,19,-0.1337320268154144,direct,,running
2,59,20,-0.13065084695816037,direct,,running
2,60,21,-150.0,direct,intruder,entered_big_circle
3,61,1,-0.32076157093048097,direct,,running
3,62,2,-0.30903240442276003,direct,,running
3,63,3,-0.2973385167121887,direct,,running
3,64,4,-0.28568358421325685,direct,,running
3,65,5,-0.2740715575218201,direct,,running
3,66,6,-0.26250703334808345,direct,,running
3,67,7,-0.25099529504776,direct,,running
3,68,8,-0.2517558693885803,direct,,running
3,69,9,-0.23957465171813963,direct,,running
3,70,10,-0.22828153133392332,direct,,running
3,71,11,-0.21706998586654663,direct,,running
3,72,12,-0.20595035076141358,direct,,running
3,73,13,-0.1977646136283875,direct,,running
3,74,14,-0.1897529435157776,direct,,running
3,75,15,-0.17847080230712892,direct,,running
3,76,16,-0.1672893953323364,direct,,running
3,77,17,-0.15622433423995968,direct,,running
3,78,18,-0.14797173023223878,direct,,running
3,79,19,-0.1399313509464264,direct,,running
3,80,20,-0.12760515093803404,direct,,running
3,81,21,-0.11631449818611145,direct,,running
3,82,22,-0.108386173248291,direct,,running
3,83,23,-0.1007568609714508,direct,,running
3,84,24,-0.09347352623939514,direct,,running
3,85,25,-0.08659108400344848,direct,,running
3,86,26,-0.08017320036888122,direct,,running
3,87,27,-0.08530677676200868,direct,,running
3,88,28,-0.08452761173248292,direct,,running
3,89,29,-0.07834672808647157,direct,,running
3,90,30,-150.0,direct,intruder,entered_big_circle
4,91,1,-0.32509243965148926,direct,,running
4,92,2,-0.313437569141388,direct,,running
4,93,3,-0.3018149662017822,direct,,running
4,94,4,-0.2902279019355774,direct,,running
4,95,5,-0.28277084112167356,direct,,running
4,96,6,-0.27424075365066525,direct,,running
4,97,7,-0.2625361013412476,direct,,running
4,98,8,-0.25086538791656493,direct,,running
4,99,9,-0.23923248529434205,direct,,running
4,100,10,-0.22764205932617188,direct,,running
4,101,11,-0.21609935045242307,direct,,running
4,102,12,-0.2046106159687042,direct,,running
4,103,13,-0.1931831169128418,direct,,running
4,104,14,-0.18182548880577087,direct,,running
4,105,15,-0.17054804086685177,direct,,running
4,106,16,-0.1593631029129028,direct,,running
4,107,17,-0.1482854437828064,direct,,running
4,108,18,-0.13733316063880918,direct,,running
4,109,19,-0.1248961579799652,direct,,running
4,110,20,-0.11413967609405519,direct,,running
4,111,21,-0.11769035577774048,direct,,running
4,112,22,-0.1073490345478058,direct,,running
4,113,23,-0.09726798653602599,direct,,running
4,114,24,-0.08750151634216308,direct,,running
4,115,25,-0.09082295656204224,direct,,running
4,116,26,-0.08184474349021911,direct,,running
4,117,27,-0.08593673825263975,direct,,running
4,118,28,-0.09037487268447875,direct,,running
