episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
66,-273.310558,-159.383823,113.926735,False,True,entered_big_circle,intercepted_before_small_circle,direct,164,39,baseline_only_win,baseline_advantage
301,-261.215454,-146.780486,114.434968,False,True,entered_big_circle,intercepted_before_small_circle,direct,164,36,baseline_only_win,baseline_advantage
657,-260.533526,-145.328261,115.205264,False,True,entered_big_circle,intercepted_before_small_circle,direct,164,31,baseline_only_win,baseline_advantage
727,-259.644787,-147.311945,112.332842,False,True,entered_big_circle,intercepted_before_small_circle,direct,168,44,baseline_only_win,baseline_advantage
537,-258.374637,-143.271564,115.103074,False,True,entered_big_circle,intercepted_before_small_circle,direct,160,39,baseline_only_win,baseline_advantage
681,-255.333813,-143.268608,112.065205,False,True,entered_big_circle,intercepted_before_small_circle,direct,160,49,baseline_only_win,baseline_advantage
694,-255.003874,-143.28905,111.714824,False,True,entered_big_circle,intercepted_before_small_circle,direct,156,55,baseline_only_win,baseline_advantage
493,-254.50937,-144.305959,110.203411,False,True,entered_big_circle,intercepted_before_small_circle,direct,150,58,baseline_only_win,baseline_advantage
709,-254.382861,-140.832351,113.55051,False,True,entered_big_circle,intercepted_before_small_circle,direct,155,49,baseline_only_win,baseline_advantage
466,-253.838765,-143.310707,110.528058,False,True,entered_big_circle,intercepted_before_small_circle,direct,168,64,baseline_only_win,baseline_advantage
481,-249.798072,-133.562454,116.235618,False,True,entered_big_circle,intercepted_before_small_circle,direct,175,32,baseline_only_win,baseline_advantage
669,-248.340119,-136.775751,111.564369,False,True,entered_big_circle,intercepted_before_small_circle,direct,185,53,baseline_only_win,baseline_advantage
176,-248.268163,-140.740506,107.527657,False,True,entered_big_circle,intercepted_before_small_circle,direct,178,53,baseline_only_win,baseline_advantage
56,-246.119249,-133.320926,112.798323,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,101,baseline_only_win,baseline_advantage
551,-244.077975,-131.424978,112.652997,False,True,active_collision,intercepted_before_small_circle,attack,145,51,baseline_only_win,baseline_advantage
643,-243.02382,-139.09266,103.93116,False,True,entered_big_circle,intercepted_before_small_circle,direct,175,80,baseline_only_win,baseline_advantage
129,-242.882637,-131.088923,111.793714,False,True,entered_big_circle,intercepted_before_small_circle,direct,25,43,baseline_only_win,baseline_advantage
682,-242.478267,-131.448732,111.029536,False,True,entered_big_circle,intercepted_before_small_circle,direct,29,47,baseline_only_win,baseline_advantage
442,-242.466846,-132.010401,110.456445,False,True,entered_big_circle,intercepted_before_small_circle,direct,27,53,baseline_only_win,baseline_advantage
406,-241.620426,-128.708269,112.912157,False,True,entered_big_circle,intercepted_before_small_circle,direct,25,44,baseline_only_win,baseline_advantage
565,257.289866,110.74999,-146.539876,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,160,ops_only_win,ops_advantage
215,252.169025,113.556466,-138.612558,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,141,ops_only_win,ops_advantage
26,250.24046,112.32302,-137.91744,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,132,ops_only_win,ops_advantage
206,248.305005,116.184433,-132.120571,True,False,intercepted_before_small_circle,entered_big_circle,detour,28,160,ops_only_win,ops_advantage
443,247.246723,114.96909,-132.277632,True,False,intercepted_in_big_circle,entered_big_circle,direct,28,197,ops_only_win,ops_advantage
354,246.880779,111.731511,-135.149268,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,160,ops_only_win,ops_advantage
12,246.790193,114.995307,-131.794886,True,False,intercepted_before_small_circle,entered_big_circle,detour,33,183,ops_only_win,ops_advantage
595,246.267873,115.728391,-130.539481,True,False,intercepted_before_small_circle,entered_big_circle,detour,30,86,ops_only_win,ops_advantage
340,245.372817,114.373525,-130.999292,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,202,ops_only_win,ops_advantage
488,244.283228,112.744381,-131.538847,True,False,intercepted_before_small_circle,entered_big_circle,detour,60,31,ops_only_win,ops_advantage
580,243.912908,115.140721,-128.772187,True,False,intercepted_before_small_circle,active_collision,detour,30,158,ops_only_win,ops_advantage
25,243.69908,111.713134,-131.985946,True,False,intercepted_before_small_circle,active_collision,detour,42,83,ops_only_win,ops_advantage
692,243.516805,111.980655,-131.53615,True,False,intercepted_before_small_circle,entered_big_circle,detour,56,31,ops_only_win,ops_advantage
282,243.450996,112.473001,-130.977994,True,False,intercepted_before_small_circle,entered_big_circle,detour,37,32,ops_only_win,ops_advantage
673,242.835137,113.785142,-129.049995,True,False,intercepted_in_big_circle,entered_big_circle,direct,31,31,ops_only_win,ops_advantage
247,242.536484,113.323123,-129.213361,True,False,intercepted_before_small_circle,entered_big_circle,detour,49,26,ops_only_win,ops_advantage
50,242.528571,111.233891,-131.29468,True,False,intercepted_before_small_circle,entered_big_circle,detour,47,31,ops_only_win,ops_advantage
61,242.494676,115.076054,-127.418623,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,28,ops_only_win,ops_advantage
642,242.435814,111.074125,-131.361689,True,False,intercepted_before_small_circle,entered_big_circle,detour,49,32,ops_only_win,ops_advantage
394,242.375835,112.775349,-129.600486,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,27,ops_only_win,ops_advantage
