episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,11,-123.10004283189774,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-123.06136047542095,False,False
1,28,-125.99823546975853,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-128.5051951867342,False,False
2,21,-125.47567589879036,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-126.73544373810292,False,False
3,30,-130.04587095618248,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-127.17706851154566,False,False
4,29,-128.01588253706694,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-127.72012527763843,False,False
5,27,-125.8291659271717,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-127.92136853992939,False,False
6,12,-123.1320552533865,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-123.37299251019955,False,False
7,43,111.16489592708648,interceptor,intercepted_before_small_circle,detour,57,interceptor,intercepted_before_small_circle,110.12710948619991,True,True
8,36,112.88330232426524,interceptor,intercepted_before_small_circle,detour,72,interceptor,intercepted_before_small_circle,113.31779198912903,True,True
9,39,112.07308674499392,interceptor,intercepted_before_small_circle,detour,193,intruder,entered_big_circle,-132.6797925648093,True,False
10,32,115.51636354491114,interceptor,intercepted_before_small_circle,detour,13,intruder,entered_big_circle,-122.76479313194751,True,False
11,190,-164.96538883388044,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-130.50801241993904,False,False
12,11,-122.71398168206215,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-122.66637555658818,False,False
13,23,-124.51229102879762,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-124.81756390154362,False,False
14,11,-123.43578476309776,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-122.9593921840191,False,False
15,24,-124.4509723562002,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-124.99832538992166,False,False
16,10,-122.6434097880125,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-122.64669420063495,False,False
17,21,-125.2911220908165,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-125.38206715881824,False,False
18,21,-125.43910786509514,intruder,entered_big_circle,direct,73,interceptor,intercepted_before_small_circle,111.01568382710218,False,True
19,40,111.61063436552882,interceptor,intercepted_before_small_circle,detour,47,interceptor,intercepted_before_small_circle,111.33888350442052,True,True
20,28,116.60806346416472,interceptor,intercepted_before_small_circle,detour,34,interceptor,intercepted_before_small_circle,115.46521659649909,True,True
21,31,116.11641113013027,interceptor,intercepted_before_small_circle,detour,36,intruder,active_collision,-124.27360972464085,True,False
22,36,113.8044452495873,interceptor,intercepted_before_small_circle,detour,146,intruder,entered_big_circle,-129.02070677988232,True,False
23,42,113.9575044355914,interceptor,intercepted_before_small_circle,detour,26,intruder,entered_big_circle,-125.40167490243911,True,False
24,206,-162.11601435542104,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-122.31201156377793,False,False
25,11,-123.39554962813854,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-123.73420263528824,False,False
26,23,-125.55283046633004,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-127.33028356254101,False,False
27,6,-121.53956480920314,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-121.58883412778377,False,False
28,27,-125.7842812924087,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-127.45344482421875,False,False
29,27,-128.2932210481167,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-127.55189130961895,False,False
30,7,-121.78332376539709,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-121.7860091573,False,False
31,46,109.91463928185404,interceptor,intercepted_before_small_circle,detour,74,interceptor,intercepted_before_small_circle,107.20856485411525,True,True
32,48,112.33550486971625,interceptor,intercepted_before_small_circle,detour,47,interceptor,intercepted_before_small_circle,112.20176339369267,True,True
33,35,114.79683734014633,interceptor,intercepted_before_small_circle,detour,37,interceptor,intercepted_before_small_circle,114.54124096833169,True,True
34,39,113.42462183095516,interceptor,intercepted_before_small_circle,detour,92,intruder,active_collision,-129.02158697754143,True,False
35,195,-156.40213385909797,intruder,entered_big_circle,direct,84,intruder,active_collision,-129.59063862368464,False,False
36,28,-126.14607263922692,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-126.96198544025421,False,False
37,13,-122.4263582971692,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-122.86262546896934,False,False
38,7,-121.68099982500075,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-121.68099982500077,False,False
39,24,-127.05904734313488,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-128.34352723836898,False,False
40,16,-124.35636432170868,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-124.95648874640464,False,False
