episode,global_step,episode_step,reward,intruder_policy,winner,reason
0,1,1,-0.3691237843036651,direct,,running
0,2,2,-0.3541669583320618,direct,,running
0,3,3,-0.33923849821090696,direct,,running
0,4,4,-0.32773664951324466,direct,,running
0,5,5,-0.3129344081878662,direct,,running
0,6,6,-0.29817833364009855,direct,,running
0,7,7,-0.28347499132156373,direct,,running
0,8,8,-0.26883229970932004,direct,,running
0,9,9,-0.2612800365686416,direct,,running
0,10,10,-0.24639451563358308,direct,,running
0,11,11,-120.0,direct,intruder,entered_big_circle
1,12,1,-0.3973392641544342,direct,,running
1,13,2,-0.3901633238792419,direct,,running
1,14,3,-0.38322545647621153,direct,,running
1,15,4,-0.3765382623672485,direct,,running
1,16,5,-0.37011488437652584,direct,,running
1,17,6,-0.363969007730484,direct,,running
1,18,7,-0.3581144785881042,direct,,running
1,19,8,-0.35256566166877745,direct,,running
1,20,9,-0.3473369872570038,direct,,running
1,21,10,-0.3424430584907532,direct,,running
1,22,11,-0.33789852023124695,direct,,running
1,23,12,-0.32279090642929076,direct,,running
1,24,13,-0.30769147038459776,direct,,running
1,25,14,-0.2926013594865799,direct,,running
1,26,15,-0.29850260674953455,direct,,running
1,27,16,-0.28342951893806456,direct,,running
1,28,17,-0.279570854306221,direct,,running
1,29,18,-0.27616752445697784,direct,,running
1,30,19,-0.28214223146438594,direct,,running
1,31,20,-0.2881183153390884,direct,,running
1,32,21,-0.2732788151502609,direct,,running
1,33,22,-0.2792626178264618,direct,,running
1,34,23,-0.2644672608375549,direct,,running
1,35,24,-0.26189658701419827,direct,,running
1,36,25,-0.25984872639179224,direct,,running
1,37,26,-0.25833865761756897,direct,,running
1,38,27,-0.2573788291215896,direct,,running
1,39,28,-120.0,direct,intruder,entered_big_circle
2,40,1,-0.40041363596916196,direct,,running
2,41,2,-0.3930095589160919,direct,,running
2,42,3,-0.37803945899009705,direct,,running
2,43,4,-0.37084591150283813,direct,,running
2,44,5,-0.3639310336112976,direct,,running
2,45,6,-0.35731055498123165,direct,,running
2,46,7,-0.35100083112716673,direct,,running
2,47,8,-0.34501859307289123,direct,,running
2,48,9,-0.33938103079795834,direct,,running
2,49,10,-0.3341055011749267,direct,,running
2,50,11,-0.34002077341079706,direct,,running
2,51,12,-0.3360094583034515,direct,,running
2,52,13,-0.32090739369392396,direct,,running
2,53,14,-0.3158499097824097,direct,,running
2,54,15,-0.31120193958282466,direct,,running
2,55,16,-0.30698263406753534,direct,,running
2,56,17,-0.3022481089830399,direct,,running
2,57,18,-0.2977277225255966,direct,,running
2,58,19,-0.2827193266153335,direct,,running
2,59,20,-0.288720360994339,direct,,running
2,60,21,-120.0,direct,intruder,entered_big_circle
3,61,1,-0.43543343305587767,direct,,running
3,62,2,-0.4210560655593871,direct,,running
3,63,3,-0.40671986699104307,direct,,running
3,64,4,-0.3924291110038757,direct,,running
3,65,5,-0.37818841695785516,direct,,running
3,66,6,-0.3640031373500824,direct,,running
3,67,7,-0.3498794412612915,direct,,running
3,68,8,-0.3358242905139923,direct,,running
3,69,9,-0.3218457913398743,direct,,running
3,70,10,-0.30795328378677367,direct,,running
3,71,11,-0.2941575741767883,direct,,running
3,72,12,-0.2804714924097061,direct,,running
3,73,13,-0.27025567352771757,direct,,running
3,74,14,-0.2602534836530685,direct,,running
3,75,15,-0.2463691121339798,direct,,running
3,76,16,-0.2326048767566681,direct,,running
3,77,17,-0.21898033678531645,direct,,running
3,78,18,-0.20551920592784884,direct,,running
3,79,19,-0.1922505801916122,direct,,running
3,80,20,-0.17921037435531617,direct,,running
3,81,21,-0.16644308030605315,direct,,running
3,82,22,-0.15147473871707914,direct,,running
3,83,23,-0.14027319312095643,direct,,running
3,84,24,-0.1293256840109825,direct,,running
3,85,25,-0.11868744403123857,direct,,running
3,86,26,-0.10842880219221115,direct,,running
3,87,27,-0.09863946795463563,direct,,running
3,88,28,-0.08943384796380996,direct,,running
3,89,29,-0.0809567055106163,direct,,running
3,90,30,-120.0,direct,intruder,entered_big_circle
4,91,1,-0.4350979959964752,direct,,running
4,92,2,-0.42093378067016596,direct,,running
4,93,3,-0.40681580066680906,direct,,running
4,94,4,-0.39274859189987177,direct,,running
4,95,5,-0.378737256526947,direct,,running
4,96,6,-0.36478779673576356,direct,,running
4,97,7,-0.35090684056282045,direct,,running
4,98,8,-0.3371020710468292,direct,,running
4,99,9,-0.3233822560310364,direct,,running
4,100,10,-0.3097576892375946,direct,,running
4,101,11,-0.29623998165130616,direct,,running
4,102,12,-0.2828428691625595,direct,,running
4,103,13,-0.2695822602510452,direct,,running
4,104,14,-0.2564768767356872,direct,,running
4,105,15,-0.2435487753152847,direct,,running
4,106,16,-0.23082389295101166,direct,,running
4,107,17,-0.2183330303430557,direct,,running
4,108,18,-0.2061129158735275,direct,,running
4,109,19,-0.194207284450531,direct,,running
4,110,20,-0.18266838550567627,direct,,running
4,111,21,-0.18631880939006806,direct,,running
4,112,22,-0.19030235171318052,direct,,running
4,113,23,-0.1946057504415512,direct,,running
4,114,24,-0.19921514153480524,direct,,running
4,115,25,-0.20411634504795073,direct,,running
4,116,26,-0.20929507672786712,direct,,running
4,117,27,-0.2147371029853821,direct,,running
4,118,28,-0.22042834818363188,direct,,running
4,119,29,-120.0,direct,intruder,entered_big_circle
5,120,1,-0.38722919583320614,direct,,running
5,121,2,-0.37830062866210934,direct,,running
5,122,3,-0.36957592129707334,direct,,running
5,123,4,-0.3610688781738281,direct,,running
5,124,5,-0.3527943646907806,direct,,running
5,125,6,-0.34476805686950684,direct,,running
5,126,7,-0.33700682282447814,direct,,running
5,127,8,-0.32952830553054807,direct,,running
5,128,9,-0.32235106587409973,direct,,running
5,129,10,-0.31549476146697997,direct,,running
5,130,11,-0.3089796757698059,direct,,running
5,131,12,-0.30282699823379516,direct,,running
5,132,13,-0.2970584189891815,direct,,running
5,133,14,-0.2916960215568542,direct,,running
5,134,15,-0.2867621785402298,direct,,running
5,135,16,-0.2822791612148285,direct,,running
5,136,17,-0.28825774252414704,direct,,running
5,137,18,-0.27336542069911957,direct,,running
5,138,19,-0.27947975456714624,direct,,running
5,139,20,-0.274772281050682,direct,,running
5,140,21,-0.27028995215892787,direct,,running
5,141,22,-0.2553157067298889,direct,,running
5,142,23,-0.2510554856061935,direct,,running
5,143,24,-0.2571688598394394,direct,,running
5,144,25,-0.25351804852485654,direct,,running
5,145,26,-0.25042483270168303,direct,,running
5,146,27,-120.0,direct,intruder,entered_big_circle
6,147,1,-0.352688912153244,direct,,running
6,148,2,-0.3427126324176788,direct,,running
6,149,3,-0.33294993400573725,direct,,running
6,150,4,-0.3234191274642944,direct,,running
6,151,5,-0.31414028763771057,direct,,running
6,152,6,-0.30513515233993527,direct,,running
6,153,7,-0.2964274263381958,direct,,running
6,154,8,-0.28804270088672634,direct,,running
6,155,9,-0.28000861167907715,direct,,running
6,156,10,-0.2723548150062561,direct,,running
6,157,11,-0.26511291027069095,direct,,running
6,158,12,-120.0,direct,intruder,entered_big_circle
7,159,1,-0.4238716578483581,direct,,running
7,160,2,-0.41656057596206664,detour,,running
7,161,3,-0.4093220746517181,detour,,running
7,162,4,-0.40215956926345825,detour,,running
7,163,5,-0.3950513458251953,detour,,running
7,164,6,-0.3880523002147674,detour,,running
7,165,7,-0.3811411118507385,detour,,running
7,166,8,-0.3743219888210296,detour,,running
7,167,9,-0.36312160849571223,detour,,running
7,168,10,-0.35645008444786075,detour,,running
7,169,11,-0.34988521695137026,detour,,running
7,170,12,-0.3434321558475494,detour,,running
7,171,13,-0.32907238960266116,detour,,running
7,172,14,-0.31506908297538755,detour,,running
7,173,15,-0.30847939610481256,detour,,running
7,174,16,-0.2944283312559128,detour,,running
7,175,17,-0.2804445898532867,detour,,running
7,176,18,-0.27365376710891726,detour,,running
7,177,19,-0.26701015591621396,detour,,running
7,178,20,-0.26052266418933867,detour,,running
7,179,21,-0.25340080022811884,detour,,running
7,180,22,-0.23900334894657133,detour,,running
7,181,23,-0.2326796299219131,detour,,running
7,182,24,-0.2265502369403839,detour,,running
7,183,25,-0.2119579738378525,detour,,running
7,184,26,-0.20586112797260284,detour,,running
7,185,27,-0.1911888754367828,detour,,running
7,186,28,-0.1765707230567932,detour,,running
7,187,29,-0.16202128887176515,detour,,running
7,188,30,-0.14755948841571806,detour,,running
7,189,31,-0.13320992350578306,detour,,running
7,190,32,-0.12621518284082414,detour,,running
7,191,33,-0.11955478101968764,detour,,running
7,192,34,-0.1049062332510948,detour,,running
7,193,35,-0.0983262902498245,detour,,running
7,194,36,-0.09219240754842759,detour,,running
7,195,37,-0.07720353662967683,detour,,running
7,196,38,-0.07133566349744795,detour,,running
7,197,39,-0.0563840678334236,detour,,running
7,198,40,-0.049993518590927113,detour,,running
7,199,41,-0.03620841413736342,detour,,running
7,200,42,-0.02479944959282874,detour,,running
7,201,43,-0.015316501110792156,detour,,running
7,202,44,-0.007144334018230433,detour,,running
7,203,45,-0.0005155003070831318,detour,,running
7,204,46,0.0036097915470600164,detour,,running
7,205,47,0.003914388045668606,detour,,running
7,206,48,0.012166894003748902,detour,,running
7,207,49,0.019433513805270197,detour,,running
7,208,50,0.024254942275583745,detour,,running
7,209,51,0.02315578103065491,detour,,running
7,210,52,0.014757627770304683,detour,,running
7,211,53,0.00219777725636959,detour,,running
7,212,54,0.00220486648380757,detour,,running
7,213,55,0.00543241180479527,detour,,running
7,214,56,0.008130857124924666,detour,,running
7,215,57,120.0,detour,interceptor,intercepted_before_small_circle
8,216,1,-0.3921423053741455,detour,,running
8,217,2,-0.38035410404205316,detour,,running
8,218,3,-0.368568549156189,detour,,running
8,219,4,-0.35678722023963927,detour,,running
8,220,5,-0.3450119650363922,detour,,running
8,221,6,-0.33324472069740296,detour,,running
8,222,7,-0.3214880084991455,detour,,running
8,223,8,-0.30974435567855835,detour,,running
8,224,9,-0.2980167543888092,detour,,running
8,225,10,-0.2863085961341858,detour,,running
8,226,11,-0.2746237850189209,detour,,running
8,227,12,-0.2629667347669601,detour,,running
8,228,13,-0.251342493891716,detour,,running
8,229,14,-0.23975697219371794,detour,,running
8,230,15,-0.22821693181991573,detour,,running
8,231,16,-0.21673023164272306,detour,,running
8,232,17,-0.2053060746192932,detour,,running
8,233,18,-0.19395516276359556,detour,,running
8,234,19,-0.18269017994403838,detour,,running
8,235,20,-0.17152616739273072,detour,,running
8,236,21,-0.16048083066940308,detour,,running
8,237,22,-0.1495754486322403,detour,,running
8,238,23,-0.13883558869361876,detour,,running
8,239,24,-0.12829207241535187,detour,,running
8,240,25,-0.11798218995332718,detour,,running
8,241,26,-0.1079512944817543,detour,,running
8,242,27,-0.09825455009937284,detour,,running
8,243,28,-0.08895887345075608,detour,,running
8,244,29,-0.08014504820108412,detour,,running
8,245,30,-0.07192736774682998,detour,,running
8,246,31,-0.06445880293846129,detour,,running
8,247,32,-0.0580795994400978,detour,,running
8,248,33,-0.058769623041152935,detour,,running
8,249,34,-0.052055928707122785,detour,,running
8,250,35,-0.045773681104183186,detour,,running
8,251,36,-0.03958234027028082,detour,,running
8,252,37,-0.033381012678146346,detour,,running
8,253,38,-0.02712528914213179,detour,,running
8,254,39,-0.02082566529512405,detour,,running
8,255,40,-0.014635588079690925,detour,,running
8,256,41,-0.009037412554025646,detour,,running
