episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-120.64574785470964,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.64574785470963,False,False
1,10,-120.9537237417698,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-120.99968056201935,False,False
2,16,-122.52995690107346,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.32820216715336,False,False
3,11,-121.2130924206972,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.18948427259922,False,False
4,30,-123.14967250227927,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-123.10262709259987,False,False
5,30,-122.22659491300584,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-121.4849028468132,False,False
6,5,-120.4008270162344,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.39236874461174,False,False
7,13,-121.1533449113369,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.13827852606774,False,False
8,16,-121.71651689827442,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.68896259486675,False,False
9,18,-121.29873367726805,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-121.14580096632243,False,False
10,33,119.08804444216192,interceptor,intercepted_before_small_circle,detour,37,interceptor,intercepted_before_small_circle,119.02361206680536,True,True
11,25,119.8894875588268,interceptor,intercepted_before_small_circle,detour,25,interceptor,intercepted_before_small_circle,120.02451820775866,True,True
12,31,119.65973617710172,interceptor,intercepted_before_small_circle,detour,30,interceptor,intercepted_before_small_circle,119.63982979774475,True,True
13,34,118.29652744971216,interceptor,intercepted_before_small_circle,detour,35,interceptor,intercepted_before_small_circle,118.36593783721328,True,True
14,41,117.68957591585814,interceptor,intercepted_before_small_circle,detour,199,intruder,entered_big_circle,-111.78839005738497,True,False
15,190,-140.80018716514112,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.2440654462576,False,False
16,21,-121.719163787961,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-121.21736784785986,False,False
17,18,-121.97460030555725,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-121.81797971367835,False,False
18,28,-122.25632394313811,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-122.3239945268631,False,False
19,23,-122.01125403374434,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-121.63770457237959,False,False
20,17,-122.61653091430664,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-122.1227426123619,False,False
21,18,-121.9555510097742,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-121.76927542328835,False,False
22,36,118.79203298345207,interceptor,intercepted_before_small_circle,detour,10,intruder,entered_big_circle,-121.18434238016606,True,False
23,41,117.18377856872976,interceptor,intercepted_before_small_circle,detour,55,interceptor,intercepted_before_small_circle,116.53227527372539,True,True
24,31,119.79671645633876,interceptor,intercepted_before_small_circle,detour,59,interceptor,intercepted_before_small_circle,121.32627887174488,True,True
25,43,118.47292460896077,interceptor,intercepted_before_small_circle,detour,50,interceptor,intercepted_before_small_circle,118.95458112506196,True,True
26,212,-116.7805136783421,intruder,entered_big_circle,direct,133,intruder,active_collision,-120.2414301557094,False,False
27,18,-121.84813811004162,intruder,entered_big_circle,direct,35,intruder,entered_big_circle,-121.77399963855743,False,False
28,22,-123.38576574265956,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-122.94117518901825,False,False
29,25,-123.03505195081236,intruder,entered_big_circle,direct,25,intruder,entered_big_circle,-123.05358720719815,False,False
30,16,-120.94894494712352,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.22418781220912,False,False
31,17,-122.07481481909753,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-121.91030209541321,False,False
32,53,117.64545345902442,interceptor,intercepted_before_small_circle,detour,30,intruder,entered_big_circle,-123.49861697614193,True,False
33,35,118.59281641080976,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-120.9025452786684,True,False
34,43,117.64303982108832,interceptor,intercepted_before_small_circle,detour,27,intruder,entered_big_circle,-122.43832455039025,True,False
35,40,117.62456445284188,interceptor,intercepted_before_small_circle,detour,74,interceptor,intercepted_before_small_circle,120.96822712112218,True,True
36,204,-120.97797502174974,intruder,entered_big_circle,direct,88,interceptor,intercepted_before_small_circle,122.84047229354269,False,True
37,8,-120.76944371461867,intruder,entered_big_circle,direct,173,intruder,entered_big_circle,-116.23476490207017,False,False
38,6,-120.7620840460062,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-120.81763430833817,False,False
39,23,-122.60979371964932,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-122.54026581048966,False,False
40,31,-122.39622277885675,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-121.84090326845646,False,False
41,28,-121.44134493738412,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-122.2889793497324,False,False
42,9,-120.92044507026672,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-121.00905354380608,False,False
43,54,120.31697832250968,interceptor,intercepted_before_small_circle,detour,31,intruder,entered_big_circle,-122.16217213749886,True,False
44,36,118.44090842239558,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.76110446929931,True,False
45,35,119.35796345114709,interceptor,intercepted_before_small_circle,detour,15,intruder,entered_big_circle,-121.69156544208526,True,False
46,35,118.39297898113728,interceptor,intercepted_before_small_circle,detour,39,interceptor,intercepted_before_small_circle,118.95632411949336,True,True
47,29,-120.86789444893598,intruder,active_collision,attack,34,interceptor,intercepted_before_small_circle,119.3436717941612,False,True
48,185,-128.95028712511063,intruder,entered_big_circle,direct,46,interceptor,intercepted_before_small_circle,119.96254159405828,False,True
49,7,-121.0712144458294,intruder,entered_big_circle,direct,43,interceptor,intercepted_before_small_circle,118.15719489887357,False,True
50,18,-121.54386316776277,intruder,entered_big_circle,direct,93,intruder,active_collision,-120.13103980988264,False,False
51,24,-122.20243209004404,intruder,entered_big_circle,direct,76,intruder,entered_big_circle,-119.39204706661404,False,False
52,16,-121.459332036376,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-121.48840745031833,False,False
53,31,-122.1014084917307,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-123.43527744233609,False,False
54,16,-121.90509112536908,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.25589168429374,False,False
55,40,117.8440276197344,interceptor,intercepted_before_small_circle,detour,27,intruder,entered_big_circle,-122.79970054447651,True,False
56,32,119.032376524657,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.6870497840643,True,False
57,36,117.19083112046124,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.91040336489678,True,False
58,34,119.26619663134215,interceptor,intercepted_before_small_circle,detour,19,intruder,entered_big_circle,-121.54702111959458,True,False
59,37,118.8923913358897,interceptor,intercepted_before_small_circle,detour,23,intruder,entered_big_circle,-121.58592271357774,True,False
60,192,-165.83927952885628,intruder,entered_big_circle,direct,156,interceptor,intercepted_before_small_circle,129.71664158737286,False,True
61,13,-121.35204912960528,intruder,entered_big_circle,direct,180,intruder,entered_big_circle,-114.7759828478098,False,False
62,13,-121.55338577628136,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.5620498329401,False,False
63,18,-121.88231173574924,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-121.8460946124792,False,False
64,9,-120.92835905134676,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-120.7678162652254,False,False
65,24,-121.65417197346687,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-122.22507581114769,False,False
66,22,-121.73261345028877,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-121.79575798511505,False,False
67,21,-122.27451023638248,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-122.02066169857979,False,False
68,46,116.90328216046096,interceptor,intercepted_before_small_circle,detour,30,intruder,entered_big_circle,-124.09760249376296,True,False
69,34,119.25169664278629,interceptor,intercepted_before_small_circle,detour,15,intruder,entered_big_circle,-121.56368970215321,True,False
70,42,117.7076360398531,interceptor,intercepted_before_small_circle,detour,95,interceptor,intercepted_before_small_circle,122.57789216304198,True,True
71,32,119.360202312544,interceptor,intercepted_before_small_circle,detour,33,interceptor,intercepted_before_small_circle,119.40079848006367,True,True
72,215,-116.80699962377548,intruder,entered_big_circle,direct,200,intruder,entered_big_circle,-113.8006380083412,False,False
73,5,-120.6796053123474,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.6796053123474,False,False
74,15,-122.29330166339876,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-122.12583669185638,False,False
75,11,-120.72198367774486,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-120.77842815876006,False,False
76,26,-123.04351767241955,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-122.63517464041709,False,False
77,23,-122.1659525346756,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-122.90629625439644,False,False
78,13,-121.17661983668803,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.01166991293431,False,False
79,21,-121.89617423295977,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-121.91507471680642,False,False
80,40,118.35908844336868,interceptor,intercepted_before_small_circle,detour,25,intruder,entered_big_circle,-122.18397720098496,True,False
81,37,118.5085867612809,interceptor,intercepted_before_small_circle,detour,16,intruder,entered_big_circle,-121.48437601685524,True,False
82,33,119.1410298230499,interceptor,intercepted_before_small_circle,detour,32,interceptor,intercepted_before_small_circle,119.14345412470401,True,True
83,32,119.2215420012176,interceptor,intercepted_before_small_circle,detour,43,interceptor,intercepted_before_small_circle,119.5847932508029,True,True
84,215,-116.12296416588129,intruder,entered_big_circle,direct,54,interceptor,intercepted_before_small_circle,118.35478581123054,False,True
85,19,-121.68105184793473,intruder,entered_big_circle,direct,83,intruder,active_collision,-118.4778451538831,False,False
86,11,-121.16169610977173,intruder,entered_big_circle,direct,113,intruder,entered_big_circle,-117.19764980606735,False,False
