episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
60,-295.555921,-165.83928,129.716642,False,True,entered_big_circle,intercepted_before_small_circle,direct,192,156,baseline_only_win,baseline_advantage
764,-279.774602,-161.283033,118.491569,False,True,entered_big_circle,intercepted_before_small_circle,direct,187,43,baseline_only_win,baseline_advantage
306,-269.622921,-151.104981,118.51794,False,True,entered_big_circle,intercepted_before_small_circle,direct,183,35,baseline_only_win,baseline_advantage
346,-262.377716,-143.75401,118.623706,False,True,entered_big_circle,intercepted_before_small_circle,direct,187,34,baseline_only_win,baseline_advantage
555,-255.637066,-137.338306,118.29876,False,True,entered_big_circle,intercepted_before_small_circle,direct,173,50,baseline_only_win,baseline_advantage
372,-253.473361,-136.742092,116.731269,False,True,entered_big_circle,intercepted_before_small_circle,direct,190,52,baseline_only_win,baseline_advantage
407,-253.42669,-132.275346,121.151345,False,True,entered_big_circle,intercepted_before_small_circle,direct,205,63,baseline_only_win,baseline_advantage
235,-252.847264,-134.622572,118.224692,False,True,entered_big_circle,intercepted_before_small_circle,direct,202,36,baseline_only_win,baseline_advantage
642,-251.03343,-132.30269,118.73074,False,True,entered_big_circle,intercepted_before_small_circle,direct,220,35,baseline_only_win,baseline_advantage
383,-249.035844,-130.160247,118.875597,False,True,entered_big_circle,intercepted_before_small_circle,direct,193,41,baseline_only_win,baseline_advantage
458,-248.940247,-121.726442,127.213805,False,True,entered_big_circle,intercepted_before_small_circle,direct,24,110,baseline_only_win,baseline_advantage
48,-248.912829,-128.950287,119.962542,False,True,entered_big_circle,intercepted_before_small_circle,direct,185,46,baseline_only_win,baseline_advantage
506,-248.179545,-122.280178,125.899367,False,True,entered_big_circle,intercepted_before_small_circle,direct,22,121,baseline_only_win,baseline_advantage
570,-248.084746,-129.432125,118.65262,False,True,entered_big_circle,intercepted_before_small_circle,direct,202,42,baseline_only_win,baseline_advantage
397,-247.117378,-123.487502,123.629876,False,True,entered_big_circle,intercepted_before_small_circle,direct,29,97,baseline_only_win,baseline_advantage
319,-246.260698,-127.136521,119.124177,False,True,entered_big_circle,intercepted_before_small_circle,direct,198,44,baseline_only_win,baseline_advantage
580,-245.97944,-121.347628,124.631811,False,True,active_collision,intercepted_before_small_circle,attack,35,92,baseline_only_win,baseline_advantage
554,-244.934671,-122.604349,122.330321,False,True,active_collision,intercepted_before_small_circle,attack,42,105,baseline_only_win,baseline_advantage
517,-244.884734,-121.624721,123.260013,False,True,entered_big_circle,intercepted_before_small_circle,direct,17,74,baseline_only_win,baseline_advantage
36,-243.818447,-120.977975,122.840472,False,True,entered_big_circle,intercepted_before_small_circle,direct,204,88,baseline_only_win,baseline_advantage
43,242.47915,120.316978,-122.162172,True,False,intercepted_before_small_circle,entered_big_circle,detour,54,31,ops_only_win,ops_advantage
472,241.995219,119.567516,-122.427704,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,27,ops_only_win,ops_advantage
180,241.968354,119.918593,-122.049762,True,False,intercepted_before_small_circle,entered_big_circle,detour,48,25,ops_only_win,ops_advantage
243,241.950561,118.510477,-123.440084,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,28,ops_only_win,ops_advantage
577,241.818231,119.485045,-122.333185,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,31,ops_only_win,ops_advantage
786,241.798536,119.724366,-122.07417,True,False,intercepted_before_small_circle,entered_big_circle,detour,39,27,ops_only_win,ops_advantage
453,241.743108,118.508699,-123.234408,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,27,ops_only_win,ops_advantage
551,241.622729,118.38494,-123.237789,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,26,ops_only_win,ops_advantage
676,241.39036,118.740585,-122.649775,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,31,ops_only_win,ops_advantage
155,241.380056,119.95246,-121.427596,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,26,ops_only_win,ops_advantage
550,241.354581,118.939398,-122.415183,True,False,intercepted_before_small_circle,entered_big_circle,detour,45,27,ops_only_win,ops_advantage
638,241.316257,117.908598,-123.407659,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,30,ops_only_win,ops_advantage
222,241.297788,116.76088,-124.536908,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,28,ops_only_win,ops_advantage
700,241.278852,119.411797,-121.867055,True,False,intercepted_before_small_circle,entered_big_circle,detour,37,25,ops_only_win,ops_advantage
244,241.265629,119.18761,-122.078018,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,29,ops_only_win,ops_advantage
579,241.249163,117.620569,-123.628594,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,28,ops_only_win,ops_advantage
462,241.246564,120.043666,-121.202898,True,False,intercepted_before_small_circle,entered_big_circle,detour,40,29,ops_only_win,ops_advantage
485,241.23453,117.835931,-123.398599,True,False,intercepted_before_small_circle,entered_big_circle,detour,48,30,ops_only_win,ops_advantage
130,241.220818,118.662248,-122.558571,True,False,intercepted_before_small_circle,entered_big_circle,detour,47,29,ops_only_win,ops_advantage
105,241.174784,119.14792,-122.026864,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,23,ops_only_win,ops_advantage
