episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-100.74315475463868,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.75272766590119,False,False
1,10,-101.23510398507118,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.43763481020927,False,False
2,16,-102.6859043598175,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.63822393417358,False,False
3,11,-101.47176385521888,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.47176385521888,False,False
4,30,-104.1919790172577,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-104.19294460058212,False,False
5,30,-102.96391481995585,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-102.83571131467819,False,False
6,5,-100.50350088119508,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.50875975131989,False,False
7,13,-101.98686741709707,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.61948226809501,False,False
8,16,-102.15291711091996,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.40102418661118,False,False
9,18,-101.83668443083764,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-101.83668443083764,False,False
10,58,-106.7672493007779,intruder,entered_small_circle,detour,33,interceptor,intercepted_before_small_circle,98.04042156517505,False,True
11,56,-106.30400059223174,intruder,entered_small_circle,detour,27,interceptor,intercepted_before_small_circle,98.75572577059269,False,True
12,136,-109.60138646513224,intruder,active_collision,attack,39,interceptor,intercepted_before_small_circle,98.6002795343101,False,True
13,76,-113.44365705251694,intruder,entered_big_circle,direct,37,interceptor,intercepted_before_small_circle,96.95684668660164,False,True
14,20,-103.07172900676728,intruder,entered_big_circle,direct,158,intruder,active_collision,-103.17293851345778,False,False
15,13,-101.62141689777374,intruder,entered_big_circle,direct,32,intruder,entered_big_circle,-102.16514285862446,False,False
16,21,-102.06920247673987,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-102.09097636342048,False,False
17,18,-102.371606464386,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.37160646438599,False,False
18,28,-103.37510708689688,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-103.35040027618408,False,False
19,23,-102.53514531970023,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-102.53514531970023,False,False
20,17,-102.56397496819496,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-102.56397496819496,False,False
21,18,-102.35345882296562,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.33480596661568,False,False
22,69,-115.26780916780234,intruder,entered_small_circle,detour,10,intruder,entered_big_circle,-101.40660332679748,False,False
23,66,-111.64205624759197,intruder,entered_small_circle,detour,14,intruder,entered_big_circle,-102.44387016177177,False,False
24,247,-138.23380203306672,intruder,entered_big_circle,direct,42,interceptor,intercepted_before_small_circle,97.55384621560573,False,True
25,30,-103.3291576975584,intruder,entered_big_circle,direct,44,interceptor,intercepted_before_small_circle,96.34559586912394,False,True
