episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
9,353,direct,detour,attack,0.4067498445510864,0.0,detour,0.025984110310673714,0.4352376461029053,0.40925353579223156
76,2884,detour,attack,direct,0.41451725363731384,0.0,attack,0.041140343993902206,0.407301664352417,0.3661613203585148
82,3170,attack,direct,detour,0.8039829730987549,0.0,direct,0.4154587388038635,0.8263567686080933,0.41089802980422974
97,3738,direct,detour,attack,0.4343535006046295,0.0,detour,0.06028418987989426,0.4871963858604431,0.42691219598054886
136,5265,detour,attack,attack,0.42453432083129883,0.0,attack,0.08450215309858322,0.44029849767684937,0.35579634457826614
144,5502,attack,direct,detour,0.6944641470909119,0.0,direct,0.3579266369342804,0.7353765964508057,0.37744995951652527
144,5607,direct,attack,attack,0.40388917922973633,0.0,attack,0.046832337975502014,0.41148751974105835,0.36465518176555634
145,5760,attack,direct,direct,0.5768327116966248,0.0,direct,0.18959484994411469,0.5794528722763062,0.38985802233219147
156,6149,direct,detour,attack,0.43596142530441284,0.0,detour,0.051696423441171646,0.4271586835384369,0.37546226009726524
263,9920,detour,direct,attack,0.413899302482605,0.0,direct,0.08264617621898651,0.43988144397735596,0.35723526775836945
279,10417,direct,attack,attack,0.43014639616012573,0.0,attack,0.04808052256703377,0.41486865282058716,0.3667881302535534
286,10783,attack,direct,detour,0.7061810493469238,0.0,direct,0.37462353706359863,0.7372813820838928,0.3626578450202942
286,10887,direct,attack,attack,0.38542836904525757,0.0,attack,0.00811305083334446,0.4000547528266907,0.3919417019933462
314,12299,attack,direct,detour,0.6960669159889221,0.0,direct,0.35760411620140076,0.7285102009773254,0.3709060847759247
324,12817,direct,attack,attack,0.3922153115272522,0.0,attack,0.06901112198829651,0.4211045503616333,0.3520934283733368
333,13242,attack,direct,detour,0.7107372283935547,0.0,direct,0.356162428855896,0.7458907961845398,0.3897283673286438
334,13374,direct,detour,attack,0.4487493932247162,0.0,detour,0.06780937314033508,0.46332481503486633,0.39551544189453125
591,23322,detour,direct,detour,0.6644755601882935,0.0,direct,0.2722908556461334,0.6508831977844238,0.3785923421382904
603,23856,direct,attack,attack,0.3932332694530487,0.0,attack,0.0654592514038086,0.42750170826911926,0.36204245686531067
613,24320,attack,direct,attack,0.6235021352767944,0.0,direct,0.23071366548538208,0.6522268056869507,0.4215131402015686
624,24698,direct,attack,detour,0.38621485233306885,0.0,attack,0.06090449541807175,0.4299880266189575,0.3690835312008858
661,26224,attack,direct,detour,0.6941327452659607,0.0,direct,0.3545992970466614,0.7465207576751709,0.3919214606285095
674,26816,direct,detour,attack,0.39969608187675476,0.0,detour,0.030271226540207863,0.41412171721458435,0.3838504906743765
712,28320,detour,direct,direct,0.47995099425315857,0.0,direct,0.09806545823812485,0.48217839002609253,0.3841129317879677
720,28660,direct,detour,attack,0.4036147892475128,0.0,detour,0.03147636353969574,0.4091072976589203,0.37763093411922455
733,29240,detour,attack,attack,0.4912130832672119,0.0,attack,0.12372436374425888,0.49460694193840027,0.3708825781941414
751,30034,attack,direct,detour,0.7975553274154663,0.0,direct,0.40554291009902954,0.78809654712677,0.3825536370277405
753,30210,direct,detour,attack,0.371013879776001,0.0,detour,0.03147060424089432,0.3948982357978821,0.36342763155698776
