episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
519,-240.539626,-143.192306,97.34732,False,True,entered_big_circle,intercepted_before_small_circle,direct,353,62,baseline_only_win,baseline_advantage
130,-235.564067,-139.829276,95.734791,False,True,entered_big_circle,intercepted_before_small_circle,direct,388,41,baseline_only_win,baseline_advantage
655,-226.125579,-128.42606,97.699519,False,True,active_collision,intercepted_before_small_circle,attack,201,34,baseline_only_win,baseline_advantage
271,-225.77623,-128.859736,96.916494,False,True,entered_big_circle,intercepted_before_small_circle,direct,198,82,baseline_only_win,baseline_advantage
233,-225.36676,-129.243768,96.122993,False,True,entered_big_circle,intercepted_before_small_circle,direct,87,94,baseline_only_win,baseline_advantage
36,-217.414729,-120.486644,96.928085,False,True,entered_big_circle,intercepted_before_small_circle,direct,207,42,baseline_only_win,baseline_advantage
533,-217.058204,-120.942634,96.11557,False,True,entered_big_circle,intercepted_before_small_circle,direct,190,39,baseline_only_win,baseline_advantage
283,-214.725277,-116.589369,98.135909,False,True,entered_big_circle,intercepted_before_small_circle,direct,205,52,baseline_only_win,baseline_advantage
258,-214.320064,-118.383403,95.93666,False,True,entered_big_circle,intercepted_before_small_circle,direct,203,43,baseline_only_win,baseline_advantage
297,-213.995497,-115.874364,98.121133,False,True,entered_big_circle,intercepted_before_small_circle,direct,196,29,baseline_only_win,baseline_advantage
247,-211.959593,-114.04161,97.917984,False,True,entered_big_circle,intercepted_before_small_circle,direct,188,72,baseline_only_win,baseline_advantage
48,-211.595421,-113.863294,97.732126,False,True,entered_big_circle,intercepted_before_small_circle,direct,184,35,baseline_only_win,baseline_advantage
697,-211.371871,-113.443054,97.928817,False,True,entered_big_circle,intercepted_before_small_circle,direct,167,31,baseline_only_win,baseline_advantage
751,-210.001255,-112.634318,97.366937,False,True,entered_big_circle,intercepted_before_small_circle,direct,137,33,baseline_only_win,baseline_advantage
218,-209.034553,-112.918646,96.115907,False,True,entered_big_circle,intercepted_before_small_circle,direct,175,43,baseline_only_win,baseline_advantage
419,-207.016746,-111.098626,95.918121,False,True,entered_big_circle,intercepted_before_small_circle,direct,235,42,baseline_only_win,baseline_advantage
459,-204.686445,-108.956587,95.729858,False,True,entered_big_circle,intercepted_before_small_circle,direct,31,120,baseline_only_win,baseline_advantage
736,-203.513992,-105.952675,97.561316,False,True,entered_big_circle,intercepted_before_small_circle,direct,31,70,baseline_only_win,baseline_advantage
750,-203.4078,-105.583488,97.824312,False,True,entered_small_circle,intercepted_before_small_circle,attack,54,35,baseline_only_win,baseline_advantage
641,-203.056729,-105.771451,97.285278,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,59,baseline_only_win,baseline_advantage
148,203.260049,97.328558,-105.931491,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,63,ops_only_win,ops_advantage
93,203.001131,97.852596,-105.148535,True,False,intercepted_before_small_circle,entered_big_circle,detour,29,167,ops_only_win,ops_advantage
375,201.810185,97.112296,-104.697889,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,28,ops_only_win,ops_advantage
619,201.465856,97.775842,-103.690014,True,False,intercepted_before_small_circle,entered_big_circle,detour,64,29,ops_only_win,ops_advantage
634,201.014154,96.489349,-104.524805,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,30,ops_only_win,ops_advantage
107,200.969484,95.589614,-105.37987,True,False,intercepted_before_small_circle,entered_big_circle,detour,50,178,ops_only_win,ops_advantage
374,200.703966,95.806315,-104.897651,True,False,intercepted_before_small_circle,entered_big_circle,detour,43,32,ops_only_win,ops_advantage
472,200.693987,97.190438,-103.503549,True,False,intercepted_before_small_circle,entered_big_circle,detour,42,27,ops_only_win,ops_advantage
243,200.692098,96.234908,-104.45719,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,28,ops_only_win,ops_advantage
621,200.630383,98.345838,-102.284545,True,False,intercepted_before_small_circle,entered_big_circle,detour,31,19,ops_only_win,ops_advantage
244,200.616876,97.335508,-103.281367,True,False,intercepted_before_small_circle,entered_big_circle,detour,54,29,ops_only_win,ops_advantage
214,200.592404,97.57273,-103.019675,True,False,intercepted_before_small_circle,entered_big_circle,detour,67,24,ops_only_win,ops_advantage
541,200.566627,96.590345,-103.976282,True,False,intercepted_before_small_circle,entered_big_circle,detour,46,26,ops_only_win,ops_advantage
486,200.489823,98.639037,-101.850786,True,False,intercepted_before_small_circle,entered_big_circle,detour,32,17,ops_only_win,ops_advantage
748,200.480234,98.375072,-102.105162,True,False,intercepted_before_small_circle,entered_big_circle,detour,47,27,ops_only_win,ops_advantage
453,200.403661,96.469548,-103.934113,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,27,ops_only_win,ops_advantage
730,200.399543,97.152626,-103.246917,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,29,ops_only_win,ops_advantage
189,200.339266,96.742088,-103.597178,True,False,intercepted_before_small_circle,entered_big_circle,detour,59,67,ops_only_win,ops_advantage
320,200.311259,96.783202,-103.528057,True,False,intercepted_before_small_circle,entered_big_circle,detour,52,27,ops_only_win,ops_advantage
455,200.262977,98.213156,-102.049821,True,False,intercepted_before_small_circle,entered_big_circle,detour,52,30,ops_only_win,ops_advantage
