episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
7,195,direct,detour,detour,0.42420876026153564,0.0,detour,0.17080336809158325,0.4532829523086548,0.28247958421707153
10,321,detour,attack,attack,0.25343990325927734,0.0,attack,0.050422534346580505,0.29504817724227905,0.24462564289569855
10,480,attack,direct,direct,0.5180698037147522,0.0,direct,0.17859821021556854,0.4881925582885742,0.3095943480730057
17,659,direct,detour,detour,0.18037551641464233,0.0,detour,0.0397462397813797,0.24708186089992523,0.20733562111854553
21,812,detour,attack,attack,0.23349788784980774,0.0,attack,0.03887387365102768,0.2409323751926422,0.20205850154161453
21,960,attack,direct,direct,0.4099227786064148,0.0,direct,0.21894541382789612,0.42637884616851807,0.20743343234062195
29,1120,direct,detour,detour,0.33929386734962463,0.0,detour,0.07776053249835968,0.2863772213459015,0.2086166888475418
33,1294,detour,attack,attack,0.21989086270332336,0.0,attack,0.04807148873806,0.26392075419425964,0.21584926545619965
40,1600,attack,detour,detour,0.4367169439792633,0.0,detour,0.15427064895629883,0.4231039881706238,0.26883333921432495
43,1763,detour,attack,attack,0.35166966915130615,0.0,attack,0.07977571338415146,0.3513356149196625,0.271559901535511
44,1920,attack,direct,direct,0.7405147552490234,0.0,direct,0.3793520927429199,0.7564886808395386,0.37713658809661865
52,2080,direct,detour,detour,0.3329949975013733,0.0,detour,0.1197018027305603,0.3374987244606018,0.2177969217300415
56,2242,detour,attack,attack,0.22365587949752808,0.0,attack,0.01914668083190918,0.23026931285858154,0.21112263202667236
57,2400,attack,direct,direct,0.5092262029647827,0.0,direct,0.2415705919265747,0.4913092255592346,0.2497386336326599
65,2560,direct,detour,detour,0.46244028210639954,0.0,detour,0.24559441208839417,0.5307294130325317,0.2851350009441376
69,2721,detour,attack,attack,0.23983223736286163,0.0,attack,0.01731138862669468,0.24115052819252014,0.22383913956582546
69,2880,attack,direct,direct,0.5151347517967224,0.0,direct,0.2046891301870346,0.5082566738128662,0.3035675436258316
75,3041,direct,detour,detour,0.32575640082359314,0.0,detour,0.040096115320920944,0.31075555086135864,0.2706594355404377
79,3233,detour,attack,attack,0.27609482407569885,0.0,attack,0.0670301765203476,0.2832789123058319,0.21624873578548431
79,3360,attack,direct,direct,0.5374743938446045,0.0,direct,0.07547417283058167,0.5232936143875122,0.44781944155693054
