episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,16,-101.75956774950028,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-101.88181767463684,False,False
1,31,-106.99214326739312,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-107.30984081625938,False,False
2,16,-102.68722572922708,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.93977385163308,False,False
3,27,-102.83540529966356,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-105.21303155183791,False,False
4,5,-100.63996844530104,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.68599741697311,False,False
5,14,-101.82729180932046,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-102.13062946677208,False,False
6,9,-101.19747310757636,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-101.24396287083626,False,False
7,23,-105.61080197811128,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-104.82313465595246,False,False
8,14,-102.68076622962953,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-101.97821794033051,False,False
9,68,-116.88991436481476,intruder,entered_small_circle,detour,276,intruder,active_collision,-160.8186702683568,False,False
10,225,-146.83553227275607,intruder,active_collision,attack,49,intruder,entered_big_circle,-106.96698309659958,False,False
11,32,-103.31728570520876,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-103.61099131703376,False,False
12,8,-101.04143703699113,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-101.13264152526855,False,False
13,22,-102.11198458433152,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-102.17726935505867,False,False
14,20,-103.08696468114852,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-102.84491814613342,False,False
15,17,-101.69473097085952,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-102.26590637326241,False,False
16,19,-102.0269305574894,intruder,entered_big_circle,direct,19,intruder,entered_big_circle,-103.33035576820373,False,False
17,16,-102.18960528969764,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.83912375569344,False,False
18,10,-101.24775042176246,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.35429364085198,False,False
19,22,-105.1891161298752,intruder,entered_big_circle,direct,297,intruder,active_collision,-165.43271098792553,False,False
20,15,-101.80290794610976,intruder,entered_big_circle,direct,45,intruder,entered_big_circle,-107.9215672814846,False,False
21,6,-100.8285410284996,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.87956807613372,False,False
22,69,-118.92855495989323,intruder,entered_small_circle,detour,18,intruder,entered_big_circle,-102.45012039065361,False,False
23,222,-135.85272793233392,intruder,active_collision,attack,14,intruder,entered_big_circle,-101.72923022389412,False,False
24,34,-106.2173107343912,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.78171165585518,False,False
25,23,-103.2981261086464,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-104.14840721607209,False,False
