episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
12,298,direct,detour,detour,0.731690526008606,0.0,detour,0.31075623631477356,0.8252973556518555,0.5145411193370819
13,422,detour,attack,attack,0.4993418753147125,0.0,attack,0.02598027139902115,0.552113950252533,0.5261336788535118
31,1183,attack,detour,detour,0.6496618986129761,0.0,detour,0.17763426899909973,0.7177602052688599,0.5401259362697601
93,3348,detour,attack,attack,0.5266435146331787,0.0,attack,0.023843728005886078,0.5488738417625427,0.5250301137566566
110,4055,attack,detour,detour,0.6514369249343872,0.0,detour,0.15977424383163452,0.6635645031929016,0.5037902593612671
112,4246,detour,attack,attack,0.5206974744796753,0.0,attack,0.031900208443403244,0.5423562526702881,0.5104560442268848
131,5008,attack,direct,detour,0.7261726260185242,0.0,direct,0.219660222530365,0.746973991394043,0.527313768863678
132,5270,direct,attack,attack,0.5063971281051636,0.0,attack,0.09719522297382355,0.6016583442687988,0.5044631212949753
158,6487,attack,direct,detour,0.9593207836151123,0.0,direct,0.514473021030426,1.0231969356536865,0.5087239146232605
170,6961,direct,detour,detour,0.6436766982078552,0.0,detour,0.07408394664525986,0.6483133435249329,0.574229396879673
218,8602,detour,attack,attack,0.5360346436500549,0.0,attack,0.06390930712223053,0.5656253695487976,0.5017160624265671
229,8873,attack,direct,detour,0.9084435701370239,0.0,direct,0.44040217995643616,0.9428114891052246,0.5024093091487885
229,8955,direct,detour,detour,0.8781403303146362,0.0,detour,0.22080470621585846,0.9634382128715515,0.742633506655693
245,9512,detour,direct,attack,0.774688720703125,0.0,direct,0.21292747557163239,0.8102060556411743,0.5972785800695419
245,9601,direct,detour,direct,0.7467983961105347,0.0,detour,0.15536567568778992,0.7016505599021912,0.5462848842144012
409,14757,detour,attack,attack,0.4942632019519806,0.0,attack,0.0400000624358654,0.5832066535949707,0.5432065911591053
446,16521,attack,direct,detour,0.6345978379249573,0.0,direct,0.1254698634147644,0.6569231748580933,0.5314533114433289
455,16966,direct,detour,detour,0.568074107170105,0.0,detour,0.036576420068740845,0.6003003120422363,0.5637238919734955
517,19138,detour,direct,attack,0.8166073560714722,0.0,direct,0.273917555809021,0.912232518196106,0.638314962387085
526,19385,direct,detour,detour,0.5899396538734436,0.0,detour,0.004677340388298035,0.6077136397361755,0.6030362993478775
590,21508,detour,direct,attack,0.8309838175773621,0.0,direct,0.30857419967651367,0.8157107830047607,0.5071365833282471
590,21601,direct,detour,direct,0.7467562556266785,0.0,detour,0.15365013480186462,0.8238386511802673,0.6701885163784027
617,22515,detour,direct,attack,0.7489885091781616,0.0,direct,0.25679007172584534,0.7889711260795593,0.532181054353714
629,22741,direct,detour,detour,0.5428152084350586,0.0,detour,0.05203226953744888,0.6160794496536255,0.5640471801161766
695,24823,detour,attack,attack,0.5804765224456787,0.0,attack,0.0352632999420166,0.5697364807128906,0.534473180770874
707,25241,attack,direct,detour,0.8165619969367981,0.0,direct,0.2673543095588684,0.8376163840293884,0.57026207447052
707,25321,direct,detour,attack,0.915236234664917,0.0,detour,0.4663982689380646,1.0449550151824951,0.5785567462444305
756,26850,detour,attack,attack,0.555566668510437,0.0,attack,0.025514347478747368,0.5351534485816956,0.5096391011029482
765,27103,attack,detour,detour,0.7029185891151428,0.0,detour,0.18318189680576324,0.7822543978691101,0.5990725010633469
