episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
9,165,direct,detour,detour,0.5148054361343384,0.0,detour,0.029996749013662338,0.47055208683013916,0.4405553378164768
13,323,detour,attack,attack,0.3164976239204407,0.0,attack,0.055190619081258774,0.32002773880958557,0.2648371197283268
13,404,attack,detour,attack,0.6885762214660645,0.0,detour,0.44306251406669617,0.697480320930481,0.2544178068637848
14,511,detour,attack,direct,0.39509665966033936,0.0,attack,0.053398728370666504,0.39505720138549805,0.34165847301483154
22,696,attack,direct,detour,0.9345872402191162,0.0,direct,0.6589211225509644,0.9347426891326904,0.2758215665817261
23,778,direct,detour,detour,0.3028790354728699,0.0,detour,0.05918461084365845,0.3308762311935425,0.27169162034988403
23,858,detour,attack,attack,0.8461290597915649,0.0,attack,0.4169200360774994,0.8068081736564636,0.38988813757896423
23,960,attack,direct,direct,1.061488151550293,0.0,direct,0.42570316791534424,1.09434175491333,0.6686385869979858
31,1127,direct,detour,detour,0.5496808886528015,0.0,detour,0.0038703735917806625,0.5433858633041382,0.5395154897123575
35,1291,detour,attack,attack,0.36776959896087646,0.0,attack,0.05914393812417984,0.3639231026172638,0.30477916449308395
36,1441,attack,direct,direct,0.6657408475875854,0.0,direct,0.26644039154052734,0.6742801070213318,0.40783971548080444
50,2111,direct,detour,detour,0.5448897480964661,0.0,detour,0.23035679757595062,0.5726029276847839,0.3422461301088333
54,2255,detour,attack,attack,0.3534983992576599,0.0,attack,0.1270061433315277,0.38926637172698975,0.26226022839546204
54,2400,attack,direct,direct,0.7226622700691223,0.0,direct,0.3966616690158844,0.716005802154541,0.3193441331386566
61,2584,direct,detour,detour,0.4043028950691223,0.0,detour,0.11724492162466049,0.40205925703048706,0.28481433540582657
65,2735,detour,attack,attack,0.27899008989334106,0.0,attack,0.02079121209681034,0.28829044103622437,0.267499228939414
65,2880,attack,direct,direct,0.7928054332733154,0.0,direct,0.40631920099258423,0.6992915868759155,0.2929723858833313
76,3062,direct,detour,detour,0.4380943477153778,0.0,detour,0.12069328129291534,0.41645997762680054,0.2957666963338852
80,3208,detour,direct,attack,0.3630680441856384,0.0,direct,0.020765185356140137,0.34419959783554077,0.32343441247940063
90,3538,direct,detour,detour,0.296836793422699,0.0,detour,0.057416386902332306,0.3080217242240906,0.25060533732175827
94,3702,detour,direct,attack,0.3136880695819855,0.0,direct,0.06281571090221405,0.3338441550731659,0.27102844417095184
