episode,reward_gap,ops_episode_reward,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win,ops_reason,baseline_reason,ops_final_intruder_policy,ops_episode_len,baseline_episode_len,outcome_pair,rank_type
117,-265.414576,-168.066008,97.348568,False,True,entered_big_circle,intercepted_before_small_circle,direct,350,45,baseline_only_win,baseline_advantage
63,-257.071133,-160.68123,96.389903,False,True,entered_big_circle,intercepted_before_small_circle,direct,326,41,baseline_only_win,baseline_advantage
508,-244.127345,-146.771541,97.355805,False,True,active_collision,intercepted_before_small_circle,attack,265,33,baseline_only_win,baseline_advantage
793,-236.513011,-138.080927,98.432085,False,True,entered_small_circle,intercepted_before_small_circle,attack,268,39,baseline_only_win,baseline_advantage
381,-219.170332,-120.893932,98.2764,False,True,entered_big_circle,intercepted_before_small_circle,direct,184,29,baseline_only_win,baseline_advantage
145,-218.213795,-121.900196,96.313599,False,True,entered_small_circle,intercepted_before_small_circle,attack,79,90,baseline_only_win,baseline_advantage
534,-217.682247,-120.749169,96.933078,False,True,entered_big_circle,intercepted_before_small_circle,direct,193,39,baseline_only_win,baseline_advantage
202,-216.619576,-121.510738,95.108837,False,True,entered_big_circle,intercepted_before_small_circle,direct,137,47,baseline_only_win,baseline_advantage
590,-216.243402,-119.798883,96.44452,False,True,entered_big_circle,intercepted_before_small_circle,direct,185,39,baseline_only_win,baseline_advantage
601,-213.736479,-117.258949,96.47753,False,True,entered_big_circle,intercepted_before_small_circle,direct,191,50,baseline_only_win,baseline_advantage
628,-213.172058,-114.904954,98.267104,False,True,entered_big_circle,intercepted_before_small_circle,direct,197,31,baseline_only_win,baseline_advantage
130,-211.895284,-116.160493,95.734791,False,True,entered_big_circle,intercepted_before_small_circle,direct,204,41,baseline_only_win,baseline_advantage
146,-210.940499,-115.272825,95.667674,False,True,entered_big_circle,intercepted_before_small_circle,direct,65,54,baseline_only_win,baseline_advantage
35,-208.901709,-113.006032,95.895677,False,True,entered_small_circle,intercepted_before_small_circle,detour,69,44,baseline_only_win,baseline_advantage
298,-207.728899,-111.402766,96.326133,False,True,entered_big_circle,intercepted_before_small_circle,direct,135,42,baseline_only_win,baseline_advantage
10,-204.807671,-106.767249,98.040422,False,True,entered_small_circle,intercepted_before_small_circle,detour,58,33,baseline_only_win,baseline_advantage
736,-203.513992,-105.952675,97.561316,False,True,entered_big_circle,intercepted_before_small_circle,direct,31,70,baseline_only_win,baseline_advantage
60,-203.026253,-108.142588,94.883664,False,True,entered_big_circle,intercepted_before_small_circle,direct,31,48,baseline_only_win,baseline_advantage
615,-203.003127,-107.862699,95.140428,False,True,entered_big_circle,intercepted_before_small_circle,direct,193,47,baseline_only_win,baseline_advantage
171,-202.98383,-106.437911,96.545919,False,True,entered_big_circle,intercepted_before_small_circle,direct,30,46,baseline_only_win,baseline_advantage
421,205.244433,96.154763,-109.08967,True,False,intercepted_before_small_circle,entered_big_circle,detour,48,163,ops_only_win,ops_advantage
93,203.01835,97.869815,-105.148535,True,False,intercepted_before_small_circle,entered_big_circle,detour,29,167,ops_only_win,ops_advantage
129,201.946558,97.360854,-104.585704,True,False,intercepted_before_small_circle,entered_big_circle,detour,51,32,ops_only_win,ops_advantage
598,201.784724,98.153325,-103.631398,True,False,intercepted_before_small_circle,entered_big_circle,detour,70,29,ops_only_win,ops_advantage
643,201.245741,94.178566,-107.067175,True,False,intercepted_before_small_circle,entered_big_circle,detour,49,191,ops_only_win,ops_advantage
226,201.220329,95.960096,-105.260234,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,27,ops_only_win,ops_advantage
624,201.188135,98.536762,-102.651373,True,False,intercepted_before_small_circle,entered_big_circle,detour,57,26,ops_only_win,ops_advantage
586,201.149084,97.852341,-103.296743,True,False,intercepted_before_small_circle,entered_big_circle,detour,66,29,ops_only_win,ops_advantage
753,200.881763,95.881523,-105.000241,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,160,ops_only_win,ops_advantage
237,200.87372,96.303,-104.57072,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,48,ops_only_win,ops_advantage
483,200.692059,97.712142,-102.979917,True,False,intercepted_before_small_circle,entered_big_circle,detour,31,167,ops_only_win,ops_advantage
611,200.672648,97.396808,-103.275839,True,False,intercepted_before_small_circle,entered_big_circle,detour,60,26,ops_only_win,ops_advantage
554,200.663642,95.631001,-105.032641,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,32,ops_only_win,ops_advantage
460,200.612308,97.098635,-103.513673,True,False,intercepted_before_small_circle,entered_big_circle,detour,36,165,ops_only_win,ops_advantage
269,200.520476,97.957866,-102.562609,True,False,intercepted_before_small_circle,entered_big_circle,detour,73,19,ops_only_win,ops_advantage
690,200.499263,96.020089,-104.479174,True,False,intercepted_before_small_circle,entered_big_circle,detour,44,30,ops_only_win,ops_advantage
566,200.354561,97.549966,-102.804595,True,False,intercepted_before_small_circle,entered_big_circle,detour,92,21,ops_only_win,ops_advantage
51,200.228805,96.50874,-103.720065,True,False,intercepted_before_small_circle,entered_big_circle,detour,41,164,ops_only_win,ops_advantage
748,200.225635,98.120472,-102.105162,True,False,intercepted_in_big_circle,entered_big_circle,direct,27,27,ops_only_win,ops_advantage
470,200.203728,97.654937,-102.548791,True,False,intercepted_before_small_circle,entered_big_circle,detour,35,160,ops_only_win,ops_advantage
