episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,11,-101.53899049758913,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-102.06486421823502,False,False
1,28,-102.63050099730492,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-105.82991065502166,False,False
2,21,-102.71776906251908,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-103.69027737379074,False,False
3,30,-105.26699880003927,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-103.48142615795135,False,False
4,29,-106.34632930636404,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-103.51049988746642,False,False
5,27,-102.7332415318489,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-105.27088476181031,False,False
6,12,-101.57163048148156,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-101.98552101016044,False,False
7,71,93.42636849582196,interceptor,intercepted_before_small_circle,detour,351,intruder,entered_big_circle,-157.38569470643995,True,False
8,37,96.68498099386692,interceptor,intercepted_before_small_circle,detour,16,intruder,entered_big_circle,-102.3062397480011,True,False
9,41,96.04508832395076,interceptor,intercepted_before_small_circle,detour,22,intruder,entered_big_circle,-103.08127385735511,True,False
10,210,-124.46688106596474,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.32787569880486,False,False
11,31,-104.26823009848594,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-107.03398067355155,False,False
12,11,-101.35801435709,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.35832816362381,False,False
13,23,-102.40970810770987,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-103.23012371778488,False,False
14,11,-101.91841024756432,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.50168082118034,False,False
15,24,-102.30016857862472,intruder,entered_big_circle,direct,357,intruder,entered_big_circle,-160.1087875819206,False,False
16,10,-101.34230424404144,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.37698927164078,False,False
17,54,96.6855049994588,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-103.01176744103432,True,False
18,38,96.60786647230388,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-103.56939573287964,True,False
19,42,95.55007411926984,interceptor,intercepted_before_small_circle,detour,25,intruder,entered_big_circle,-104.84723702907561,True,False
20,29,98.49688988894223,interceptor,intercepted_before_small_circle,detour,5,intruder,entered_big_circle,-100.54121787786484,True,False
21,205,-124.07392123579982,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.0445873939991,False,False
22,17,-102.3266345477104,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-102.46054255723953,False,False
23,26,-102.9252994298935,intruder,entered_big_circle,direct,374,intruder,entered_big_circle,-163.513961930871,False,False
24,11,-101.48973755836488,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.12545967102051,False,False
25,11,-101.68446197509766,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-102.02867481708526,False,False
26,23,-102.54876461744308,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-105.04655617594719,False,False
27,6,-100.76455711722376,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.87540543675422,False,False
28,27,-102.74521509468556,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-105.16915501117707,False,False
29,46,95.00555908828974,interceptor,intercepted_before_small_circle,detour,27,intruder,entered_big_circle,-103.6823367035389,True,False
30,33,97.45520924508573,interceptor,intercepted_before_small_circle,detour,7,intruder,entered_big_circle,-101.00487680792808,True,False
31,48,94.62503976255655,interceptor,intercepted_before_small_circle,detour,370,intruder,entered_big_circle,-176.01362113893032,True,False
