episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-100.73325997829436,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.75272766590119,False,False
1,10,-101.26322443127631,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.43763481020927,False,False
2,16,-102.63822393417358,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.63822393417358,False,False
3,11,-101.47176385521888,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.47176385521888,False,False
4,30,-104.1919790172577,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-104.19294460058212,False,False
5,30,-102.84510646104812,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-102.83571131467819,False,False
6,5,-100.522772731781,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.50875975131989,False,False
7,13,-101.97100859999657,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.61948226809501,False,False
8,16,-102.15291711091996,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.40102418661118,False,False
9,18,-101.83668443083764,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-101.83668443083764,False,False
10,58,-106.7672493007779,intruder,entered_small_circle,detour,33,interceptor,intercepted_before_small_circle,98.04042156517505,False,True
11,24,98.92062095969916,interceptor,intercepted_before_small_circle,detour,27,interceptor,intercepted_before_small_circle,98.75572577059269,True,True
12,27,98.2822275826335,interceptor,intercepted_before_small_circle,detour,39,interceptor,intercepted_before_small_circle,98.6002795343101,True,True
13,32,97.29671084821224,interceptor,intercepted_before_small_circle,detour,37,interceptor,intercepted_before_small_circle,96.95684668660164,True,True
14,200,-116.77996848165988,intruder,entered_big_circle,direct,158,intruder,active_collision,-103.17293851345778,False,False
15,13,-101.62141689777374,intruder,entered_big_circle,direct,32,intruder,entered_big_circle,-102.16514285862446,False,False
16,21,-102.06920247673987,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-102.09097636342048,False,False
17,18,-102.41093787670135,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.37160646438599,False,False
18,28,-103.37510708689688,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-103.35040027618408,False,False
19,23,-102.53514531970023,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-102.53514531970023,False,False
20,17,-102.56397496819496,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-102.56397496819496,False,False
21,18,-102.41314272999765,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.33480596661568,False,False
22,34,97.63863324791193,interceptor,intercepted_before_small_circle,detour,10,intruder,entered_big_circle,-101.40660332679748,True,False
23,41,95.92717699557542,interceptor,intercepted_before_small_circle,detour,14,intruder,entered_big_circle,-102.44387016177177,True,False
