episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
7,198,direct,detour,detour,0.4468284249305725,0.0,detour,0.18870478868484497,0.4842817485332489,0.29557695984840393
10,320,detour,attack,attack,0.4860164523124695,0.0,attack,0.22562193870544434,0.516828715801239,0.2912067770957947
10,480,attack,direct,direct,0.5125589966773987,0.0,direct,0.1753140687942505,0.483245849609375,0.3079317808151245
17,668,direct,detour,detour,0.42149245738983154,0.0,detour,0.09631361067295074,0.466411828994751,0.37009821832180023
21,813,detour,attack,attack,0.3055421710014343,0.0,attack,0.037381820380687714,0.32549965381622314,0.28811783343553543
21,966,attack,direct,direct,0.2478061020374298,0.0,direct,0.05777589604258537,0.3218429982662201,0.2640671022236347
29,1121,direct,detour,detour,0.3200662136077881,0.0,detour,0.0217071995139122,0.3236501216888428,0.3019429221749306
33,1304,detour,attack,attack,0.3520623445510864,0.0,attack,0.0520339161157608,0.35009312629699707,0.29805921018123627
34,1440,attack,direct,direct,0.5941007137298584,0.0,direct,0.2318459153175354,0.5625597834587097,0.3307138681411743
42,1606,direct,detour,detour,0.2647516131401062,0.0,detour,0.018360940739512444,0.2998214066028595,0.28146046586334705
46,1760,detour,attack,attack,0.3481626510620117,0.0,attack,0.020287200808525085,0.3663952946662903,0.3461080938577652
46,1920,attack,direct,direct,0.5761744379997253,0.0,direct,0.2392006665468216,0.6061168313026428,0.36691616475582123
52,2100,direct,detour,detour,0.34606000781059265,0.0,detour,0.11208347231149673,0.41818463802337646,0.30610116571187973
56,2256,detour,attack,attack,0.18231266736984253,0.0,attack,0.023879561573266983,0.27948668599128723,0.25560712441802025
56,2400,attack,direct,direct,0.6991236209869385,0.0,direct,0.35539430379867554,0.6756548881530762,0.32026058435440063
65,2587,direct,detour,detour,0.4278150498867035,0.0,detour,0.14315363764762878,0.4351077079772949,0.29195407032966614
69,2737,detour,attack,attack,0.3034478425979614,0.0,attack,0.06698092073202133,0.34709620475769043,0.2801152840256691
70,2880,attack,direct,direct,0.8793643712997437,0.0,direct,0.3798947334289551,0.9120515584945679,0.5321568250656128
78,3110,direct,detour,detour,0.5850335359573364,0.0,detour,0.04348583146929741,0.6163514852523804,0.572865653783083
80,3206,detour,attack,attack,0.2584535777568817,0.0,attack,0.06623578071594238,0.3233904242515564,0.257154643535614
80,3360,attack,direct,direct,0.5016027092933655,0.0,direct,0.13558919727802277,0.4916543960571289,0.35606519877910614
88,3562,direct,detour,detour,0.37472081184387207,0.0,detour,0.06674008816480637,0.43730053305625916,0.3705604448914528
91,3698,detour,attack,attack,0.3662775754928589,0.0,attack,0.12435724586248398,0.408128023147583,0.28377077728509903
94,3877,attack,detour,direct,0.2771179974079132,0.0,detour,0.03192298486828804,0.3143024742603302,0.28237948939204216
100,3962,detour,direct,direct,0.3870958089828491,0.0,direct,0.019827647134661674,0.4132966995239258,0.3934690523892641
102,4038,direct,detour,detour,0.8420743942260742,0.0,detour,0.4014746844768524,0.8339732885360718,0.43249860405921936
102,4123,detour,attack,detour,0.744022786617279,0.0,attack,0.4082263112068176,0.6676180958747864,0.25939178466796875
102,4320,attack,direct,direct,0.5039848685264587,0.0,direct,0.18521155416965485,0.4876035749912262,0.30239202082157135
110,4512,direct,detour,detour,0.39278215169906616,0.0,detour,0.13408957421779633,0.4053973853588104,0.2713078111410141
113,4650,detour,attack,attack,0.2756870687007904,0.0,attack,0.0666472390294075,0.32536256313323975,0.25871532410383224
113,4800,attack,direct,direct,0.6858334541320801,0.0,direct,0.1600835621356964,0.6572008728981018,0.4971173107624054
120,4962,direct,detour,detour,0.3756733536720276,0.0,detour,0.039969395846128464,0.3504040539264679,0.31043465808033943
125,5223,detour,attack,attack,0.3440868854522705,0.0,attack,0.1058347076177597,0.3745081424713135,0.26867343485355377
135,5442,attack,detour,detour,0.38108551502227783,0.0,detour,0.024752089753746986,0.35233747959136963,0.32758538983762264
139,5644,detour,attack,attack,0.513375461101532,0.0,attack,0.03309335559606552,0.46804502606391907,0.43495167046785355
139,5760,attack,direct,direct,0.45106637477874756,0.0,direct,0.24711349606513977,0.5863964557647705,0.33928295969963074
147,5923,direct,detour,detour,0.24004076421260834,0.0,detour,0.009661590680480003,0.2751842737197876,0.2655226830393076
151,6083,detour,attack,attack,0.4255790114402771,0.0,attack,0.06143342703580856,0.4352215528488159,0.37378812581300735
152,6241,attack,detour,direct,0.5995110273361206,0.0,detour,0.2593625485897064,0.5889495611190796,0.32958701252937317
159,6335,detour,direct,direct,0.2821822762489319,0.0,direct,0.014313486404716969,0.287944495677948,0.27363100927323103
163,6432,direct,detour,detour,0.42063087224960327,0.0,detour,0.14955562353134155,0.492228627204895,0.34267300367355347
166,6677,detour,attack,attack,0.23332737386226654,0.0,attack,0.046224065124988556,0.29944443702697754,0.253220371901989
175,6926,attack,detour,detour,0.7570130228996277,0.0,detour,0.612806499004364,0.8654412031173706,0.2526347041130066
175,7014,detour,direct,detour,0.2961878776550293,0.0,direct,0.020128365606069565,0.27417925000190735,0.2540508843958378
189,7361,direct,detour,detour,0.3499159812927246,0.0,detour,0.0732865035533905,0.3345924913883209,0.2613059878349304
193,7559,detour,attack,attack,0.47868260741233826,0.0,attack,0.21890906989574432,0.49629953503608704,0.2773904651403427
193,7680,attack,direct,direct,0.6189007759094238,0.0,direct,0.17173416912555695,0.6317325830459595,0.4599984139204025
203,7878,direct,detour,detour,0.5259602665901184,0.0,detour,0.20263811945915222,0.4988284409046173,0.2961903214454651
206,8039,detour,attack,attack,0.44008669257164,0.0,attack,0.1794602870941162,0.4531792998313904,0.27371901273727417
206,8160,attack,direct,direct,0.8883287906646729,0.0,direct,0.2760641574859619,0.793428897857666,0.5173647403717041
216,8356,direct,detour,detour,0.6637832522392273,0.0,detour,0.4481010138988495,0.7626857757568359,0.31458476185798645
218,8492,detour,attack,attack,0.2489672601222992,0.0,attack,0.048873595893383026,0.30024537444114685,0.2513717785477638
219,8640,attack,direct,direct,1.1502119302749634,0.0,direct,0.5942609310150146,1.103729248046875,0.5094683170318604
230,8829,direct,detour,detour,0.3221951127052307,0.0,detour,0.007329192943871021,0.3184201419353485,0.3110909489914775
234,8975,detour,attack,attack,0.34448450803756714,0.0,attack,0.012424237094819546,0.36951160430908203,0.3570873672142625
