episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-120.64574785470964,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.74965555906296,False,False
1,10,-120.98092429161072,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.40382198810578,False,False
2,16,-122.56547024250033,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-123.6813142836094,False,False
3,11,-121.3287897002697,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-121.55795430064201,False,False
4,30,-123.34533520936968,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-126.53658845424653,False,False
5,30,-122.4719950735569,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-126.62614663243293,False,False
6,5,-120.40767128348352,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-120.46948979377747,False,False
7,13,-121.09277739822863,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-121.6947019815445,False,False
8,16,-121.68338836848736,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.78654351949692,False,False
9,18,-121.39120810806752,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-122.78613705515862,False,False
10,60,97.33214326009154,interceptor,intercepted_before_small_circle,detour,298,intruder,active_collision,-286.79491123348475,True,False
11,23,98.90642466276884,interceptor,intercepted_before_small_circle,detour,28,intruder,entered_big_circle,-122.59069681644439,True,False
12,27,98.31792652994396,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-120.60297218561172,True,False
13,33,97.30757912278176,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-121.39215056419373,True,False
14,75,-146.50634693861008,intruder,entered_small_circle,attack,20,intruder,entered_big_circle,-124.91131283044815,False,False
15,123,-130.50126684844494,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-122.32751473546028,False,False
16,21,-121.71054894983769,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-124.25700062274933,False,False
17,18,-122.18186156988143,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-123.83247118234634,False,False
18,28,-122.45555312395096,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-127.01454226136208,False,False
19,23,-121.8253737601638,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-124.87006401896477,False,False
20,17,-122.47200078189373,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-123.9204393517971,False,False
21,18,-122.03996555149556,intruder,entered_big_circle,direct,356,intruder,entered_big_circle,-177.52080000281333,False,False
22,10,-121.05510800659656,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-121.42867384433747,False,False
23,84,94.4779287454486,interceptor,intercepted_before_small_circle,detour,14,intruder,entered_big_circle,-122.78335437178612,True,False
24,29,98.36056339114904,interceptor,intercepted_before_small_circle,detour,12,intruder,entered_big_circle,-121.21383128464223,True,False
25,42,96.33816638976336,interceptor,intercepted_before_small_circle,detour,30,intruder,entered_big_circle,-127.1667272078991,True,False
26,175,-121.31148556649686,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-121.78221289038657,False,False
27,18,-123.44192138433456,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-123.78295454502106,False,False
28,22,-125.059553232193,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-125.88830345511437,False,False
29,25,-125.84232591986655,intruder,entered_big_circle,direct,374,intruder,entered_big_circle,-178.03249491244554,False,False
30,16,-121.9097013682127,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-122.05678502321243,False,False
31,17,-123.1593637096882,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-123.33118685364724,False,False
32,30,-128.2866109585762,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-128.1880878186226,False,False
33,8,-121.11223848700524,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-121.27738382458686,False,False
34,87,-131.09843575447798,intruder,entered_small_circle,detour,27,intruder,entered_big_circle,-126.08984852790833,False,False
35,257,-149.63527768760918,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-124.91966908216476,False,False
36,21,-123.7906799197197,intruder,entered_big_circle,direct,352,intruder,entered_big_circle,-164.6930674111843,False,False
37,8,-120.86565702557564,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-120.91492567360402,False,False
38,6,-120.81763430833816,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-120.86515962481499,False,False
