episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,5,-100.72736431598663,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.75002469062805,False,False
1,10,-101.4911176288128,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.52593034148217,False,False
2,16,-102.6324617266655,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.74737436771393,False,False
3,11,-101.63233599066734,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.48024275898933,False,False
4,30,-105.8146547102928,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-104.1919790172577,False,False
5,30,-104.4844121479988,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-104.18611505270005,False,False
6,5,-100.58891464710236,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.57222754001617,False,False
7,13,-102.05941187262536,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.90812258839607,False,False
8,16,-103.18180141448974,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-103.02695615291596,False,False
9,18,-102.22229824781418,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-101.86024765491486,False,False
10,254,-125.10958492934704,intruder,active_collision,attack,36,interceptor,intercepted_before_small_circle,97.70902812480927,False,True
11,50,-102.61381460070608,intruder,active_collision,attack,34,interceptor,intercepted_before_small_circle,98.36420910775662,False,True
12,22,-102.4244639790058,intruder,entered_big_circle,direct,32,interceptor,intercepted_before_small_circle,98.37740521669387,False,True
13,8,-101.34252495288848,intruder,entered_big_circle,direct,124,intruder,active_collision,-105.66736355155706,False,False
14,20,-103.1290635371208,intruder,entered_big_circle,direct,112,intruder,entered_big_circle,-107.26846537053585,False,False
15,13,-101.85798003196716,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-102.2987093281746,False,False
16,21,-102.716383177042,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-102.47688234448432,False,False
17,18,-102.91476716518402,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-103.6660061788559,False,False
18,28,-103.7927655351162,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-106.67478228926659,False,False
19,23,-103.26419159293177,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-104.924016405344,False,False
20,17,-102.8360269343853,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-102.69554138541221,False,False
21,43,96.4793952408433,interceptor,intercepted_before_small_circle,detour,18,intruder,entered_big_circle,-103.44924795746803,True,False
22,44,97.11312980175018,interceptor,intercepted_before_small_circle,detour,108,interceptor,intercepted_before_small_circle,94.8709165903926,True,True
23,46,95.6412312924862,interceptor,intercepted_before_small_circle,detour,61,interceptor,intercepted_before_small_circle,94.15728610605002,True,True
24,38,98.28179426074028,interceptor,intercepted_before_small_circle,detour,74,intruder,active_collision,-105.87993104636669,True,False
25,55,-105.40527925431728,intruder,active_collision,attack,80,intruder,active_collision,-104.20464542299509,False,False
26,88,-105.70290193378924,intruder,active_collision,attack,9,intruder,entered_big_circle,-101.62592398405076,False,False
27,18,-102.57442640185356,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-104.01138327240943,False,False
28,22,-103.61369835495948,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-103.59350492119789,False,False
29,25,-104.22529224395753,intruder,entered_big_circle,direct,25,intruder,entered_big_circle,-106.51432259321213,False,False
30,16,-101.96373725533483,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.25201376080513,False,False
31,17,-102.57822797060012,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-103.13166060209274,False,False
32,30,-104.72547463417054,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-105.98696742296218,False,False
33,8,-101.12151569843292,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-101.0718495798111,False,False
34,27,-103.58200179100037,intruder,entered_big_circle,direct,271,intruder,active_collision,-141.61967965960503,False,False
35,44,96.34084597200156,interceptor,intercepted_before_small_circle,detour,66,intruder,entered_small_circle,-109.05090448111295,True,False
36,41,96.85572625845673,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-104.43060775399208,True,False
37,33,98.09917324364186,interceptor,intercepted_before_small_circle,detour,8,intruder,entered_big_circle,-101.02034577846527,True,False
38,39,96.97906945168972,interceptor,intercepted_before_small_circle,detour,6,intruder,entered_big_circle,-100.9276134967804,True,False
39,52,-104.45133461266757,intruder,active_collision,attack,23,intruder,entered_big_circle,-103.67126273036003,False,False
40,85,-104.72058097958563,intruder,active_collision,attack,31,intruder,entered_big_circle,-107.18441447019578,False,False
41,41,-104.46660717129708,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-103.48932681798935,False,False
42,9,-101.25478446960447,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-101.23946251153946,False,False
43,31,-104.15981847643852,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-106.9707257926464,False,False
44,6,-100.87611621022224,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.86645160317421,False,False
45,15,-102.04858615636826,intruder,entered_big_circle,direct,90,interceptor,intercepted_before_small_circle,92.70033945053817,False,True
46,15,-101.99218277573586,intruder,entered_big_circle,direct,155,intruder,active_collision,-111.92289183825254,False,False
47,12,-101.64692660331724,intruder,entered_big_circle,direct,77,intruder,entered_big_circle,-111.68899385690689,False,False
48,20,-102.1206863427162,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-103.79169965028763,False,False
49,7,-101.14408327102662,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-101.17132025718689,False,False
50,18,-102.70126430511476,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-103.1453258228302,False,False
51,24,-103.91888917565346,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-105.18651449561119,False,False
52,37,97.13131878465414,interceptor,intercepted_before_small_circle,detour,16,intruder,entered_big_circle,-102.7613423705101,True,False
