episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
7,191,direct,detour,detour,0.28546804189682007,0.0,detour,0.03058827482163906,0.28500664234161377,0.2544183675199747
7,256,detour,direct,detour,1.0046288967132568,0.0,direct,0.7008341550827026,1.0059846639633179,0.30515050888061523
7,316,direct,detour,detour,0.4763878881931305,0.0,detour,0.15526464581489563,0.45037907361984253,0.2951144278049469
8,464,detour,attack,attack,0.4695742130279541,0.0,attack,0.23819595575332642,0.48895886540412903,0.2507629096508026
28,1198,attack,detour,detour,0.4635354280471802,0.0,detour,0.17938660085201263,0.4525281488895416,0.273141548037529
28,1274,detour,direct,detour,0.9411912560462952,0.0,direct,0.6349573731422424,0.9694046378135681,0.3344472646713257
29,1378,direct,attack,attack,0.28712427616119385,0.0,attack,0.031757671386003494,0.32359689474105835,0.29183922335505486
43,2093,attack,detour,detour,0.2629365622997284,0.0,detour,0.026895109564065933,0.2786180377006531,0.25172292813658714
43,2170,detour,direct,detour,0.7850629687309265,0.0,direct,0.3520071506500244,0.7459272146224976,0.39392006397247314
43,2230,direct,detour,detour,0.564984917640686,0.0,detour,0.27307024598121643,0.5587695240974426,0.2856992781162262
47,2426,detour,direct,direct,0.364620566368103,0.0,direct,0.05231672152876854,0.3424805700778961,0.2901638485491276
54,2585,direct,detour,detour,0.29836639761924744,0.0,detour,0.05280963331460953,0.3681398630142212,0.31533022969961166
54,2653,detour,attack,detour,0.37704452872276306,0.0,attack,0.16878409683704376,0.4303881824016571,0.26160408556461334
64,3166,attack,direct,detour,0.7242451906204224,0.0,direct,0.41963642835617065,0.686217725276947,0.26658129692077637
64,3226,direct,detour,attack,0.4763074517250061,0.0,detour,0.08288715779781342,0.4195704460144043,0.3366832882165909
64,3302,detour,attack,attack,0.787624716758728,0.0,attack,0.4554522633552551,0.7818087339401245,0.3263564705848694
82,4137,attack,detour,detour,0.5345546007156372,0.0,detour,0.17633917927742004,0.5139055848121643,0.33756640553474426
83,4217,detour,direct,attack,0.42028045654296875,0.0,direct,0.0560465008020401,0.40272653102874756,0.34668003022670746
83,4295,direct,detour,attack,0.43830934166908264,0.0,detour,0.036249615252017975,0.38388246297836304,0.34763284772634506
89,4405,detour,direct,direct,0.25427237153053284,0.0,direct,0.011605232954025269,0.2659274637699127,0.25432223081588745
92,4534,direct,attack,detour,0.31671401858329773,0.0,attack,0.06828590482473373,0.3244677186012268,0.2561818137764931
93,4609,attack,direct,detour,0.8353304862976074,0.0,direct,0.4883434772491455,0.8436212539672852,0.35527777671813965
93,4669,direct,detour,attack,0.5017074346542358,0.0,detour,0.19804647564888,0.512466311454773,0.31441983580589294
94,4800,detour,direct,direct,0.7501168847084045,0.0,direct,0.30658918619155884,0.7409252524375916,0.4343360662460327
103,5026,direct,attack,detour,0.31943410634994507,0.0,attack,0.03453944995999336,0.35210952162742615,0.3175700716674328
104,5280,attack,direct,direct,0.622713565826416,0.0,direct,0.23710186779499054,0.5806061029434204,0.34350423514842987
112,5461,direct,detour,detour,0.27560219168663025,0.0,detour,0.024035194888710976,0.31104350090026855,0.2870083060115576
113,5550,detour,attack,detour,0.5539268851280212,0.0,attack,0.23342588543891907,0.5185691118240356,0.2851432263851166
115,5760,attack,direct,direct,0.5405197143554688,0.0,direct,0.2790272533893585,0.5573383569717407,0.2783111035823822
127,5949,direct,detour,detour,0.31927865743637085,0.0,detour,0.021695928648114204,0.33891844749450684,0.31722251884639263
130,6117,detour,direct,attack,0.3790878653526306,0.0,direct,0.09389439225196838,0.36962205171585083,0.27572765946388245
140,6402,direct,detour,detour,0.3123290538787842,0.0,detour,0.030199745669960976,0.33538779616355896,0.305188050493598
142,6532,detour,direct,detour,0.9285138845443726,0.0,direct,0.5288170576095581,0.9205796718597412,0.3917626142501831
143,6634,direct,attack,attack,0.2729802131652832,0.0,attack,0.012410636059939861,0.280889630317688,0.2684789942577481
152,6950,attack,direct,detour,0.9469764828681946,0.0,direct,0.5514006614685059,0.904399037361145,0.35299837589263916
152,7010,direct,detour,detour,0.5068076848983765,0.0,detour,0.2115476131439209,0.5006624460220337,0.2891148328781128
153,7108,detour,direct,attack,0.3567928969860077,0.0,direct,0.08456020802259445,0.3600279688835144,0.27546776086091995
153,7170,direct,detour,attack,0.4506677985191345,0.0,detour,0.08192457258701324,0.41709136962890625,0.335166797041893
158,7265,detour,direct,direct,0.39589738845825195,0.0,direct,0.12720385193824768,0.3804018497467041,0.2531979978084564
164,7441,direct,attack,detour,0.30465108156204224,0.0,attack,0.07551555335521698,0.34301406145095825,0.26749850809574127
166,7680,attack,direct,direct,0.9218670725822449,0.0,direct,0.3502637445926666,0.9472762942314148,0.5970125496387482
175,7901,direct,attack,detour,0.31571081280708313,0.0,attack,0.05538279190659523,0.3244701325893402,0.269087340682745
182,8389,attack,direct,detour,0.8256247639656067,0.0,direct,0.5760442614555359,0.8305672407150269,0.25452297925949097
182,8449,direct,detour,detour,0.3566485345363617,0.0,detour,0.08133631944656372,0.3660387396812439,0.2847024202346802
183,8515,detour,direct,attack,0.3370676636695862,0.0,direct,0.05963313579559326,0.3808478116989136,0.3212146759033203
183,8578,direct,attack,attack,0.4432465434074402,0.0,attack,0.09090390801429749,0.3976956605911255,0.306791752576828
194,8857,attack,direct,detour,0.7906287908554077,0.0,direct,0.47219064831733704,0.7827680110931396,0.3105773627758026
194,8917,direct,detour,detour,0.33763906359672546,0.0,detour,0.09388706088066101,0.35043033957481384,0.25654327869415283
195,9052,detour,direct,attack,0.3332470655441284,0.0,direct,0.07601860165596008,0.37060025334358215,0.29458165168762207
205,9291,direct,detour,detour,0.2848489284515381,0.0,detour,0.007594798691570759,0.2748397886753082,0.26724498998373747
205,9367,detour,direct,detour,0.8034104108810425,0.0,direct,0.5373218059539795,0.8152607083320618,0.2779389023780823
205,9428,direct,detour,detour,0.3927198648452759,0.0,detour,0.09822982549667358,0.3829652667045593,0.28473544120788574
207,9577,detour,attack,attack,0.35089924931526184,0.0,attack,0.0393393449485302,0.3650020658969879,0.3256627209484577
217,9885,attack,direct,detour,0.8810126781463623,0.0,direct,0.609305202960968,0.8923187851905823,0.28301358222961426
217,9945,direct,attack,attack,0.3741925358772278,0.0,attack,0.09894053637981415,0.39452236890792847,0.2955818325281143
229,10353,attack,detour,detour,0.49380892515182495,0.0,detour,0.21487663686275482,0.47626417875289917,0.26138754189014435
230,10458,detour,direct,attack,0.33436235785484314,0.0,direct,0.05795557424426079,0.3397934138774872,0.2818378396332264
241,10721,direct,detour,detour,0.28776273131370544,0.0,detour,0.026886306703090668,0.28768736124038696,0.2608010545372963
242,10830,detour,direct,detour,1.007627248764038,0.0,direct,0.6421599388122559,0.9910465478897095,0.3488866090774536
242,10891,direct,detour,attack,0.4761675000190735,0.0,detour,0.15131975710391998,0.4432777166366577,0.29195795953273773
243,10992,detour,attack,attack,0.28498804569244385,0.0,attack,0.04142986983060837,0.30067867040634155,0.2592488005757332
263,11729,attack,direct,detour,0.8754374980926514,0.0,direct,0.6354151964187622,0.8949499130249023,0.25953471660614014
263,11789,direct,detour,detour,0.39763012528419495,0.0,detour,0.08641665428876877,0.4442153871059418,0.357798732817173
264,11879,detour,attack,attack,0.2632726728916168,0.0,attack,0.01344267837703228,0.2677425146102905,0.25429983623325825
277,12224,attack,detour,detour,0.37843453884124756,0.0,detour,0.16778652369976044,0.43228021264076233,0.2644936889410019
277,12292,detour,direct,detour,0.9763203859329224,0.0,direct,0.66115802526474,1.01143217086792,0.35027414560317993
287,12650,direct,detour,detour,0.2868534028530121,0.0,detour,0.0030487722251564264,0.30773642659187317,0.30468765436671674
288,12770,detour,attack,detour,0.4352409541606903,0.0,attack,0.1705802083015442,0.4212697148323059,0.2506895065307617
288,12862,attack,detour,attack,0.7832563519477844,0.0,detour,0.5539066195487976,0.8244510293006897,0.2705444097518921
289,12960,detour,direct,direct,0.867141604423523,0.0,direct,0.5739027261734009,0.8376946449279785,0.26379191875457764
