episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
7,183,direct,detour,detour,0.3089178800582886,0.0,detour,0.04979059845209122,0.29373466968536377,0.24394407123327255
7,347,detour,attack,attack,0.20128588378429413,0.0,attack,0.023247292265295982,0.2739933133125305,0.25074602104723454
7,480,attack,detour,direct,0.48321759700775146,0.0,detour,0.2875817120075226,0.48943763971328735,0.20185592770576477
9,531,detour,attack,direct,0.37147700786590576,0.0,attack,0.017855051904916763,0.36192119121551514,0.3440661393105984
14,657,attack,detour,detour,0.2347623109817505,0.0,detour,0.011676887050271034,0.21365085244178772,0.20197396539151669
14,714,detour,direct,detour,0.807712197303772,0.0,direct,0.6364718675613403,0.8575169444084167,0.22104507684707642
14,756,direct,detour,detour,0.45860373973846436,0.0,detour,0.12786448001861572,0.38893866539001465,0.2610741853713989
15,893,detour,attack,attack,0.505905270576477,0.0,attack,0.05292917415499687,0.47167980670928955,0.4187506325542927
26,1126,attack,detour,detour,0.33654963970184326,0.0,detour,0.043295323848724365,0.321786493062973,0.27849116921424866
28,1349,detour,attack,attack,0.451943963766098,0.0,attack,0.31405752897262573,0.5258183479309082,0.21176081895828247
28,1440,attack,direct,direct,0.8019899725914001,0.0,direct,0.20435196161270142,0.7529984712600708,0.5486465096473694
34,1630,direct,detour,detour,0.2999308705329895,0.0,detour,0.0314808152616024,0.27082860469818115,0.23934778943657875
34,1778,detour,attack,attack,0.4229350984096527,0.0,attack,0.13265520334243774,0.45115184783935547,0.3184966444969177
34,1920,attack,detour,direct,0.5456179976463318,0.0,detour,0.3083837032318115,0.5177407264709473,0.20935702323913574
35,1966,detour,direct,direct,0.24412724375724792,0.0,direct,0.007672703824937344,0.22091883420944214,0.2132461303845048
42,2142,direct,detour,detour,0.2872464060783386,0.0,detour,0.01710081659257412,0.2817085087299347,0.2646076921373606
43,2317,detour,attack,attack,0.38842880725860596,0.0,attack,0.037129390984773636,0.29765430092811584,0.2605249099433422
54,2577,attack,detour,detour,0.24095235764980316,0.0,detour,0.014541557990014553,0.22351351380348206,0.2089719558134675
55,2720,detour,attack,attack,0.28557121753692627,0.0,attack,0.047525111585855484,0.2668558359146118,0.21933072432875633
55,2880,attack,direct,direct,0.5440207719802856,0.0,direct,0.15103840827941895,0.5231574773788452,0.37211906909942627
62,3041,direct,detour,detour,0.2938212752342224,0.0,detour,0.055157843977212906,0.2813411355018616,0.22618329152464867
62,3158,detour,direct,detour,0.9388132095336914,0.0,direct,0.6998434662818909,0.9328613877296448,0.2330179214477539
62,3200,direct,detour,attack,0.23321717977523804,0.0,detour,0.05080922320485115,0.25983092188835144,0.2090216986835003
62,3246,detour,attack,attack,0.4023553431034088,0.0,attack,0.14079909026622772,0.4367091953754425,0.2959101051092148
62,3361,attack,detour,direct,0.5335749983787537,0.0,detour,0.20140914618968964,0.41198140382766724,0.2105722576379776
65,3421,detour,attack,direct,0.2090342491865158,0.0,attack,0.02597639337182045,0.2298591136932373,0.20388272032141685
71,3539,attack,detour,detour,0.2057725340127945,0.0,detour,0.02200249582529068,0.2537917196750641,0.2317892238497734
71,3626,detour,attack,detour,1.1589690446853638,0.0,attack,0.8672934770584106,1.1337140798568726,0.2664206027984619
71,3675,attack,detour,detour,0.40911930799484253,0.0,detour,0.21506991982460022,0.4171392023563385,0.20206928253173828
72,3805,detour,direct,attack,0.21397078037261963,0.0,direct,0.00889684446156025,0.23939257860183716,0.2304957341402769
81,4008,direct,detour,detour,0.3589331805706024,0.0,detour,0.004062410909682512,0.34673261642456055,0.34267020551487803
82,4114,detour,direct,detour,0.5637727975845337,0.0,direct,0.3622143566608429,0.5625138878822327,0.20029953122138977
82,4154,direct,attack,detour,0.5036605000495911,0.0,attack,0.0876823216676712,0.4601365327835083,0.3724542111158371
82,4252,attack,detour,attack,0.3359622359275818,0.0,detour,0.0950295701622963,0.3085419833660126,0.21351241320371628
84,4321,detour,attack,direct,0.4055144190788269,0.0,attack,0.03705476224422455,0.38288912177085876,0.3458343595266342
92,4500,attack,detour,detour,0.33382314443588257,0.0,detour,0.05843744054436684,0.302416056394577,0.2439786158502102
93,4674,detour,attack,attack,0.3471949100494385,0.0,attack,0.12271365523338318,0.36453160643577576,0.24181795120239258
93,4800,attack,detour,direct,0.6835454702377319,0.0,detour,0.3366144895553589,0.691319465637207,0.35470497608184814
94,4854,detour,attack,direct,0.17858941853046417,0.0,attack,0.03485400602221489,0.2444426417350769,0.20958863571286201
100,5018,attack,detour,detour,0.7468295693397522,0.0,detour,0.4177146553993225,0.8169355392456055,0.39922088384628296
100,5058,detour,direct,detour,0.9015583992004395,0.0,direct,0.6845852732658386,0.9148188829421997,0.23023360967636108
100,5100,direct,detour,detour,0.9190679788589478,0.0,detour,0.6584009528160095,0.9609655141830444,0.3025645613670349
100,5143,detour,attack,attack,0.5332714319229126,0.0,attack,0.24458467960357666,0.5410624742507935,0.2964777946472168
100,5280,attack,direct,direct,0.6600134968757629,0.0,direct,0.13255885243415833,0.6606904864311218,0.5281316339969635
107,5441,direct,detour,detour,0.28636202216148376,0.0,detour,0.04010362923145294,0.30678048729896545,0.2666768580675125
109,5622,detour,attack,attack,0.5527063608169556,0.0,attack,0.3138284385204315,0.5244492292404175,0.21062079071998596
119,5920,attack,detour,detour,0.3596385717391968,0.0,detour,0.06992335617542267,0.36399373412132263,0.29407037794589996
122,6167,detour,attack,attack,0.3170172870159149,0.0,attack,0.009947193786501884,0.27802950143814087,0.268082307651639
134,6403,attack,detour,detour,0.27825456857681274,0.0,detour,0.005972909741103649,0.29710090160369873,0.2911279918625951
134,6489,detour,direct,detour,0.9171090126037598,0.0,direct,0.7028763890266418,0.9236483573913574,0.22077196836471558
134,6529,direct,detour,detour,0.20987173914909363,0.0,detour,0.04490700736641884,0.25804799795150757,0.21314099058508873
