episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,11,-101.72959555387496,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.95353914499283,False,False
1,28,-103.95034514188768,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-106.1656646680832,False,False
2,21,-104.0907129406929,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-104.06564239263534,False,False
3,30,-107.0626783454418,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-105.72656067252159,False,False
4,29,-107.04620923876764,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-104.16693941235542,False,False
5,27,-103.93730042934418,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-105.25882392883301,False,False
6,12,-101.77398239731788,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-102.17077546477317,False,False
7,271,-136.79820851832625,intruder,active_collision,attack,320,intruder,active_collision,-154.02341521322728,False,False
8,51,-110.20075348764658,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.59652811288834,False,False
9,22,-104.87254966855048,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-104.11084515213966,False,False
10,13,-101.96084107279778,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.51448320269584,False,False
11,31,-104.7068243920803,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-107.66531648039818,False,False
12,11,-101.62302800416948,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.44473507404328,False,False
13,23,-103.25796947002412,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-104.13209419965744,False,False
14,11,-102.09994816184044,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.69961577057839,False,False
15,24,-103.37146322011948,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-103.78707821846008,False,False
16,10,-101.62070135116578,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.45079803705215,False,False
17,58,94.09688442379236,interceptor,intercepted_before_small_circle,detour,352,intruder,entered_big_circle,-153.08670020163058,True,False
18,71,96.92395700961352,interceptor,intercepted_before_small_circle,detour,21,intruder,entered_big_circle,-104.31025452613831,True,False
19,46,-104.21373971253634,intruder,active_collision,attack,25,intruder,entered_big_circle,-105.5109372997284,False,False
20,47,-103.74957068324088,intruder,active_collision,attack,5,intruder,entered_big_circle,-100.54871614217758,False,False
21,121,-113.8080448701978,intruder,entered_big_circle,direct,10,intruder,entered_big_circle,-101.05492540240287,False,False
22,17,-102.78819417715071,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-103.35607082605362,False,False
23,26,-103.95794726610184,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-105.07702143192292,False,False
24,11,-101.62278403043749,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.406491959095,False,False
25,11,-101.83530566692352,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-102.14964163303375,False,False
26,23,-103.63864196658136,intruder,entered_big_circle,direct,282,intruder,active_collision,-176.29983628302813,False,False
27,6,-100.85196391940116,intruder,entered_big_circle,direct,41,intruder,entered_big_circle,-108.62525420486926,False,False
28,27,-104.71589698553086,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-105.95077749252319,False,False
29,27,-106.55086548686027,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-104.69951532244683,False,False
30,249,-131.53819773674013,intruder,active_collision,attack,7,intruder,entered_big_circle,-101.08860566973686,False,False
31,75,-122.54967718958856,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-108.45921505689621,False,False
32,29,-107.010046916008,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-104.27588286280631,False,False
33,9,-101.26569757342338,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-101.31975581526757,False,False
34,24,-105.25182754278184,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-104.76555308580399,False,False
35,17,-103.66165573358536,intruder,entered_big_circle,direct,80,intruder,entered_small_circle,-117.85249582469463,False,False
36,28,-103.89682694792748,intruder,entered_big_circle,direct,264,intruder,entered_big_circle,-147.0456884908676,False,False
37,13,-101.35995579481124,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.84152767181396,False,False
38,7,-100.9322542822361,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-101.08612646222115,False,False
39,24,-105.15311415672302,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-105.39295068264008,False,False
40,106,88.55175329744814,interceptor,intercepted_before_small_circle,detour,16,intruder,entered_big_circle,-102.87819140553475,True,False
41,60,94.52680140346288,interceptor,intercepted_before_small_circle,detour,26,intruder,entered_big_circle,-106.12919955253601,True,False
42,163,-123.93539478302004,intruder,entered_big_circle,direct,19,intruder,entered_big_circle,-103.44763280630112,False,False
43,28,-105.0772891175747,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-107.8189409148693,False,False
44,10,-101.54263174176216,intruder,entered_big_circle,direct,366,intruder,entered_big_circle,-167.10719807446003,False,False
45,9,-101.3202106165886,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-101.34844328641891,False,False
46,8,-101.4064226937294,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-101.26284006357193,False,False
47,28,-106.44825341820716,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-103.81419034123421,False,False
48,22,-103.63496950030328,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-104.71021256804467,False,False
49,22,-104.32250293254852,intruder,entered_big_circle,direct,22,intruder,entered_big_circle,-103.04921619653702,False,False
50,13,-102.46267275333403,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-102.49684969902039,False,False
51,19,-104.2698232102394,intruder,entered_big_circle,direct,19,intruder,entered_big_circle,-102.67647035598755,False,False
52,338,-121.3089149464667,intruder,entered_big_circle,direct,342,intruder,entered_big_circle,-168.17596243828535,False,False
53,4,-100.4184595155716,intruder,entered_big_circle,direct,4,intruder,entered_big_circle,-100.42140510559082,False,False
54,24,-104.28266017317772,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-104.687112544775,False,False
55,7,-101.29238111138343,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-101.27900637745857,False,False
56,16,-103.34440025687218,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.8125488936901,False,False
57,23,-105.0100559604168,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-104.35834778666496,False,False
58,11,-101.85274763703346,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.61544533371925,False,False
59,7,-101.0329420542717,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-100.96293712615967,False,False
60,16,-102.80658531785012,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.72074976563454,False,False
61,16,-102.95840961933136,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.65195553302765,False,False
62,279,-156.47981730729336,intruder,active_collision,attack,399,intruder,entered_big_circle,-159.6103127154708,False,False
63,60,-106.95980939805509,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-102.20340890169143,False,False
64,8,-101.17024837255478,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-101.033789665699,False,False
65,26,-105.09597201347351,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-105.15369124412537,False,False
66,5,-100.78669263362885,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.79486986637116,False,False
67,12,-101.86869950652122,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-101.96206653475761,False,False
68,27,-105.88230064868928,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-106.15788618087768,False,False
69,12,-101.75621673822404,intruder,entered_big_circle,direct,351,intruder,entered_big_circle,-156.09532315433023,False,False
70,32,-107.9261458671093,intruder,entered_big_circle,direct,32,intruder,entered_big_circle,-103.56264623761177,False,False
71,27,-106.20372783899307,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-105.14253668546677,False,False
72,150,-109.32751484155654,intruder,entered_small_circle,detour,22,intruder,entered_big_circle,-104.24274219036103,False,False
73,236,-125.19791430532936,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-102.3040198457241,False,False
74,13,-102.38810783147812,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.84425519227982,False,False
75,17,-102.38618671655657,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-103.06217038393021,False,False
76,28,-105.15021506667136,intruder,entered_big_circle,direct,368,intruder,entered_big_circle,-163.33502448916434,False,False
77,13,-102.0146579515934,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-102.37000821948051,False,False
78,29,-105.869557492733,intruder,entered_big_circle,direct,29,intruder,entered_big_circle,-105.93521994829177,False,False
79,237,-132.8139306461811,intruder,active_collision,attack,21,intruder,entered_big_circle,-104.15925095677376,False,False
80,88,-114.7770248812437,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.46310223937034,False,False
81,19,-103.99923472881318,intruder,entered_big_circle,direct,19,intruder,entered_big_circle,-103.95725548744201,False,False
82,25,-105.1786675298214,intruder,entered_big_circle,direct,288,intruder,active_collision,-168.1228177320957,False,False
83,18,-102.89954671382904,intruder,entered_big_circle,direct,56,intruder,entered_big_circle,-112.77523386627436,False,False
84,16,-103.309891974926,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.66221017837525,False,False
85,23,-103.44610070109368,intruder,entered_big_circle,direct,23,intruder,entered_big_circle,-103.79229641079903,False,False
86,15,-102.44016472339632,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.53877755641938,False,False
87,5,-100.70823464632036,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.63232778549194,False,False
88,30,-105.6586548948288,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-107.49625112056732,False,False
89,91,88.19472280442714,interceptor,intercepted_before_small_circle,detour,31,intruder,entered_big_circle,-106.94581589698791,True,False
90,241,-111.97150386422874,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.20249854922295,False,False
91,18,-102.77058051347731,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-103.71984600543976,False,False
92,17,-102.59529366254806,intruder,entered_big_circle,direct,351,intruder,entered_big_circle,-158.94024618566036,False,False
93,17,-102.97856977939604,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-102.55720557928085,False,False
94,27,-104.52620765924452,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-104.51603395700455,False,False
95,5,-100.7773810827732,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.73447208046913,False,False
96,16,-102.61754408478735,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.9914124071598,False,False
97,28,-105.63755639910698,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-104.37992860198021,False,False
98,13,-102.21142732024192,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.89505245804787,False,False
99,15,-103.01529725432395,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.37842448592185,False,False
100,367,-132.98269883304823,intruder,entered_big_circle,direct,394,intruder,entered_big_circle,-160.7345431882143,False,False
101,5,-100.7677242422104,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.74681562423706,False,False
102,31,-105.15066277980804,intruder,entered_big_circle,direct,31,intruder,entered_big_circle,-106.04320105314255,False,False
103,27,-107.34132613897324,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-106.28635728120804,False,False
104,28,-106.8121785056591,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-105.70259136080742,False,False
105,5,-100.52694977760316,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.58632595777512,False,False
106,5,-100.7145117008686,intruder,entered_big_circle,direct,337,intruder,entered_big_circle,-164.46592443794012,False,False
107,191,-136.54744948744772,intruder,active_collision,attack,25,intruder,entered_big_circle,-104.5874932551384,False,False
108,83,-105.6803452593088,intruder,active_collision,attack,12,intruder,entered_big_circle,-102.00287367463112,False,False
109,59,-107.80558542788027,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-103.72598337769509,False,False
110,5,-100.57165884613993,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.58988105893135,False,False
111,24,-104.03921277999878,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-105.30450144290924,False,False
112,16,-102.5269623875618,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-103.21690493822098,False,False
113,20,-103.44543818473817,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-104.07963463306427,False,False
114,24,-104.14275145411492,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-105.65675672173501,False,False
115,27,-105.86784469246864,intruder,entered_big_circle,direct,287,intruder,active_collision,-179.9551680406928,False,False
116,18,-103.18156339645384,intruder,entered_big_circle,direct,34,intruder,entered_big_circle,-107.88495655834674,False,False
117,8,-101.15827169537545,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-101.16425521492958,False,False
118,15,-101.82945793509484,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.23253354668617,False,False
119,56,95.39861965626478,interceptor,intercepted_before_small_circle,detour,13,intruder,entered_big_circle,-102.51453065991402,True,False
120,40,97.67249868422746,interceptor,intercepted_before_small_circle,detour,24,intruder,entered_big_circle,-103.90008162140846,True,False
121,227,-110.65478527307512,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-101.78013737797737,False,False
122,8,-101.06598671197892,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-100.97122871398926,False,False
123,11,-101.70859678983688,intruder,entered_big_circle,direct,11,intruder,entered_big_circle,-101.35430307388306,False,False
124,7,-100.99791337609292,intruder,entered_big_circle,direct,7,intruder,entered_big_circle,-100.97426151394843,False,False
125,26,-104.60480203032492,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-102.87862743139267,False,False
126,5,-100.67165428638458,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.6926119709015,False,False
127,17,-103.3999863243103,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-103.34871536254883,False,False
128,4,-100.50986713647842,intruder,entered_big_circle,direct,4,intruder,entered_big_circle,-100.49156140565873,False,False
129,29,-104.74681420207024,intruder,entered_big_circle,direct,351,intruder,entered_big_circle,-174.77375192940235,False,False
130,5,-100.50006413698196,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.46078821659088,False,False
131,19,-102.87515800476076,intruder,entered_big_circle,direct,19,intruder,entered_big_circle,-103.61339343070983,False,False
132,166,88.86120379567144,interceptor,intercepted_before_small_circle,detour,29,intruder,entered_big_circle,-106.24217820644378,True,False
133,84,-106.4483923214674,intruder,active_collision,attack,5,intruder,entered_big_circle,-100.66217830419541,False,False
134,115,-112.83321572482588,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-101.87162863969803,False,False
135,25,-105.0154167854786,intruder,entered_big_circle,direct,25,intruder,entered_big_circle,-103.66559027075768,False,False
136,26,-105.83016877770424,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-105.74878547787667,False,False
137,18,-103.33601193547248,intruder,entered_big_circle,direct,69,intruder,entered_small_circle,-109.0958122420311,False,False
138,23,-104.91483773708345,intruder,entered_big_circle,direct,304,intruder,entered_big_circle,-140.7164196896553,False,False
139,21,-103.96839820742608,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-104.07644862532615,False,False
140,30,-106.96075456380844,intruder,entered_big_circle,direct,30,intruder,entered_big_circle,-107.84396350622177,False,False
141,366,-150.4611891344189,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-101.48127909183502,False,False
