episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
10,225,direct,detour,detour,0.4644109606742859,0.0,detour,0.10942481458187103,0.44754642248153687,0.33812160789966583
13,401,detour,direct,attack,0.42149433493614197,0.0,direct,0.040361449122428894,0.424174964427948,0.3838135153055191
24,726,direct,attack,detour,0.9980169534683228,0.0,attack,0.8695617914199829,1.127954363822937,0.2583925724029541
24,885,attack,detour,attack,0.363033652305603,0.0,detour,0.0506114698946476,0.3456451892852783,0.2950337193906307
26,972,detour,direct,direct,0.41300633549690247,0.0,direct,0.08756602555513382,0.4152422547340393,0.3276762291789055
33,1200,direct,detour,detour,0.29269713163375854,0.0,detour,0.07319267094135284,0.33005088567733765,0.2568582147359848
36,1370,detour,attack,attack,0.37277185916900635,0.0,attack,0.03630676865577698,0.32440173625946045,0.28809496760368347
45,1806,attack,detour,attack,0.4801263213157654,0.0,detour,0.1627064049243927,0.4327497184276581,0.2700433135032654
45,1887,detour,direct,attack,0.3619236648082733,0.0,direct,0.1672869324684143,0.41879144310951233,0.251504510641098
53,2129,direct,attack,detour,0.5282747745513916,0.0,attack,0.29209452867507935,0.575141191482544,0.2830466628074646
55,2381,attack,detour,attack,0.4775967597961426,0.0,detour,0.21931344270706177,0.4891413450241089,0.2698279023170471
60,2473,detour,direct,direct,0.3779420554637909,0.0,direct,0.026457954198122025,0.37540489435195923,0.3489469401538372
64,2603,direct,attack,detour,0.32055890560150146,0.0,attack,0.03757520392537117,0.3127373456954956,0.27516214177012444
64,2752,attack,detour,attack,0.40284067392349243,0.0,detour,0.17067761719226837,0.44096285104751587,0.2702852338552475
64,2834,detour,attack,attack,0.32898789644241333,0.0,attack,0.029001127928495407,0.2893279790878296,0.2603268511593342
76,3109,attack,detour,detour,0.37783193588256836,0.0,detour,0.10691869258880615,0.3732856512069702,0.26636695861816406
77,3244,detour,attack,attack,0.6118645071983337,0.0,attack,0.24584980309009552,0.6577763557434082,0.4119265526533127
77,3324,attack,detour,attack,1.1117666959762573,0.0,detour,0.8374776840209961,1.1241286993026733,0.28665101528167725
83,3435,detour,direct,direct,0.3828478753566742,0.0,direct,0.08088529109954834,0.37396928668022156,0.2930839955806732
86,3563,direct,detour,detour,0.2102842926979065,0.0,detour,0.00510584469884634,0.2555454671382904,0.25043962243944407
90,3763,detour,attack,attack,0.3254983425140381,0.0,attack,0.04363228380680084,0.33372199535369873,0.2900897115468979
120,5036,attack,detour,detour,0.46266812086105347,0.0,detour,0.1813633292913437,0.45292025804519653,0.27155692875385284
125,5281,detour,direct,direct,0.40234681963920593,0.0,direct,0.09234072268009186,0.4189808964729309,0.32664017379283905
133,5502,direct,detour,detour,0.43830251693725586,0.0,detour,0.14687791466712952,0.44644418358802795,0.29956626892089844
135,5728,detour,direct,attack,0.3788520395755768,0.0,direct,0.1021246537566185,0.3868182897567749,0.2846936360001564
144,5967,direct,detour,detour,0.30212169885635376,0.0,detour,0.08841954171657562,0.3628978729248047,0.27447833120822906
147,6124,detour,attack,attack,0.4158809185028076,0.0,attack,0.15236833691596985,0.40360209345817566,0.2512337565422058
