episode,global_step,episode_step,reward,intruder_policy,winner,reason
0,1,1,-0.20425755739212037,direct,,running
0,2,2,-0.2016886627674103,direct,,running
0,3,3,-0.19459246158599855,direct,,running
0,4,4,-0.19210729956626896,direct,,running
0,5,5,-0.18970644235610964,direct,,running
0,6,6,-0.1826253092288971,direct,,running
0,7,7,-0.1803246593475342,direct,,running
0,8,8,-0.17723720431327822,direct,,running
0,9,9,-0.17494652032852176,direct,,running
0,10,10,-0.17184988617897037,direct,,running
0,11,11,-0.16956988334655765,direct,,running
0,12,12,-0.16250727534294132,direct,,running
0,13,13,-0.1593871569633484,direct,,running
0,14,14,-0.1523128187656403,direct,,running
0,15,15,-0.15007755517959598,direct,,running
0,16,16,-100.0,direct,intruder,entered_big_circle
1,17,1,-0.22132124066352848,direct,,running
1,18,2,-0.21926435589790344,direct,,running
1,19,3,-0.21727591514587402,direct,,running
1,20,4,-0.21386474132537844,direct,,running
1,21,5,-0.21052141547203065,direct,,running
1,22,6,-0.20846514463424684,direct,,running
1,23,7,-0.21011337995529178,direct,,running
1,24,8,-0.20306557774543765,direct,,running
1,25,9,-0.20108388423919682,direct,,running
1,26,10,-0.19766603469848631,direct,,running
1,27,11,-0.19432173132896424,direct,,running
1,28,12,-0.1959805941581726,direct,,running
1,29,13,-0.19764103055000307,direct,,running
1,30,14,-0.19439633846282958,direct,,running
1,31,15,-0.19123332858085632,direct,,running
1,32,16,-0.18899941205978396,direct,,running
1,33,17,-0.18684193253517153,direct,,running
1,34,18,-0.17978139877319338,direct,,running
1,35,19,-0.17771520972251895,direct,,running
1,36,20,-0.17573487520217898,direct,,running
1,37,21,-0.16870473980903627,direct,,running
1,38,22,-0.17033821105957034,direct,,running
1,39,23,-0.16691601634025577,direct,,running
1,40,24,-0.16856450796127323,direct,,running
1,41,25,-0.16151644349098207,direct,,running
1,42,26,-100.0,direct,intruder,entered_big_circle
2,43,1,-0.23039929032325746,direct,,running
2,44,2,-0.22371309757232666,direct,,running
2,45,3,-0.21703849196434022,direct,,running
2,46,4,-0.21246974825859072,direct,,running
2,47,5,-0.20796445965766908,direct,,running
2,48,6,-0.20352667927742005,direct,,running
2,49,7,-0.19916072845458985,direct,,running
2,50,8,-0.1981407737731934,direct,,running
2,51,9,-0.19718006014823913,direct,,running
2,52,10,-0.19045912981033325,direct,,running
2,53,11,-0.1860073244571686,direct,,running
2,54,12,-0.17926872730255128,direct,,running
2,55,13,-0.1809438025951386,direct,,running
2,56,14,-0.18003439664840698,direct,,running
2,57,15,-0.17333810091018678,direct,,running
2,58,16,-0.17252806782722474,direct,,running
2,59,17,-0.17178994178771972,direct,,running
2,60,18,-0.17112541556358338,direct,,running
2,61,19,-100.0,direct,intruder,entered_big_circle
3,62,1,-0.219904819726944,direct,,running
3,63,2,-0.22152178645133974,direct,,running
3,64,3,-0.21800567865371706,direct,,running
3,65,4,-0.2196433460712433,direct,,running
3,66,5,-0.22128473281860356,direct,,running
3,67,6,-0.21937601923942568,direct,,running
3,68,7,-0.2159009432792664,direct,,running
3,69,8,-0.2088730013370514,direct,,running
3,70,9,-0.20547125697135923,direct,,running
3,71,10,-100.0,direct,intruder,entered_big_circle
4,72,1,-0.1835198855400086,direct,,running
4,73,2,-0.18010741233825683,direct,,running
4,74,3,-0.18178434729576115,direct,,running
4,75,4,-0.1784950947761536,direct,,running
4,76,5,-0.1714754438400269,direct,,running
4,77,6,-0.1731818234920502,direct,,running
4,78,7,-0.17489390134811403,direct,,running
4,79,8,-0.17661160588264468,direct,,running
4,80,9,-0.1783348894119263,direct,,running
4,81,10,-0.18006365656852724,direct,,running
4,82,11,-0.177922580242157,direct,,running
4,83,12,-0.17584618687629702,direct,,running
4,84,13,-0.17754234433174138,direct,,running
4,85,14,-0.17321978569030766,direct,,running
4,86,15,-0.17110913157463076,direct,,running
4,87,16,-100.0,direct,intruder,entered_big_circle
5,88,1,-0.20252597689628601,direct,,running
5,89,2,-0.2031522488594055,direct,,running
5,90,3,-0.20380803108215334,direct,,running
5,91,4,-0.2039653277397156,direct,,running
5,92,5,-0.19796039223670964,direct,,running
5,93,6,-0.19821238875389102,direct,,running
5,94,7,-0.19878618478775026,direct,,running
5,95,8,-100.0,direct,intruder,entered_big_circle
6,96,1,-0.17772055625915528,direct,,running
6,97,2,-0.1751098132133484,direct,,running
6,98,3,-0.17256858110427858,direct,,running
6,99,4,-0.17010008454322817,direct,,running
6,100,5,-0.16770768523216248,direct,,running
6,101,6,-0.16472260713577272,direct,,running
6,102,7,-0.16232065320014955,direct,,running
6,103,8,-0.16401556491851807,direct,,running
6,104,9,-0.1616844928264618,direct,,running
6,105,10,-0.15863064885139466,direct,,running
6,106,11,-0.1515494441986084,direct,,running
6,107,12,-0.15324682354927063,direct,,running
6,108,13,-0.15494571685791017,direct,,running
6,109,14,-0.14786422610282898,direct,,running
6,110,15,-0.14078274130821228,direct,,running
6,111,16,-0.13842890024185184,direct,,running
6,112,17,-0.13135048508644104,direct,,running
6,113,18,-100.0,direct,intruder,entered_big_circle
7,114,1,-0.18437968850135805,direct,,running
7,115,2,-0.18608482837677004,direct,,running
7,116,3,-0.18346262335777286,direct,,running
7,117,4,-0.17637443304061892,direct,,running
7,118,5,-0.17360152363777162,direct,,running
7,119,6,-100.0,direct,intruder,entered_big_circle
8,120,1,-0.23361364364624027,direct,,running
8,121,2,-0.22973242163658142,direct,,running
8,122,3,-0.22821457147598267,direct,,running
8,123,4,-0.2212885296344757,direct,,running
8,124,5,-0.2173880434036255,direct,,running
8,125,6,-0.21589012503623967,direct,,running
8,126,7,-0.20897099733352664,direct,,running
8,127,8,-0.2075632190704346,direct,,running
8,128,9,-0.2090649700164795,direct,,running
8,129,10,-0.2050935482978821,direct,,running
8,130,11,-0.19817623257637026,direct,,running
8,131,12,-0.1996954298019409,direct,,running
8,132,13,-0.19277909159660342,direct,,running
8,133,14,-0.1913845992088318,direct,,running
8,134,15,-0.184502569437027,direct,,running
8,135,16,-0.1776309108734131,direct,,running
8,136,17,-0.1707707679271698,direct,,running
8,137,18,-0.16668771862983706,direct,,running
8,138,19,-0.15981005787849428,direct,,running
8,139,20,-0.15577364325523377,direct,,running
8,140,21,-0.15182008504867556,direct,,running
8,141,22,-0.14489457964897157,direct,,running
8,142,23,-0.14100332021713258,direct,,running
8,143,24,-0.13405813336372377,direct,,running
8,144,25,-0.13258167266845705,direct,,running
8,145,26,-100.0,direct,intruder,entered_big_circle
9,146,1,-0.18151404023170475,direct,,running
9,147,2,-0.17995580196380617,direct,,running
9,148,3,-0.17847295165061955,direct,,running
9,149,4,-0.1799942946434021,direct,,running
9,150,5,-0.1785645878314972,direct,,running
9,151,6,-0.1772144651412964,direct,,running
9,152,7,-0.17316460371017459,direct,,running
9,153,8,-100.0,direct,intruder,entered_big_circle
