episode,ops_episode_len,ops_episode_reward,ops_winner,ops_reason,ops_final_intruder_policy,baseline_episode_len,baseline_winner,baseline_reason,baseline_episode_reward,ops_interceptor_win,baseline_interceptor_win
0,14,-101.83089828372002,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-102.01423879742623,False,False
1,28,-105.59740327119827,intruder,entered_big_circle,direct,28,intruder,entered_big_circle,-105.92110120773316,False,False
2,15,-102.545497276783,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.64799123048782,False,False
3,24,-103.24701368093493,intruder,entered_big_circle,direct,24,intruder,entered_big_circle,-104.39984828710556,False,False
4,5,-100.65210441589356,intruder,entered_big_circle,direct,5,intruder,entered_big_circle,-100.71573577165604,False,False
5,12,-101.67222398281098,intruder,entered_big_circle,direct,12,intruder,entered_big_circle,-101.9222763633728,False,False
6,8,-101.13604140400886,intruder,entered_big_circle,direct,8,intruder,entered_big_circle,-101.2555885207653,False,False
7,20,-103.87750354647636,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-104.17092021346092,False,False
8,13,-101.87396203398704,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-101.81360981583595,False,False
9,15,-102.16168897986412,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.25926957964897,False,False
10,53,95.41892151117324,interceptor,intercepted_before_small_circle,detour,282,intruder,active_collision,-132.56207900702952,True,False
11,50,95.6202658957243,interceptor,intercepted_before_small_circle,detour,44,intruder,entered_big_circle,-108.82807305932045,True,False
12,45,96.42006845831872,interceptor,intercepted_before_small_circle,detour,7,intruder,entered_big_circle,-100.97821935176849,True,False
13,211,-109.2597005367279,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-103.24521533489228,False,False
14,17,-102.93542338967325,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-103.03126592993736,False,False
15,15,-102.04153318047524,intruder,entered_big_circle,direct,15,intruder,entered_big_circle,-102.0785028541088,False,False
16,17,-102.33690416574478,intruder,entered_big_circle,direct,17,intruder,entered_big_circle,-102.72039787530899,False,False
17,14,-102.42543856978416,intruder,entered_big_circle,direct,14,intruder,entered_big_circle,-102.3688379752636,False,False
18,9,-101.37875400662422,intruder,entered_big_circle,direct,9,intruder,entered_big_circle,-101.26820593953133,False,False
19,20,-103.07627926707268,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-103.17549067378044,False,False
20,13,-101.85518639206886,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-102.04675958275794,False,False
21,6,-100.86622816324234,intruder,entered_big_circle,direct,6,intruder,entered_big_circle,-100.85841108560562,False,False
22,42,97.08303194880486,interceptor,intercepted_before_small_circle,detour,16,intruder,entered_big_circle,-102.137110465765,True,False
23,49,96.74596482485532,interceptor,intercepted_before_small_circle,detour,62,interceptor,intercepted_before_small_circle,95.17155342638493,True,True
24,46,96.4686135813594,interceptor,intercepted_before_small_circle,detour,145,intruder,active_collision,-103.35512775719165,True,False
25,76,-106.7951276987791,intruder,entered_small_circle,attack,129,intruder,entered_big_circle,-117.4084170269966,False,False
26,127,-124.47753619462252,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-103.79419519305229,False,False
27,26,-104.34150422811508,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-105.31090191602706,False,False
28,18,-102.25550631403922,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.08697382330894,False,False
29,21,-103.91378971338273,intruder,entered_big_circle,direct,21,intruder,entered_big_circle,-104.54215241670609,False,False
30,20,-103.72793499469758,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-104.26004518508911,False,False
31,16,-102.6240692615509,intruder,entered_big_circle,direct,16,intruder,entered_big_circle,-102.84911229610444,False,False
32,18,-102.54223925590516,intruder,entered_big_circle,direct,18,intruder,entered_big_circle,-102.4864677143097,False,False
33,12,-101.83631871700288,intruder,entered_big_circle,direct,263,intruder,active_collision,-142.05110566735266,False,False
34,15,-102.72165515065193,intruder,entered_big_circle,direct,67,intruder,entered_big_circle,-108.86613997578621,False,False
35,61,94.40716904550791,interceptor,intercepted_before_small_circle,detour,16,intruder,entered_big_circle,-103.38206191658973,True,False
36,41,97.1450353488326,interceptor,intercepted_before_small_circle,detour,10,intruder,entered_big_circle,-101.42255185484886,True,False
37,53,95.70108597904444,interceptor,intercepted_before_small_circle,detour,4,intruder,entered_big_circle,-100.58779464244843,True,False
38,57,-103.52814792603256,intruder,active_collision,attack,17,intruder,entered_big_circle,-102.40815995693207,False,False
39,48,-105.98820963472129,intruder,active_collision,attack,20,intruder,entered_big_circle,-103.58238691329956,False,False
40,70,-111.90757935881616,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-105.1086489021778,False,False
41,13,-101.96879771471023,intruder,entered_big_circle,direct,13,intruder,entered_big_circle,-102.42685992240905,False,False
42,27,-103.50639697074892,intruder,entered_big_circle,direct,27,intruder,entered_big_circle,-103.37623133420944,False,False
43,27,-103.97973093152046,intruder,entered_big_circle,direct,275,intruder,active_collision,-140.8161172056198,False,False
44,28,-105.83952964067458,intruder,entered_big_circle,direct,71,intruder,entered_small_circle,-112.97386169582606,False,False
45,26,-105.34560922384262,intruder,entered_big_circle,direct,26,intruder,entered_big_circle,-105.06804074048996,False,False
46,20,-103.49858959555624,intruder,entered_big_circle,direct,20,intruder,entered_big_circle,-103.00147322058677,False,False
