episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
0,1,1,-1.0,-1.0,chase_x,chase_x,True,4,4,False,0.0,0.0
0,2,2,-1.0,-2.0,chase_x,chase_x,True,4,4,False,0.0,0.0
0,3,3,-1.0,-3.0,chase_x,chase_x,True,4,4,False,0.0,0.0
0,4,4,-1.0,-4.0,chase_x,chase_x,True,1,4,False,0.0,0.0
0,5,5,-1.0,-5.0,chase_x,chase_x,True,4,4,False,0.0,0.85546875
0,6,6,-1.0,-6.0,chase_x,chase_x,True,1,4,False,0.85546875,1.7109375
0,7,7,-1.0,-7.0,chase_x,chase_x,True,4,2,False,0.7734375,1.62890625
0,8,8,99.0,92.0,chase_x,chase_x,True,2,2,False,1.62890625,2.4843749999999996
1,9,1,-1.0,-1.0,chase_x,chase_x,True,1,2,False,2.4843749999999996,3.3398437499999996
1,10,2,-1.0,-2.0,chase_x,chase_x,True,4,4,False,2.4023437499999996,4.1953125
1,11,3,-1.0,-3.0,chase_x,chase_x,True,1,4,False,3.2578124999999996,5.05078125
1,12,4,-1.0,-4.0,chase_x,chase_x,True,4,2,False,4.11328125,5.90625
1,13,5,-1.0,-5.0,chase_x,chase_x,True,4,4,False,4.96875,6.0
1,14,6,99.0,94.0,chase_x,chase_x,True,1,2,False,5.82421875,6.0
2,15,1,-1.0,-1.0,chase_x,chase_y,False,2,3,True,6.0,2.958984375
2,16,2,-1.0,-2.0,chase_x,chase_y,False,2,2,False,6.0,3.8144531249999996
2,17,3,-1.0,-3.0,chase_x,chase_y,False,2,3,False,6.0,4.669921875
2,18,4,-1.0,-4.0,chase_x,chase_y,False,2,2,False,6.0,4.587890625
2,19,5,-1.0,-5.0,chase_x,chase_y,False,2,3,False,6.0,5.443359375
2,20,6,-1.0,-6.0,chase_x,chase_x,True,2,2,True,2.958984375,6.0
2,21,7,-1.0,-7.0,chase_x,chase_x,True,4,2,False,3.8144531249999996,6.0
2,22,8,-1.0,-8.0,chase_x,chase_x,True,1,3,False,3.7324218749999996,6.0
2,23,9,-1.0,-9.0,chase_x,chase_x,True,2,3,False,4.587890625,6.0
2,24,10,-1.0,-10.0,chase_x,chase_x,True,1,0,False,4.505859375,6.0
2,25,11,-1.0,-11.0,chase_x,chase_x,True,1,0,False,4.423828125,6.0
2,26,12,99.0,88.0,chase_x,chase_x,True,4,0,False,5.279296875,6.0
3,27,1,-1.0,-1.0,chase_x,chase_x,True,4,4,False,5.197265625,5.91796875
3,28,2,-1.0,-2.0,chase_x,chase_y,False,4,4,True,6.0,2.91796875
3,29,3,-1.0,-3.0,chase_x,chase_y,False,1,0,False,6.0,3.7734374999999996
