episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,predator_a_action,predator_b_action
0,1,1,-1.0,-1.0,chase_x,2,2
0,2,2,-1.0,-2.0,chase_x,2,3
0,3,3,99.0,97.0,chase_x,2,3
1,4,1,-1.0,-1.0,chase_x,4,4
1,5,2,-1.0,-2.0,chase_x,4,4
1,6,3,-1.0,-3.0,chase_x,4,1
1,7,4,-1.0,-4.0,chase_x,4,2
1,8,5,-1.0,-5.0,chase_x,4,1
1,9,6,-1.0,-6.0,chase_x,1,0
1,10,7,-1.0,-7.0,chase_x,1,2
1,11,8,-1.0,-8.0,chase_x,1,3
1,12,9,-1.0,-9.0,chase_x,1,1
1,13,10,-1.0,-10.0,chase_x,4,0
1,14,11,-1.0,-11.0,chase_x,1,3
1,15,12,-1.0,-12.0,chase_x,4,4
1,16,13,99.0,87.0,chase_x,1,4
2,17,1,-1.0,-1.0,chase_x,2,2
2,18,2,-1.0,-2.0,chase_x,2,2
2,19,3,-1.0,-3.0,chase_x,2,2
2,20,4,99.0,96.0,chase_x,3,2
3,21,1,-1.0,-1.0,chase_x,2,1
3,22,2,-1.0,-2.0,chase_x,2,1
3,23,3,-1.0,-3.0,chase_x,2,4
3,24,4,-1.0,-4.0,chase_x,2,2
3,25,5,-1.0,-5.0,chase_x,4,1
3,26,6,-1.0,-6.0,chase_x,2,3
3,27,7,99.0,93.0,chase_x,4,4
4,28,1,-1.0,-1.0,chase_x,4,4
4,29,2,-1.0,-2.0,chase_x,4,4
4,30,3,-1.0,-3.0,chase_x,4,4
4,31,4,-1.0,-4.0,chase_x,1,4
4,32,5,-1.0,-5.0,chase_x,1,1
4,33,6,-1.0,-6.0,chase_x,4,2
4,34,7,-1.0,-7.0,chase_x,4,2
4,35,8,-1.0,-8.0,chase_x,1,3
4,36,9,99.0,91.0,chase_x,3,3
5,37,1,-1.0,-1.0,chase_x,3,3
5,38,2,-1.0,-2.0,chase_x,3,3
5,39,3,-1.0,-3.0,chase_x,3,3
5,40,4,-1.0,-4.0,chase_x,4,1
5,41,5,-1.0,-5.0,chase_x,2,3
5,42,6,-1.0,-6.0,chase_x,4,3
5,43,7,-1.0,-7.0,chase_x,4,4
5,44,8,99.0,92.0,chase_x,4,4
6,45,1,-1.0,-1.0,chase_x,3,3
6,46,2,-1.0,-2.0,chase_x,3,3
6,47,3,-1.0,-3.0,chase_x,3,3
6,48,4,-1.0,-4.0,chase_x,3,3
6,49,5,-1.0,-5.0,chase_x,1,3
6,50,6,-1.0,-6.0,chase_x,1,3
6,51,7,-1.0,-7.0,chase_x,4,3
6,52,8,-1.0,-8.0,chase_x,4,3
6,53,9,-1.0,-9.0,chase_x,4,1
6,54,10,-1.0,-10.0,chase_x,4,4
6,55,11,-1.0,-11.0,chase_x,2,1
6,56,12,99.0,88.0,chase_x,4,0
7,57,1,-1.0,-1.0,chase_x,3,3
7,58,2,-1.0,-2.0,chase_x,3,3
7,59,3,-1.0,-3.0,chase_x,3,3
7,60,4,-1.0,-4.0,chase_x,3,3
7,61,5,-1.0,-5.0,chase_x,3,3
7,62,6,-1.0,-6.0,chase_x,3,3
7,63,7,99.0,93.0,chase_x,2,3
8,64,1,-1.0,-1.0,chase_x,1,1
8,65,2,-1.0,-2.0,chase_x,1,3
8,66,3,-1.0,-3.0,chase_x,1,1
8,67,4,-1.0,-4.0,chase_x,1,1
8,68,5,-1.0,-5.0,chase_x,1,3
8,69,6,-1.0,-6.0,chase_x,1,1
8,70,7,99.0,93.0,chase_x,4,1
9,71,1,-1.0,-1.0,chase_x,3,3
9,72,2,-1.0,-2.0,chase_x,3,3
9,73,3,-1.0,-3.0,chase_x,1,1
9,74,4,-1.0,-4.0,chase_x,3,1
9,75,5,-1.0,-5.0,chase_x,3,4
9,76,6,-1.0,-6.0,chase_x,1,4
9,77,7,99.0,93.0,chase_x,1,0
10,78,1,-1.0,-1.0,chase_x,1,1
10,79,2,-1.0,-2.0,chase_x,1,1
10,80,3,-1.0,-3.0,chase_x,1,1
10,81,4,-1.0,-4.0,chase_x,1,1
10,82,5,-1.0,-5.0,chase_x,3,1
10,83,6,-1.0,-6.0,chase_x,3,1
10,84,7,-1.0,-7.0,chase_x,3,3
10,85,8,-1.0,-8.0,chase_x,4,1
10,86,9,-1.0,-9.0,chase_x,2,1
10,87,10,-1.0,-10.0,chase_x,1,3
10,88,11,99.0,89.0,chase_x,2,1
11,89,1,-1.0,-1.0,chase_x,2,3
11,90,2,-1.0,-2.0,chase_x,4,0
11,91,3,-1.0,-3.0,chase_x,2,2
11,92,4,-1.0,-4.0,chase_x,4,1
11,93,5,-1.0,-5.0,chase_x,2,2
11,94,6,-1.0,-6.0,chase_x,4,0
11,95,7,99.0,93.0,chase_x,4,0
12,96,1,-1.0,-1.0,chase_x,1,3
12,97,2,99.0,98.0,chase_x,2,3
13,98,1,-1.0,-1.0,chase_x,1,3
13,99,2,-1.0,-2.0,chase_x,1,4
13,100,3,-1.0,-3.0,chase_y,1,1
13,101,4,-1.0,-4.0,chase_y,1,4
13,102,5,-1.0,-5.0,chase_y,3,1
13,103,6,-1.0,-6.0,chase_y,2,4
13,104,7,-1.0,-7.0,chase_y,3,1
13,105,8,-1.0,-8.0,chase_y,3,4
13,106,9,-1.0,-9.0,chase_y,3,4
13,107,10,-1.0,-10.0,chase_y,3,4
13,108,11,-1.0,-11.0,chase_y,2,1
13,109,12,-1.0,-12.0,chase_y,3,1
13,110,13,-1.0,-13.0,chase_y,2,1
13,111,14,-1.0,-14.0,chase_y,2,2
13,112,15,-1.0,-15.0,chase_y,2,2
