episode,opsdemo_reward,baseline_reward
0,93.0,92.0
1,95.0,94.0
2,96.0,96.0
3,93.0,89.0
4,95.0,88.0
5,88.0,91.0
6,91.0,87.0
7,95.0,93.0
8,97.0,95.0
9,87.0,87.0
10,89.0,93.0
11,94.0,95.0
12,96.0,87.0
13,93.0,92.0
14,95.0,89.0
15,98.0,88.0
16,58.0,89.0
17,89.0,88.0
18,56.0,92.0
19,69.0,92.0
20,94.0,89.0
21,95.0,96.0
22,87.0,88.0
23,95.0,88.0
24,94.0,87.0
25,89.0,85.0
26,87.0,92.0
27,91.0,93.0
28,95.0,88.0
29,92.0,90.0
30,97.0,95.0
31,96.0,94.0
32,93.0,91.0
33,94.0,92.0
34,74.0,93.0
35,87.0,95.0
36,98.0,92.0
37,94.0,89.0
38,93.0,91.0
39,-61.0,92.0
40,97.0,88.0
41,94.0,85.0
42,87.0,96.0
43,95.0,96.0
44,92.0,91.0
45,95.0,98.0
46,86.0,86.0
47,92.0,94.0
48,96.0,91.0
49,93.0,96.0
50,94.0,95.0
51,87.0,92.0
52,83.0,92.0
53,-54.0,89.0
54,52.0,92.0
55,86.0,98.0
56,92.0,90.0
57,90.0,88.0
58,66.0,97.0
59,91.0,85.0
60,92.0,93.0
61,94.0,92.0
62,79.0,96.0
63,92.0,96.0
64,84.0,82.0
65,94.0,88.0
66,86.0,93.0
67,95.0,84.0
68,88.0,93.0
69,-48.0,95.0
70,89.0,87.0
71,95.0,89.0
72,98.0,85.0
73,75.0,94.0
74,86.0,93.0
75,90.0,93.0
76,95.0,96.0
77,99.0,90.0
78,93.0,92.0
79,93.0,94.0
80,91.0,96.0
81,77.0,96.0
82,91.0,94.0
83,99.0,90.0
84,96.0,89.0
85,91.0,93.0
86,-46.0,88.0
87,-41.0,93.0
88,74.0,97.0
89,97.0,86.0
90,95.0,95.0
91,83.0,98.0
92,93.0,86.0
93,88.0,93.0
94,87.0,96.0
95,93.0,92.0
96,90.0,90.0
97,98.0,93.0
98,91.0,87.0
99,97.0,92.0
100,77.0,96.0
101,82.0,84.0
102,94.0,84.0
103,95.0,94.0
104,52.0,75.0
105,95.0,87.0
106,93.0,86.0
107,92.0,96.0
108,80.0,93.0
109,89.0,90.0
110,94.0,89.0
111,90.0,85.0
112,91.0,90.0
113,90.0,83.0
114,92.0,91.0
115,92.0,86.0
116,96.0,95.0
117,88.0,94.0
118,93.0,92.0
119,95.0,89.0
120,-49.0,87.0
121,90.0,92.0
122,94.0,95.0
123,95.0,87.0
124,95.0,96.0
125,71.0,92.0
126,88.0,93.0
127,95.0,96.0
128,84.0,94.0
129,92.0,92.0
130,85.0,93.0
131,95.0,89.0
132,90.0,95.0
133,99.0,92.0
134,92.0,93.0
135,96.0,93.0
136,90.0,98.0
137,92.0,95.0
138,89.0,83.0
139,90.0,87.0
140,-49.0,98.0
141,94.0,85.0
142,97.0,95.0
143,-58.0,91.0
144,97.0,92.0
145,96.0,93.0
146,81.0,88.0
147,87.0,92.0
148,91.0,88.0
149,96.0,90.0
150,94.0,92.0
151,95.0,91.0
152,87.0,88.0
153,88.0,91.0
154,93.0,94.0
155,97.0,88.0
156,96.0,97.0
157,-57.0,84.0
158,92.0,92.0
159,94.0,89.0
160,93.0,88.0
161,-67.0,91.0
162,83.0,86.0
163,94.0,86.0
164,89.0,90.0
165,94.0,92.0
166,90.0,96.0
167,92.0,91.0
168,96.0,92.0
169,83.0,92.0
170,93.0,93.0
171,91.0,95.0
172,97.0,86.0
173,78.0,93.0
174,91.0,91.0
175,93.0,87.0
176,94.0,92.0
177,-51.0,84.0
178,94.0,94.0
