episode,global_step,episode_step,true_policy,new_assumed_policy
3,21,5,chase_x,chase_y
3,25,9,chase_x,chase_x
3,29,13,chase_x,chase_y
3,34,18,chase_x,chase_x
3,39,23,chase_x,chase_x
3,43,27,chase_x,chase_y
3,47,31,chase_x,chase_x
3,51,35,chase_x,chase_x
4,57,4,chase_x,chase_x
6,69,2,chase_x,chase_x
10,87,3,chase_x,chase_y
10,91,7,chase_x,chase_x
10,99,15,chase_x,chase_x
11,104,4,chase_y,chase_x
11,108,8,chase_y,chase_x
11,115,15,chase_y,chase_x
11,120,20,chase_y,chase_x
11,127,27,chase_y,chase_x
11,131,31,chase_y,chase_x
11,135,35,chase_y,chase_x
11,139,39,chase_y,chase_x
12,143,3,chase_y,chase_x
12,147,7,chase_y,chase_x
12,152,12,chase_y,chase_x
13,160,5,chase_y,chase_x
14,164,1,chase_y,chase_x
14,169,6,chase_y,chase_x
14,173,10,chase_y,chase_y
15,180,4,chase_y,chase_x
15,184,8,chase_y,chase_x
16,190,3,chase_y,chase_x
16,195,8,chase_y,chase_y
17,200,3,chase_x,chase_x
18,208,4,chase_x,chase_x
21,226,5,chase_x,chase_x
22,233,7,chase_x,chase_x
22,237,11,chase_x,chase_x
24,246,5,chase_x,chase_x
25,257,7,chase_x,chase_x
26,262,3,chase_x,chase_x
27,277,6,chase_x,chase_x
28,282,2,chase_x,chase_y
28,286,6,chase_x,chase_x
28,290,10,chase_x,chase_y
28,294,14,chase_x,chase_x
28,298,18,chase_x,chase_y
28,303,23,chase_y,chase_x
28,308,28,chase_y,chase_x
28,312,32,chase_y,chase_x
28,317,37,chase_y,chase_x
29,322,2,chase_y,chase_y
31,332,2,chase_y,chase_x
32,336,3,chase_y,chase_y
32,341,8,chase_y,chase_x
33,345,4,chase_y,chase_x
33,349,8,chase_y,chase_x
33,353,12,chase_y,chase_x
33,359,18,chase_y,chase_x
33,364,23,chase_y,chase_x
33,368,27,chase_y,chase_y
36,379,4,chase_y,chase_x
36,384,9,chase_y,chase_y
36,391,16,chase_y,chase_x
36,396,21,chase_y,chase_x
36,402,27,chase_x,chase_x
36,408,33,chase_x,chase_x
37,413,2,chase_x,chase_y
37,417,6,chase_x,chase_x
37,422,11,chase_x,chase_x
39,429,1,chase_x,chase_y
39,434,6,chase_x,chase_x
40,441,2,chase_x,chase_x
41,449,4,chase_x,chase_x
42,458,4,chase_x,chase_x
43,467,7,chase_x,chase_x
44,471,4,chase_x,chase_x
45,477,4,chase_x,chase_x
46,486,1,chase_x,chase_x
46,492,7,chase_x,chase_x
47,500,6,chase_y,chase_x
47,504,10,chase_y,chase_y
47,511,17,chase_y,chase_x
47,516,22,chase_y,chase_x
47,520,26,chase_y,chase_x
47,527,33,chase_y,chase_x
47,532,38,chase_y,chase_y
48,537,3,chase_y,chase_x
49,543,6,chase_y,chase_y
49,547,10,chase_y,chase_x
49,551,14,chase_y,chase_y
49,556,19,chase_y,chase_x
49,562,25,chase_y,chase_x
49,566,29,chase_y,chase_x
49,570,33,chase_y,chase_x
49,574,37,chase_y,chase_x
50,580,3,chase_y,chase_y
51,589,6,chase_y,chase_x
51,594,11,chase_y,chase_x
51,600,17,chase_x,chase_x
53,615,2,chase_x,chase_x
53,621,8,chase_x,chase_x
54,626,4,chase_x,chase_x
55,632,3,chase_x,chase_x
56,642,8,chase_x,chase_x
58,654,6,chase_x,chase_x
59,660,4,chase_x,chase_y
59,664,8,chase_x,chase_x
60,674,7,chase_x,chase_x
61,686,12,chase_x,chase_x
62,694,8,chase_x,chase_x
63,702,5,chase_y,chase_y
63,709,12,chase_y,chase_x
63,713,16,chase_y,chase_x
63,717,20,chase_y,chase_x
63,721,24,chase_y,chase_y
63,725,28,chase_y,chase_x
63,729,32,chase_y,chase_y
63,734,37,chase_y,chase_x
64,739,2,chase_y,chase_y
65,755,8,chase_y,chase_x
65,759,12,chase_y,chase_x
65,763,16,chase_y,chase_x
65,767,20,chase_y,chase_x
65,773,26,chase_y,chase_x
65,779,32,chase_y,chase_x
65,783,36,chase_y,chase_x
66,789,2,chase_y,chase_y
67,797,8,chase_y,chase_x
67,807,18,chase_x,chase_x
68,815,6,chase_x,chase_x
69,822,4,chase_x,chase_x
70,828,2,chase_x,chase_x
72,839,1,chase_x,chase_y
72,844,6,chase_x,chase_x
72,850,12,chase_x,chase_x
73,859,5,chase_x,chase_y
74,864,3,chase_x,chase_x
75,870,4,chase_x,chase_x
75,875,9,chase_x,chase_x
76,884,7,chase_x,chase_x
78,894,4,chase_x,chase_x
79,899,3,chase_x,chase_y
80,905,1,chase_y,chase_x
80,909,5,chase_y,chase_x
80,913,9,chase_y,chase_x
80,917,13,chase_y,chase_x
80,921,17,chase_y,chase_y
80,926,22,chase_y,chase_x
80,931,27,chase_y,chase_x
80,937,33,chase_y,chase_x
80,944,40,chase_y,chase_x
81,954,10,chase_y,chase_x
82,959,5,chase_y,chase_x
82,963,9,chase_y,chase_x
82,967,13,chase_y,chase_x
82,972,18,chase_y,chase_x
82,978,24,chase_y,chase_x
83,984,2,chase_y,chase_y
83,990,8,chase_y,chase_x
83,994,12,chase_y,chase_x
83,998,16,chase_y,chase_x
83,1005,23,chase_x,chase_x
83,1012,30,chase_x,chase_x
84,1023,11,chase_x,chase_x
85,1030,5,chase_x,chase_x
86,1039,6,chase_x,chase_x
88,1054,8,chase_x,chase_y
88,1060,14,chase_x,chase_x
88,1066,20,chase_x,chase_x
89,1071,4,chase_x,chase_y
90,1076,3,chase_x,chase_x
91,1081,3,chase_x,chase_x
92,1088,2,chase_x,chase_x
92,1096,10,chase_x,chase_x
93,1102,6,chase_y,chase_y
