episode,opsdemo_reward,response_policy_accuracy,baseline_reward
0,93.0,1.0,92.0
1,95.0,1.0,94.0
2,96.0,1.0,96.0
3,93.0,1.0,89.0
4,95.0,1.0,88.0
5,95.0,1.0,91.0
6,94.0,1.0,87.0
7,95.0,1.0,93.0
8,86.0,1.0,95.0
9,92.0,1.0,87.0
10,95.0,1.0,93.0
11,89.0,1.0,95.0
12,91.0,1.0,87.0
13,92.0,1.0,92.0
14,78.0,0.6190476190476191,89.0
15,89.0,1.0,88.0
16,93.0,1.0,89.0
17,91.0,1.0,88.0
18,98.0,1.0,92.0
19,92.0,1.0,92.0
20,92.0,1.0,89.0
21,97.0,1.0,96.0
22,90.0,1.0,90.0
23,97.0,1.0,94.0
24,94.0,1.0,94.0
25,74.0,0.6,94.0
26,96.0,1.0,88.0
27,95.0,1.0,94.0
28,92.0,1.0,87.0
29,87.0,1.0,89.0
30,93.0,1.0,95.0
31,97.0,1.0,93.0
32,88.0,1.0,94.0
33,91.0,1.0,93.0
34,89.0,1.0,98.0
35,94.0,1.0,88.0
36,91.0,1.0,93.0
37,89.0,0.45454545454545453,89.0
38,89.0,1.0,88.0
39,93.0,1.0,97.0
40,93.0,1.0,88.0
41,87.0,1.0,94.0
42,96.0,1.0,89.0
43,95.0,1.0,90.0
44,92.0,1.0,96.0
45,94.0,1.0,93.0
46,97.0,1.0,92.0
47,86.0,1.0,87.0
48,94.0,1.0,84.0
49,80.0,0.7368421052631579,96.0
50,98.0,1.0,93.0
51,87.0,1.0,91.0
52,94.0,1.0,85.0
53,90.0,1.0,86.0
54,94.0,1.0,96.0
55,92.0,1.0,92.0
56,89.0,1.0,91.0
57,91.0,1.0,91.0
58,86.0,1.0,93.0
59,89.0,1.0,91.0
60,82.0,0.25,89.0
61,97.0,1.0,87.0
62,88.0,1.0,93.0
63,92.0,1.0,91.0
64,91.0,1.0,95.0
65,92.0,1.0,87.0
66,92.0,1.0,92.0
67,92.0,1.0,91.0
68,94.0,1.0,94.0
69,91.0,1.0,94.0
70,97.0,1.0,89.0
71,94.0,1.0,91.0
72,95.0,1.0,92.0
73,85.0,0.6,94.0
74,89.0,1.0,92.0
75,96.0,1.0,93.0
76,91.0,1.0,90.0
77,93.0,1.0,91.0
78,89.0,1.0,94.0
79,88.0,1.0,95.0
80,89.0,1.0,94.0
81,92.0,1.0,76.0
82,91.0,1.0,93.0
83,81.0,0.631578947368421,93.0
84,90.0,1.0,90.0
85,88.0,1.0,88.0
86,92.0,1.0,94.0
87,95.0,1.0,88.0
88,94.0,1.0,92.0
89,89.0,1.0,96.0
90,92.0,1.0,92.0
91,92.0,1.0,92.0
92,91.0,1.0,98.0
93,98.0,1.0,93.0
94,93.0,1.0,96.0
95,80.0,0.6470588235294118,92.0
96,96.0,1.0,90.0
97,91.0,1.0,93.0
98,87.0,1.0,87.0
99,99.0,1.0,92.0
100,91.0,1.0,96.0
101,87.0,1.0,84.0
102,99.0,1.0,84.0
103,94.0,1.0,94.0
104,91.0,1.0,75.0
105,98.0,1.0,87.0
106,93.0,1.0,86.0
107,91.0,1.0,96.0
108,78.0,0.6818181818181818,93.0
109,87.0,1.0,90.0
110,94.0,1.0,89.0
111,91.0,1.0,85.0
112,91.0,1.0,90.0
113,91.0,1.0,83.0
114,90.0,1.0,91.0
115,97.0,1.0,86.0
116,93.0,1.0,95.0
117,89.0,1.0,94.0
118,87.0,0.6153846153846154,92.0
119,87.0,1.0,89.0
120,91.0,1.0,87.0
121,91.0,1.0,92.0
122,89.0,1.0,95.0
123,92.0,1.0,87.0
124,92.0,1.0,96.0
125,92.0,1.0,92.0
126,92.0,1.0,93.0
127,96.0,1.0,96.0
128,88.0,1.0,94.0
129,86.0,0.5384615384615384,92.0
130,94.0,1.0,93.0
131,92.0,1.0,89.0
132,93.0,1.0,95.0
133,95.0,1.0,92.0
134,98.0,1.0,93.0
135,89.0,1.0,93.0
136,91.0,1.0,98.0
137,91.0,1.0,95.0
138,93.0,1.0,84.0
139,91.0,1.0,87.0
140,90.0,1.0,98.0
141,93.0,1.0,85.0
142,83.0,0.4117647058823529,95.0
143,92.0,1.0,91.0
144,93.0,1.0,92.0
145,97.0,1.0,93.0
146,89.0,1.0,88.0
147,92.0,1.0,92.0
148,90.0,1.0,82.0
149,93.0,1.0,91.0
150,94.0,1.0,85.0
151,94.0,1.0,91.0
152,87.0,1.0,89.0
153,80.0,0.5625,91.0
154,97.0,1.0,89.0
155,94.0,1.0,89.0
156,90.0,1.0,86.0
157,93.0,1.0,86.0
158,94.0,1.0,87.0
159,95.0,1.0,89.0
160,97.0,1.0,88.0
161,93.0,1.0,88.0
162,89.0,1.0,93.0
163,91.0,1.0,89.0
164,91.0,1.0,94.0
165,93.0,1.0,85.0
166,96.0,1.0,74.0
167,87.0,0.5833333333333334,96.0
168,88.0,1.0,93.0
169,94.0,1.0,88.0
170,93.0,1.0,97.0
171,93.0,1.0,93.0
172,91.0,1.0,95.0
173,91.0,1.0,92.0
174,93.0,1.0,96.0
175,91.0,1.0,86.0
176,91.0,1.0,92.0
177,93.0,1.0,92.0
178,95.0,1.0,79.0
179,95.0,1.0,94.0
180,91.0,0.42857142857142855,88.0
181,90.0,1.0,96.0
182,92.0,1.0,83.0
183,94.0,1.0,89.0
184,93.0,1.0,94.0
185,90.0,1.0,96.0
186,88.0,1.0,89.0
187,84.0,1.0,88.0
188,95.0,1.0,92.0
189,93.0,1.0,92.0
190,94.0,1.0,84.0
191,71.0,0.47619047619047616,89.0
192,97.0,1.0,89.0
193,89.0,1.0,94.0
194,88.0,1.0,89.0
195,91.0,1.0,95.0
196,84.0,1.0,95.0
197,94.0,1.0,89.0
198,88.0,1.0,84.0
199,86.0,1.0,88.0
200,92.0,0.75,92.0
201,84.0,0.625,95.0
202,94.0,1.0,87.0
203,93.0,1.0,89.0
204,92.0,1.0,91.0
205,90.0,1.0,91.0
206,95.0,1.0,92.0
207,89.0,1.0,95.0
208,90.0,1.0,89.0
209,94.0,1.0,88.0
210,88.0,1.0,86.0
211,95.0,1.0,93.0
212,79.0,0.46153846153846156,89.0
213,92.0,1.0,87.0
214,92.0,1.0,92.0
215,80.0,1.0,85.0
216,92.0,1.0,96.0
217,93.0,1.0,93.0
218,99.0,1.0,96.0
219,93.0,1.0,94.0
