episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
0,1,1,-1.0,-1.0,chase_x,chase_x,True,4,4,False,0.6894768606101478,0.0
0,2,2,-1.0,-2.0,chase_x,chase_x,True,4,2,False,0.5474710945842949,0.9172961358798999
0,3,3,-1.0,-3.0,chase_x,chase_x,True,1,2,False,0.39911266399649603,1.83729054401976
0,4,4,-1.0,-4.0,chase_x,chase_x,True,4,2,False,1.3190876600335395,2.757285973708912
0,5,5,-1.0,-5.0,chase_x,chase_x,True,4,4,False,1.2371395652010262,2.6770627428315774
0,6,6,-1.0,-6.0,chase_x,chase_x,True,4,4,False,1.1546975544693472,2.596811566346171
0,7,7,99.0,93.0,chase_x,chase_x,True,4,4,False,1.7011419284428,2.467717201443137
1,8,1,-1.0,-1.0,chase_x,chase_x,True,2,3,False,2.549272310323444,3.3877157198342793
1,9,2,-1.0,-2.0,chase_x,chase_x,True,3,0,False,3.4313215797821264,4.307714269108465
1,10,3,-1.0,-3.0,chase_x,chase_x,True,2,3,False,3.336867405409003,5.227658888716191
1,11,4,-1.0,-4.0,chase_x,chase_x,True,2,3,False,4.19887213429383,6.134213423365188
1,12,5,99.0,95.0,chase_x,chase_x,True,3,0,False,4.095150660054786,7.040846898898066
2,13,1,-1.0,-1.0,chase_x,chase_x,True,2,3,False,4.01515065814539,7.960336894595082
2,14,2,-1.0,-2.0,chase_x,chase_x,True,2,3,False,3.935150621275371,8.0
2,15,3,-1.0,-3.0,chase_x,chase_x,True,2,3,False,3.8551505787161235,8.0
2,16,4,99.0,96.0,chase_x,chase_x,True,2,3,False,3.7659013392669776,8.0
3,17,1,-1.0,-1.0,chase_x,chase_x,True,3,3,False,3.68586259150882,8.0
3,18,2,-1.0,-2.0,chase_x,chase_x,True,1,3,False,3.6057876824437285,8.0
3,19,3,-1.0,-3.0,chase_x,chase_x,True,1,3,False,3.52562731286772,8.0
3,20,4,-1.0,-4.0,chase_x,chase_x,True,3,3,False,4.419460998442105,8.0
3,21,5,-1.0,-5.0,chase_x,chase_x,True,1,1,False,5.331626969685599,7.919999475098336
3,22,6,-1.0,-6.0,chase_x,chase_x,True,3,2,False,5.247961293675052,8.0
3,23,7,99.0,93.0,chase_x,chase_x,True,3,2,False,6.148556754007754,8.0
4,24,1,-1.0,-1.0,chase_x,chase_x,True,2,3,False,6.05844098072956,8.0
4,25,2,-1.0,-2.0,chase_x,chase_x,True,2,3,False,6.971442132838344,8.0
4,26,3,-1.0,-3.0,chase_x,chase_x,True,2,1,False,7.8669102903131405,7.9191324063429205
4,27,4,-1.0,-4.0,chase_x,chase_x,True,4,3,True,4.0,8.0
4,28,5,99.0,95.0,chase_x,chase_x,True,3,4,False,4.9006359811008275,8.0
5,29,1,-1.0,-1.0,chase_x,chase_x,True,4,1,False,4.799961466366404,8.0
5,30,2,-1.0,-2.0,chase_x,chase_x,True,4,1,False,5.684217586538452,8.0
5,31,3,-1.0,-3.0,chase_x,chase_x,True,4,4,False,6.571204329044228,7.890006194731817
5,32,4,-1.0,-4.0,chase_x,chase_x,True,4,3,False,7.470981970139378,8.0
5,33,5,99.0,95.0,chase_x,chase_x,True,4,1,True,4.0,8.0
6,34,1,-1.0,-1.0,chase_x,chase_x,True,3,2,False,3.841231171642032,8.0
6,35,2,-1.0,-2.0,chase_x,chase_x,True,3,4,False,4.185409472568997,8.0
6,36,3,-1.0,-3.0,chase_x,chase_x,True,3,4,False,5.103935387397507,8.0
6,37,4,-1.0,-4.0,chase_x,chase_x,True,3,2,False,5.023543006610438,8.0
6,38,5,-1.0,-5.0,chase_x,chase_x,True,3,2,False,5.939089767631637,8.0
6,39,6,99.0,94.0,chase_x,chase_x,True,1,4,False,5.826312530782445,8.0
7,40,1,-1.0,-1.0,chase_x,chase_x,True,3,2,False,6.746280740251749,7.919999991915071
7,41,2,-1.0,-2.0,chase_x,chase_x,True,3,4,False,6.666264288816007,8.0
7,42,3,-1.0,-3.0,chase_x,chase_x,True,3,4,False,6.565568071280979,8.0
7,43,4,-1.0,-4.0,chase_x,chase_x,True,3,4,False,7.454281602721119,8.0
7,44,5,99.0,95.0,chase_x,chase_y,False,3,2,True,8.0,3.9599966974232794
8,45,1,-1.0,-1.0,chase_x,chase_y,False,1,1,False,7.919998872601702,4.879970808728711
8,46,2,-1.0,-2.0,chase_x,chase_y,False,1,1,False,7.839997761789608,5.799583561550849
8,47,3,-1.0,-3.0,chase_x,chase_y,False,1,1,False,7.759971920499448,6.719155047680358
8,48,4,-1.0,-4.0,chase_x,chase_y,False,1,1,False,7.678126505750579,7.638677002024847
8,49,5,-1.0,-5.0,chase_x,chase_x,True,1,1,True,3.7705111841119994,8.0
8,50,6,-1.0,-6.0,chase_x,chase_x,True,2,3,False,3.8022961705833493,8.0
8,51,7,-1.0,-7.0,chase_x,chase_x,True,4,1,False,3.7141430405083953,8.0
8,52,8,-1.0,-8.0,chase_x,chase_x,True,4,1,False,4.633611092917372,8.0
